dataset,mu_ev,exclusion_probability,alpha_mean
M33 X-7,1.000000000000e-21,0.00000000,1.17263913e-10
M33 X-7,1.087335672720e-21,0.00000000,1.27505236e-10
M33 X-7,1.182298865169e-21,0.00000000,1.38640991e-10
M33 X-7,1.285555731914e-21,0.00000000,1.50749296e-10
M33 X-7,1.397830606579e-21,0.00000000,1.63915087e-10
M33 X-7,1.519911082953e-21,0.00000000,1.78230721e-10
M33 X-7,1.652653539857e-21,0.00000000,1.93796621e-10
M33 X-7,1.796989148533e-21,0.00000000,2.10721979e-10
M33 X-7,1.953930404690e-21,0.00000000,2.29125525e-10
M33 X-7,2.124578231031e-21,0.00000000,2.49136357e-10
M33 X-7,2.310129700083e-21,0.00000000,2.70894848e-10
M33 X-7,2.511886431510e-21,0.00000000,2.94553632e-10
M33 X-7,2.731263722801e-21,0.00000000,3.20278672e-10
M33 X-7,2.969800477406e-21,0.00000000,3.48250425e-10
M33 X-7,3.229169999944e-21,0.00000000,3.78665110e-10
M33 X-7,3.511191734215e-21,0.00000000,4.11736082e-10
M33 X-7,3.817844026371e-21,0.00000000,4.47695330e-10
M33 X-7,4.151278002752e-21,0.00000000,4.86795103e-10
M33 X-7,4.513832659769e-21,0.00000000,5.29309680e-10
M33 X-7,4.908051271654e-21,0.00000000,5.75537297e-10
M33 X-7,5.336699231206e-21,0.00000000,6.25802234e-10
M33 X-7,5.802783448666e-21,0.00000000,6.80457094e-10
M33 X-7,6.309573444802e-21,0.00000000,7.39885272e-10
M33 X-7,6.860624286178e-21,0.00000000,8.04503649e-10
M33 X-7,7.459801523488e-21,0.00000000,8.74765517e-10
M33 X-7,8.111308307897e-21,0.00000000,9.51163752e-10
M33 X-7,8.819714875604e-21,0.00000000,1.03423428e-09
M33 X-7,9.589990607460e-21,0.00000000,1.12455982e-09
M33 X-7,1.042753888854e-20,0.00000000,1.22277401e-09
M33 X-7,1.133823501218e-20,0.00000000,1.32956580e-09
M33 X-7,1.232846739442e-20,0.00000000,1.44568433e-09
M33 X-7,1.340518238791e-20,0.00000000,1.57194414e-09
M33 X-7,1.457593300969e-20,0.00000000,1.70923094e-09
M33 X-7,1.584893192461e-20,0.00000000,1.85850777e-09
M33 X-7,1.723310905614e-20,0.00000000,2.02082180e-09
M33 X-7,1.873817422860e-20,0.00000000,2.19731163e-09
M33 X-7,2.037468528040e-20,0.00000000,2.38921532e-09
M33 X-7,2.215412212581e-20,0.00000000,2.59787905e-09
M33 X-7,2.408896728518e-20,0.00000000,2.82476656e-09
M33 X-7,2.619279344816e-20,0.00000000,3.07146945e-09
M33 X-7,2.848035868436e-20,0.00000000,3.33971830e-09
M33 X-7,3.096770996935e-20,0.00000000,3.63139485e-09
M33 X-7,3.367229575211e-20,0.00000000,3.94854516e-09
M33 X-7,3.661308835364e-20,0.00000000,4.29339401e-09
M33 X-7,3.981071705535e-20,0.00000000,4.66836046e-09
M33 X-7,4.328761281083e-20,0.00000000,5.07607486e-09
M33 X-7,4.706816559609e-20,0.00000000,5.51939728e-09
M33 X-7,5.117889550211e-20,0.00000000,6.00143755e-09
M33 X-7,5.564863876983e-20,0.00000000,6.52557714e-09
M33 X-7,6.050875007273e-20,0.00000000,7.09549280e-09
M33 X-7,6.579332246576e-20,0.00000000,7.71518244e-09
M33 X-7,7.153942654377e-20,0.00000000,8.38899309e-09
M33 X-7,7.778737048694e-20,0.00000000,9.12165145e-09
M33 X-7,8.458098281751e-20,0.00000000,9.91829701e-09
M33 X-7,9.196791985117e-20,0.00000000,1.07845182e-08
M33 X-7,1.000000000000e-19,0.00000000,1.17263913e-08
M33 X-7,1.087335672720e-19,0.00000000,1.27505236e-08
M33 X-7,1.182298865169e-19,0.00000000,1.38640991e-08
M33 X-7,1.285555731914e-19,0.00000000,1.50749296e-08
M33 X-7,1.397830606579e-19,0.00000000,1.63915087e-08
M33 X-7,1.519911082953e-19,0.00000000,1.78230721e-08
M33 X-7,1.652653539857e-19,0.00000000,1.93796621e-08
M33 X-7,1.796989148533e-19,0.00000000,2.10721979e-08
M33 X-7,1.953930404690e-19,0.00000000,2.29125525e-08
M33 X-7,2.124578231031e-19,0.00000000,2.49136357e-08
M33 X-7,2.310129700083e-19,0.00000000,2.70894848e-08
M33 X-7,2.511886431510e-19,0.00000000,2.94553632e-08
M33 X-7,2.731263722801e-19,0.00000000,3.20278672e-08
M33 X-7,2.969800477406e-19,0.00000000,3.48250425e-08
M33 X-7,3.229169999944e-19,0.00000000,3.78665110e-08
M33 X-7,3.511191734215e-19,0.00000000,4.11736082e-08
M33 X-7,3.817844026371e-19,0.00000000,4.47695330e-08
M33 X-7,4.151278002752e-19,0.00000000,4.86795103e-08
M33 X-7,4.513832659769e-19,0.00000000,5.29309680e-08
M33 X-7,4.908051271654e-19,0.00000000,5.75537297e-08
M33 X-7,5.336699231206e-19,0.00000000,6.25802234e-08
M33 X-7,5.802783448666e-19,0.00000000,6.80457094e-08
