dataset,mu_ev,exclusion_prob,survival_prob,alpha_peak,tau_years
M33 X-7,1e-21,1.7890052382412685e-06,0.9999982109947617,1.1713701944652206e-10,5000000.0
M33 X-7,1.0520686710236272e-21,1.789005239408727e-06,0.9999982109947606,1.2323618837677123e-10,5000000.0
M33 X-7,1.106848488549412e-21,1.789005240636974e-06,0.9999982109947594,1.2965293292756604e-10,5000000.0
M33 X-7,1.1644806183726902e-21,1.7890052419291735e-06,0.999998210994758,1.3640378883941987e-10,5000000.0
M33 X-7,1.2251135766041178e-21,1.789005243288657e-06,0.9999982109947567,1.4350615284687475e-10,5000000.0
M33 X-7,1.2889036123908968e-21,1.789005244718926e-06,0.9999982109947553,1.5097832750932501e-10,5000000.0
M33 X-7,1.356015110565632e-21,1.7890052462236676e-06,0.9999982109947537,1.588395683761042e-10,5000000.0
M33 X-7,1.4266210152607413e-21,1.7890052478067593e-06,0.9999982109947522,1.6711013360741452e-10,5000000.0
M33 X-7,1.5009032755797336e-21,1.7890052494722804e-06,0.9999982109947505,1.7581133617893192e-10,5000000.0
M33 X-7,1.579053314474179e-21,1.7890052512245228e-06,0.9999982109947487,1.8496559880465704e-10,5000000.0
M33 X-7,1.6612725220342896e-21,1.7890052530680024e-06,0.999998210994747,1.9459651171950335e-10,5000000.0
M33 X-7,1.7477727744646842e-21,1.7890052550074698e-06,0.999998210994745,2.0472889347057155e-10,5000000.0
M33 X-7,1.838776980082323e-21,1.7890052570479224e-06,0.999998210994743,2.1538885487372021e-10,5000000.0
M33 X-7,1.934519653744048e-21,1.7890052591946184e-06,0.9999982109947408,2.2660386630029571e-10,5000000.0
M33 X-7,2.0352475211835716e-21,1.7890052614530903e-06,0.9999982109947385,2.3840282846736586e-10,5000000.0
M33 X-7,2.1412201548157315e-21,1.7890052638291577e-06,0.9999982109947362,2.508161469139353e-10,5000000.0
M33 X-7,2.2527106426459734e-21,1.7890052663289435e-06,0.9999982109947336,2.638758103550086e-10,5000000.0
M33 X-7,2.3700062920093305e-21,1.7890052689588904e-06,0.9999982109947311,2.776154731154766e-10,5000000.0
M33 X-7,2.4934093699518704e-21,1.7890052717257748e-06,0.9999982109947283,2.920705418561926e-10,5000000.0
M33 X-7,2.6232378821631235e-21,1.7890052746367274e-06,0.9999982109947254,3.0727826681579516e-10,5000000.0
M33 X-7,2.759826392466169e-21,1.7890052776992487e-06,0.9999982109947223,3.232778378033345e-10,5000000.0
M33 X-7,2.903526884977814e-21,1.7890052809212322e-06,0.9999982109947191,3.401104851891459e-10,5000000.0
M33 X-7,3.0547096711599806e-21,1.78900528431098e-06,0.9999982109947156,3.578195861541457e-10,5000000.0
M33 X-7,3.2137643441002756e-21,1.7890052878772275e-06,0.9999982109947121,3.7645077647141324e-10,5000000.0
M33 X-7,3.3811007824806957e-21,1.7890052916291648e-06,0.9999982109947084,3.9605206810809226e-10,5000000.0
M33 X-7,3.557150206821382e-21,1.7890052955764601e-06,0.9999982109947044,4.166739729506363e-10,5000000.0
M33 X-7,3.742366290721992e-21,1.7890052997292863e-06,0.9999982109947003,4.3836963297231064e-10,5000000.0
M33 X-7,3.937226329963475e-21,1.7890053040983445e-06,0.9999982109946959,4.611949571782904e-10,5000000.0
M33 X-7,4.142232472483907e-21,1.7890053086948935e-06,0.9999982109946913,4.852087656813625e-10,5000000.0
M33 X-7,4.357913012397021e-21,1.7890053135307793e-06,0.9999982109946864,5.104729412794014e-10,5000000.0
M33 X-7,4.5848237513891054e-21,1.7890053186184628e-06,0.9999982109946813,5.370525889253419e-10,5000000.0
M33 X-7,4.823549431001458e-21,1.7890053239710554e-06,0.999998210994676,5.650162035004782e-10,5000000.0
M33 X-7,5.074705239490476e-21,1.78900532960235e-06,0.9999982109946703,5.944358463235633e-10,5000000.0
M33 X-7,5.338938397147339e-21,1.7890053355268593e-06,0.9999982109946645,6.253873308504313e-10,5000000.0
M33 X-7,5.616929824163815e-21,1.7890053417598493e-06,0.9999982109946582,6.579504180428267e-10,5000000.0
M33 X-7,5.909395895340953e-21,1.789005348317383e-06,0.9999982109946517,6.922090219097509e-10,5000000.0
M33 X-7,6.217090286163833e-21,1.7890053552163587e-06,0.9999982109946448,7.282514257511564e-10,5000000.0
M33 X-7,6.540805914998232e-21,1.7890053624745556e-06,0.9999982109946375,7.661705096610746e-10,5000000.0
M33 X-7,6.88137698641567e-21,1.7890053701106767e-06,0.9999982109946299,8.060639898766219e-10,5000000.0
M33 X-7,7.239681140910847e-21,1.7890053781444004e-06,0.9999982109946218,8.48034670589493e-10,5000000.0
M33 X-7,7.616641716552892e-21,1.7890053865964298e-06,0.9999982109946134,8.921907088690473e-10,5000000.0
M33 X-7,8.013230128396918e-21,1.789005395488545e-06,0.9999982109946045,9.386458933794865e-10,5000000.0
M33 X-7,8.430468371788967e-21,1.7890054048436608e-06,0.9999982109945952,9.875199376095337e-10,5000000.0
M33 X-7,8.86943165601474e-21,1.7890054146858854e-06,0.9999982109945853,1.038938788370197e-09,5000000.0
M33 X-7,9.33125117507824e-21,1.7890054250405812e-06,0.999998210994575,1.0930349503555218e-09,5000000.0
M33 X-7,9.817117022752223e-21,1.7890054359344324e-06,0.9999982109945641,1.14994782760291e-09,5000000.0
M33 X-7,1.0328281259410275e-20,1.7890054473955122e-06,0.9999982109945525,1.2098240827326907e-09,5000000.0
M33 X-7,1.0866061138546001e-20,1.7890054594533553e-06,0.9999982109945406,1.2728180148929607e-09,5000000.0
M33 X-7,1.1431842501291479e-20,1.789005472139034e-06,0.9999982109945279,1.3390919573833575e-09,5000000.0
M33 X-7,1.2027083347685145e-20,1.7890054854852396e-06,0.9999982109945145,1.4088166959827364e-09,5000000.0
M33 X-7,1.2653317593889404e-20,1.7890054995263641e-06,0.9999982109945005,1.482171909058443e-09,5000000.0
