dataset,coupling_GeV,mu_ev,exclusion_prob,survival_prob
M33 X-7,10000000000000.0,1e-21,1.771292315090365e-08,0.9999999822870769
M33 X-7,10000000000000.0,1.0520686710236272e-21,1.771292316246265e-08,0.9999999822870769
M33 X-7,10000000000000.0,1.106848488549412e-21,1.7712923174623505e-08,0.9999999822870769
M33 X-7,10000000000000.0,1.1644806183726902e-21,1.771292318741756e-08,0.9999999822870768
M33 X-7,10000000000000.0,1.2251135766041178e-21,1.771292320087779e-08,0.9999999822870768
M33 X-7,10000000000000.0,1.2889036123908968e-21,1.7712923215038868e-08,0.9999999822870768
M33 X-7,10000000000000.0,1.356015110565632e-21,1.7712923229937307e-08,0.9999999822870768
M33 X-7,10000000000000.0,1.4266210152607413e-21,1.7712923245611473e-08,0.9999999822870768
M33 X-7,10000000000000.0,1.5009032755797336e-21,1.7712923262101785e-08,0.9999999822870768
M33 X-7,10000000000000.0,1.579053314474179e-21,1.7712923279450724e-08,0.9999999822870768
M33 X-7,10000000000000.0,1.6612725220342896e-21,1.7712923297702994e-08,0.9999999822870766
M33 X-7,10000000000000.0,1.7477727744646842e-21,1.7712923316905638e-08,0.9999999822870766
M33 X-7,10000000000000.0,1.838776980082323e-21,1.771292333710814e-08,0.9999999822870766
M33 X-7,10000000000000.0,1.934519653744048e-21,1.7712923358362557e-08,0.9999999822870766
M33 X-7,10000000000000.0,2.0352475211835716e-21,1.7712923380723667e-08,0.9999999822870766
M33 X-7,10000000000000.0,2.1412201548157315e-21,1.7712923404249084e-08,0.9999999822870766
M33 X-7,10000000000000.0,2.2527106426459734e-21,1.7712923428999447e-08,0.9999999822870765
M33 X-7,10000000000000.0,2.3700062920093305e-21,1.771292345503852e-08,0.9999999822870765
M33 X-7,10000000000000.0,2.4934093699518704e-21,1.7712923482433415e-08,0.9999999822870765
M33 X-7,10000000000000.0,2.6232378821631235e-21,1.771292351125472e-08,0.9999999822870765
M33 X-7,10000000000000.0,2.759826392466169e-21,1.771292354157672e-08,0.9999999822870764
M33 X-7,10000000000000.0,2.903526884977814e-21,1.771292357347755e-08,0.9999999822870764
M33 X-7,10000000000000.0,3.0547096711599806e-21,1.7712923607039406e-08,0.9999999822870764
M33 X-7,10000000000000.0,3.2137643441002756e-21,1.7712923642348785e-08,0.9999999822870763
M33 X-7,10000000000000.0,3.3811007824806957e-21,1.771292367949668e-08,0.9999999822870763
M33 X-7,10000000000000.0,3.557150206821382e-21,1.7712923718578816e-08,0.9999999822870763
M33 X-7,10000000000000.0,3.742366290721992e-21,1.7712923759695903e-08,0.9999999822870762
M33 X-7,10000000000000.0,3.937226329963475e-21,1.7712923802953905e-08,0.9999999822870762
M33 X-7,10000000000000.0,4.142232472483907e-21,1.7712923848464294e-08,0.9999999822870762
M33 X-7,10000000000000.0,4.357913012397021e-21,1.7712923896344347e-08,0.9999999822870761
M33 X-7,10000000000000.0,4.5848237513891054e-21,1.771292394671745e-08,0.9999999822870761
M33 X-7,10000000000000.0,4.823549431001458e-21,1.7712923999713415e-08,0.999999982287076
M33 X-7,10000000000000.0,5.074705239490476e-21,1.7712924055468813e-08,0.999999982287076
M33 X-7,10000000000000.0,5.338938397147339e-21,1.7712924114127317e-08,0.9999999822870759
M33 X-7,10000000000000.0,5.616929824163815e-21,1.771292417584009e-08,0.9999999822870759
M33 X-7,10000000000000.0,5.909395895340953e-21,1.7712924240766167e-08,0.9999999822870758
M33 X-7,10000000000000.0,6.217090286163833e-21,1.7712924309072863e-08,0.9999999822870757
M33 X-7,10000000000000.0,6.540805914998232e-21,1.7712924380936194e-08,0.9999999822870757
M33 X-7,10000000000000.0,6.88137698641567e-21,1.7712924456541355e-08,0.9999999822870755
M33 X-7,10000000000000.0,7.239681140910847e-21,1.7712924536083172e-08,0.9999999822870754
M33 X-7,10000000000000.0,7.616641716552892e-21,1.771292461976663e-08,0.9999999822870754
M33 X-7,10000000000000.0,8.013230128396918e-21,1.771292470780738e-08,0.9999999822870753
M33 X-7,10000000000000.0,8.430468371788967e-21,1.7712924800432288e-08,0.9999999822870752
M33 X-7,10000000000000.0,8.86943165601474e-21,1.7712924897880047e-08,0.9999999822870751
M33 X-7,10000000000000.0,9.33125117507824e-21,1.7712925000401795e-08,0.999999982287075
M33 X-7,10000000000000.0,9.817117022752223e-21,1.7712925108261707e-08,0.9999999822870749
M33 X-7,10000000000000.0,1.0328281259410275e-20,1.7712925221737745e-08,0.9999999822870748
M33 X-7,10000000000000.0,1.0866061138546001e-20,1.771292534112233e-08,0.9999999822870747
M33 X-7,10000000000000.0,1.1431842501291479e-20,1.771292546672311e-08,0.9999999822870745
M33 X-7,10000000000000.0,1.2027083347685145e-20,1.771292559886376e-08,0.9999999822870744
M33 X-7,10000000000000.0,1.2653317593889404e-20,1.7712925737884798e-08,0.9999999822870742
M33 X-7,10000000000000.0,1.3312159025043105e-20,1.771292588414448e-08,0.9999999822870741
M33 X-7,10000000000000.0,1.400530545393217e-20,1.7712926038019703e-08,0.999999982287074
M33 X-7,10000000000000.0,1.4734543096198373e-20,1.771292619990701e-08,0.9999999822870738
M33 X-7,10000000000000.0,1.5501751173357655e-20,1.771292637022358e-08,0.9999999822870737
M33 X-7,10000000000000.0,1.6308906755493344e-20,1.77129265494083e-08,0.9999999822870734
M33 X-7,10000000000000.0,1.7158089856099995e-20,1.7712926737922938e-08,0.9999999822870732
M33 X-7,10000000000000.0,1.80514887922111e-20,1.7712926936253287e-08,0.9999999822870731
M33 X-7,10000000000000.0,1.8991405823619278e-20,1.7712927144910434e-08,0.9999999822870729
M33 X-7,10000000000000.0,1.9980263085725508e-20,1.7712927364432082e-08,0.9999999822870727
M33 X-7,10000000000000.0,2.102060883130167e-20,1.7712927595383936e-08,0.9999999822870724
M33 X-7,10000000000000.0,2.2115123997254888e-20,1.7712927838361144e-08,0.9999999822870722
M33 X-7,10000000000000.0,2.3266629113314675e-20,1.7712928093989864e-08,0.9999999822870719
M33 X-7,10000000000000.0,2.4478091570444402e-20,1.771292836292883e-08,0.9999999822870717
M33 X-7,10000000000000.0,2.575263326771209e-20,1.77129286458711e-08,0.9999999822870713
M33 X-7,10000000000000.0,2.7093538657320487e-20,1.7712928943545792e-08,0.9999999822870711
M33 X-7,10000000000000.0,2.8504263208534436e-20,1.7712929256720025e-08,0.9999999822870708
M33 X-7,10000000000000.0,2.998844231231025e-20,1.7712929586200826e-08,0.9999999822870704
M33 X-7,10000000000000.0,3.154990064958095e-20,1.7712929932837264e-08,0.9999999822870701
M33 X-7,10000000000000.0,3.319266204733183e-20,1.7712930297522604e-08,0.9999999822870697
M33 X-7,10000000000000.0,3.4920959847872786e-20,1.7712930681196637e-08,0.9999999822870693
M33 X-7,10000000000000.0,3.6739247818020665e-20,1.7712931084848074e-08,0.9999999822870689
M33 X-7,10000000000000.0,3.8652211626312696e-20,1.7712931509517117e-08,0.9999999822870685
M33 X-7,10000000000000.0,4.066478091781846e-20,1.7712931956298122e-08,0.999999982287068
M33 X-7,10000000000000.0,4.2782142017676215e-20,1.7712932426342426e-08,0.9999999822870675
M33 X-7,10000000000000.0,4.500975129608033e-20,1.7712932920861334e-08,0.9999999822870671
M33 X-7,10000000000000.0,4.735334922917121e-20,1.7712933441129197e-08,0.9999999822870665
M33 X-7,10000000000000.0,4.9818975192051443e-20,1.771293398848673e-08,0.999999982287066
M33 X-7,10000000000000.0,5.2412983022060616e-20,1.771293456434446e-08,0.9999999822870654
M33 X-7,10000000000000.0,5.514205739240325e-20,1.771293517018636e-08,0.9999999822870649
M33 X-7,10000000000000.0,5.801323103833379e-20,1.771293580757366e-08,0.9999999822870642
M33 X-7,10000000000000.0,6.103390288028647e-20,1.7712936478148898e-08,0.9999999822870635
M33 X-7,10000000000000.0,6.421185709064758e-20,1.7712937183640125e-08,0.9999999822870628
M33 X-7,10000000000000.0,6.755528315331668e-20,1.771293792586537e-08,0.9999999822870621
M33 X-7,10000000000000.0,7.107279696773412e-20,1.7712938706737336e-08,0.9999999822870613
