series,survey,observable,z,value,error
desi_dvrd_points,DESI,Delta(D_V/r_d),0.295,-0.02,0.01
desi_dvrd_points,DESI,Delta(D_V/r_d),0.51,-0.015,0.008
desi_dvrd_points,DESI,Delta(D_V/r_d),0.7,-0.012,0.007
desi_dvrd_points,DESI,Delta(D_V/r_d),0.934,-0.01,0.006
desi_dvrd_points,DESI,Delta(D_V/r_d),1.1,-0.005,0.007
desi_dvrd_points,DESI,Delta(D_V/r_d),1.32,0.0,0.008
desi_dvrd_points,DESI,Delta(D_V/r_d),2.33,0.01,0.012
desi_fap_points,DESI,Delta(F_AP),0.295,-0.01,0.02
desi_fap_points,DESI,Delta(F_AP),0.51,0.0,0.02
desi_fap_points,DESI,Delta(F_AP),0.7,0.01,0.02
desi_fap_points,DESI,Delta(F_AP),0.934,0.02,0.02
desi_fap_points,DESI,Delta(F_AP),1.1,0.02,0.02
desi_fap_points,DESI,Delta(F_AP),1.32,0.02,0.02
desi_fap_points,DESI,Delta(F_AP),2.33,-0.03,0.04
sne_mu_points,Union3,Delta(mu),0.1,-0.08,0.1
sne_mu_points,Union3,Delta(mu),0.2,-0.12,0.08
sne_mu_points,Union3,Delta(mu),0.3,-0.1,0.07
sne_mu_points,Union3,Delta(mu),0.4,-0.07,0.06
sne_mu_points,Union3,Delta(mu),0.5,-0.05,0.05
sne_mu_points,Union3,Delta(mu),0.6,-0.02,0.05
sne_mu_points,Union3,Delta(mu),0.7,0.0,0.05
