model,model_label,parameter,parameter_label,delta,sigma_combined,shift_sigma
ede,EDE,omega_m,$\Omega_m$,-0.0038000000000000256,0.005303772242470448,-0.7164711881047933
ede,EDE,H0,$H_0$ [km s$^{-1}$ Mpc$^{-1}$],2.780000000000001,1.0384603988597736,2.6770399748054263
ede,EDE,sigma8,$\sigma_8$,0.018199999999999994,0.010804628637764463,1.6844632620122773
ede,EDE,ns,$n_s$,0.014500000000000068,0.007158910531638176,2.0254478577317863
ede,EDE,ombh2,$\omega_b$,0.00011999999999999858,0.00021633307652783938,0.5547001962252225
ede,EDE,ln10As,$\ln(10^{10} A_s)$,0.01100000000000012,0.022022715545545243,0.4994842701051552
ede,EDE,tau,$\tau$,-0.0039000000000000007,0.01053612832116238,-0.3701549450728159
ede,EDE,S8,$S_8$,0.013081630718458803,0.013010189819660314,1.0054911496134
w0wa,$w_0w_a$,omega_m,$\Omega_m$,0.049299999999999955,0.021323461257497574,2.31200738963828
w0wa,$w_0w_a$,H0,$H_0$ [km s$^{-1}$ Mpc$^{-1}$],-4.6200000000000045,1.9205207627099479,-2.4055975283917057
w0wa,$w_0w_a$,sigma8,$\sigma_8$,-0.030100000000000016,0.01691892431568863,-1.7790729149422815
w0wa,$w_0w_a$,ns,$n_s$,-0.0040000000000000036,0.005024937810560445,-0.796029752167992
w0wa,$w_0w_a$,ombh2,$\omega_b$,-0.00011000000000000246,0.00017691806012954132,-0.6217567608386575
w0wa,$w_0w_a$,ln10As,$\ln(10^{10} A_s)$,-0.019000000000000128,0.0191049731745428,-0.9945054529214127
w0wa,$w_0w_a$,tau,$\tau$,-0.010100000000000005,0.010327632836231157,-0.9779588566091761
w0wa,$w_0w_a$,S8,$S_8$,0.03101897717873814,0.0314625623182555,0.9859011756566318
