label,n,median,lognormal_median,lognormal_sigma,p10,p25,p75,p90,p99,frac_lt_1e3,frac_lt_1e4
Overall (all modes),1500,0.0004249407871194731,0.00042425046650030457,1.1878717582945337,9.125879723291425e-05,0.0001891664013006976,0.0009046546054452167,0.0020565016876326328,0.007158164256168963,0.7773333333333333,0.114
Mode ℓ=2,1500,0.00029969399389983696,0.0003022512233461459,0.4915433574842744,0.00016364844646522006,0.00021834510238468815,0.00041952798455533174,0.0005626152228132173,0.0009160927707190097,0.9906666666666667,0.014
Mode ℓ=3,1500,0.0005442096794771895,0.0005368322623803995,0.6092280501621598,0.00024263944454427125,0.0003544538420492018,0.000795851727939984,0.0011601764578219184,0.0020436877959827617,0.8386666666666667,0.0026666666666666666
Mode ℓ=4,1500,0.0008338878376441905,0.0008293474822270589,0.7013018777346222,0.0003370029510331756,0.0005272452570300879,0.001332608718233947,0.002004724027438824,0.004538284357825646,0.612,0.0013333333333333333
Mode ℓ=5,1500,0.0011487391999432986,0.001170146622221948,0.8263058347897018,0.00040827083703078075,0.0006575058391546823,0.0020829698573754576,0.003413830686360864,0.008360600476597823,0.43733333333333335,0.0006666666666666666
Mode ℓ=6,1500,0.0015760452725361936,0.0015913584426855648,0.9167133591091298,0.0004867247534157782,0.0008626992605842476,0.0029170397056015626,0.005230001616930416,0.013752523457055339,0.30333333333333334,0.0033333333333333335
Mode ℓ=7,1500,0.0019739359360900297,0.001946010210001898,0.9599667680301123,0.0005630097371764583,0.0010155136842601004,0.0037128660648312346,0.006672480480309193,0.015328989726938748,0.24533333333333332,0.0006666666666666666
Mode ℓ=8,1500,0.0022674572547313277,0.002315204515718206,1.1064934063795064,0.0005697749953150097,0.0011355644032502274,0.004789193276960034,0.009888290828232728,0.03013854490146602,0.21466666666666667,0.006666666666666667
Extrap N2vsN3,1200,2.0311833782851758e-05,2.05495814942878e-05,0.9814929772368505,5.6088893747466295e-06,1.0585860909234146e-05,3.9303323956561656e-05,7.230728652897097e-05,0.000213604958303485,1.0,0.9475
Extrap N2vsN4,1200,5.34385905352434e-05,5.281663662215745e-05,1.2264824175228008,1.1505287518108567e-05,2.3053531036744737e-05,0.00012098649084987422,0.00026439720171843144,0.0008834756985330718,0.9941666666666666,0.705
