dataset,model,seed,train_roc_auc,train_pr_auc,val_roc_auc,val_pr_auc,test_roc_auc,test_pr_auc,best_epoch,runtime_sec,mean_rep_norm,num_train,num_val,num_test
bbbp,baseline_gnn,0,0.7789254980549334,0.9105146773720856,0.7758441558441558,0.9110930956207424,0.791766826923077,0.911752785284444,2,240.88980841636655,308.0936279296875,1304,327,408
clintox,baseline_gnn,2,0.4790005374057685,0.5035714158481558,0.4905554033028682,0.5145730836882635,0.502467335775886,0.5288640555496026,1,191.19089531898496,311.5002746582031,944,237,296
clintox,baseline_gnn,0,0.4974772871008719,0.5128538336227025,0.5238509567987057,0.5314433900272058,0.5208979436630847,0.5325926247459549,1,105.8140468597412,359.2279357910156,768,192,240
bbbp,baseline_gnn,1,0.8096012286009928,0.921121398913695,0.8398181818181818,0.9407463367254558,0.8138688568376069,0.9279669522960352,4,59.44775772094727,339.71484375,1304,327,408
bace,baseline_gnn,1,0.6497513892951156,0.5877613217282189,0.640121037067602,0.5625045638447261,0.611111111111111,0.518571811036352,2,126.5879762172699,484.77093505859375,968,242,303
bbbp,baseline_gnn,2,0.8336313149174165,0.9376421797661104,0.8340779220779221,0.933272809477424,0.7867254273504273,0.9177901292166556,2,282.0035026073456,287.6441650390625,1304,327,408
bace,baseline_gnn,2,0.7023123376288216,0.6628300666767734,0.6810398184443986,0.6292346234391205,0.750417215634607,0.7315137647131779,1,151.59716248512268,404.0959777832031,968,242,303
bace,baseline_gnn,0,0.6256430328785507,0.5812059531860964,0.6617151502647687,0.6061848105973406,0.6678963548528766,0.6123005811346403,1,100.04249167442322,446.4283142089844,968,242,303
clintox,baseline_gnn,1,0.6200963048773277,0.5375339367589678,0.7055743317086944,0.5801050246408369,0.6983585634722029,0.5644312170383365,2,120.51287364959715,368.25537109375,944,237,296
bace,ka_gnn,0,0.3795442423825336,0.3796141292545349,0.3761089333608418,0.3775084333565602,0.3578392621870883,0.3630003365937153,1,432.6766998767853,526.5508422851562,968,242,303
