structure_id,atom_index,symbol,latent_charge
0,0,C,0.25
0,1,H,0.25
0,2,H,0.25
0,3,H,0.25
0,4,C,-0.25
0,5,H,-0.25
0,6,H,-0.25
0,7,H,-0.25
1,0,C,0.25
1,1,H,0.25
1,2,H,0.25
1,3,H,0.25
1,4,C,-0.25
1,5,H,-0.25
1,6,H,-0.25
1,7,H,-0.25
2,0,C,0.25
2,1,H,0.25
2,2,H,0.25
2,3,H,0.25
2,4,C,-0.25
2,5,H,-0.25
2,6,H,-0.25
2,7,H,-0.25
3,0,C,0.25
3,1,H,0.25
3,2,H,0.25
3,3,H,0.25
3,4,C,-0.25
3,5,H,-0.25
3,6,H,-0.25
3,7,H,-0.25
4,0,C,0.25
4,1,H,0.25
4,2,H,0.25
4,3,H,0.25
4,4,C,-0.25
4,5,H,-0.25
4,6,H,-0.25
4,7,H,-0.25
5,0,C,0.25
5,1,H,0.25
5,2,H,0.25
5,3,H,0.25
5,4,C,-0.25
5,5,H,-0.25
5,6,H,-0.25
5,7,H,-0.25
6,0,C,0.25
6,1,H,0.25
6,2,H,0.25
6,3,H,0.25
6,4,C,-0.25
6,5,H,-0.25
6,6,H,-0.25
6,7,H,-0.25
7,0,C,0.25
7,1,H,0.25
7,2,H,0.25
7,3,H,0.25
7,4,C,-0.25
7,5,H,-0.25
7,6,H,-0.25
7,7,H,-0.25
8,0,C,0.25
8,1,H,0.25
8,2,H,0.25
8,3,H,0.25
8,4,C,-0.25
8,5,H,-0.25
8,6,H,-0.25
8,7,H,-0.25
9,0,C,0.25
9,1,H,0.25
9,2,H,0.25
9,3,H,0.25
9,4,C,-0.25
9,5,H,-0.25
9,6,H,-0.25
9,7,H,-0.25
10,0,C,0.25
10,1,H,0.25
10,2,H,0.25
10,3,H,0.25
10,4,C,-0.25
10,5,H,-0.25
10,6,H,-0.25
10,7,H,-0.25
11,0,C,0.25
11,1,H,0.25
11,2,H,0.25
11,3,H,0.25
11,4,C,-0.25
11,5,H,-0.25
11,6,H,-0.25
11,7,H,-0.25
