start_dates,end_dates,changes,errors,unit,author
1990.75,1991.75,0.1259,0.2545,mwe,Huss et al.
1991.75,1992.75,0.8266,0.358,mwe,Huss et al.
1992.75,1993.75,0.4962,0.351,mwe,Huss et al.
1993.75,1994.75,-0.4901,0.4308,mwe,Huss et al.
1994.75,1995.75,0.6077,0.3317,mwe,Huss et al.
1995.75,1996.75,-0.4237,0.2174,mwe,Huss et al.
1996.75,1997.75,-0.6489,0.4318,mwe,Huss et al.
1997.75,1998.75,0.0015,0.3456,mwe,Huss et al.
1998.75,1999.75,-0.3801,0.2683,mwe,Huss et al.
1999.75,2000.75,0.4253,0.2332,mwe,Huss et al.
2000.75,2001.75,-0.7508,0.43,mwe,Huss et al.
2001.75,2002.75,-1.5445,0.5337,mwe,Huss et al.
2002.75,2003.75,-1.7307,0.3262,mwe,Huss et al.
2003.75,2004.75,0.0008,0.4597,mwe,Huss et al.
2004.75,2005.75,0.1259,0.2086,mwe,Huss et al.
2005.75,2006.75,-0.4085,0.2819,mwe,Huss et al.
2006.75,2007.75,-0.5885,0.2813,mwe,Huss et al.
2007.75,2008.75,-0.2852,0.1966,mwe,Huss et al.
2008.75,2009.75,-0.1397,0.1835,mwe,Huss et al.
2009.75,2010.75,-0.1551,0.1521,mwe,Huss et al.
2010.75,2011.75,-1.2605,0.1662,mwe,Huss et al.
2011.75,2012.75,-0.8183,0.1654,mwe,Huss et al.
2012.75,2013.75,0.1858,0.1919,mwe,Huss et al.
2013.75,2014.75,0.5482,0.2423,mwe,Huss et al.
2014.75,2015.75,-1.3203,0.2129,mwe,Huss et al.
2015.75,2016.75,-0.345,0.1521,mwe,Huss et al.
2016.75,2017.75,-1.0856,0.2283,mwe,Huss et al.
2017.75,2018.75,-1.0421,0.2484,mwe,Huss et al.
2018.75,2019.75,-0.2441,0.1721,mwe,Huss et al.
2019.75,2020.75,-0.4468,0.218,mwe,Huss et al.
2020.75,2021.75,0.0703,0.2245,mwe,Huss et al.
