start_dates,end_dates,changes,errors,unit,author
1970.75,1971.75,-25.08,27.16,Gt,Box et al.
1971.75,1972.75,-68.03,26.46,Gt,Box et al.
1972.75,1973.75,-14.52,15.28,Gt,Box et al.
1973.75,1974.75,-89.19,63.6,Gt,Box et al.
1974.75,1975.75,-22.15,55.14,Gt,Box et al.
1975.75,1976.75,-33.56,29.89,Gt,Box et al.
1976.75,1977.75,25.17,52.92,Gt,Box et al.
1977.75,1978.75,-16.62,32.42,Gt,Box et al.
1978.75,1979.75,-61.02,31.98,Gt,Box et al.
1979.75,1980.75,40.23,47.19,Gt,Box et al.
1980.75,1981.75,38.67,112.56,Gt,Box et al.
1981.75,1982.75,-41.6,22.11,Gt,Box et al.
1982.75,1983.75,-57.38,44.25,Gt,Box et al.
1983.75,1984.75,-36.91,28.84,Gt,Box et al.
1984.75,1985.75,-2.64,41.51,Gt,Box et al.
1985.75,1986.75,-33.27,14.39,Gt,Box et al.
1986.75,1987.75,-20.34,57.32,Gt,Box et al.
1987.75,1988.75,14.16,28.89,Gt,Box et al.
1988.75,1989.75,-89.18,28.32,Gt,Box et al.
1989.75,1990.75,-106.87,48.18,Gt,Box et al.
1990.75,1991.75,-40.8,23.32,Gt,Box et al.
1991.75,1992.75,-50.81,20.48,Gt,Box et al.
1992.75,1993.75,-88.67,32.89,Gt,Box et al.
1993.75,1994.75,-50.36,7.51,Gt,Box et al.
1994.75,1995.75,-82.52,15.86,Gt,Box et al.
1995.75,1996.75,-100.02,28.22,Gt,Box et al.
1996.75,1997.75,-146.24,14.11,Gt,Box et al.
1997.75,1998.75,-33.08,39.56,Gt,Box et al.
1998.75,1999.75,-75.37,44.85,Gt,Box et al.
1999.75,2000.75,-8.01,15.19,Gt,Box et al.
2000.75,2001.75,-36.2,42.42,Gt,Box et al.
2001.75,2002.75,-55.54,8.61,Gt,Box et al.
2002.75,2003.75,-58.51,69.3,Gt,Box et al.
2003.75,2004.75,-162.52,31.91,Gt,Box et al.
2004.75,2005.75,-101.63,27.47,Gt,Box et al.
2005.75,2006.75,-36.55,31.66,Gt,Box et al.
2006.75,2007.75,-36.76,21.11,Gt,Box et al.
2007.75,2008.75,60.01,4.12,Gt,Box et al.
2008.75,2009.75,-87.16,25.01,Gt,Box et al.
2009.75,2010.75,-74.07,57.58,Gt,Box et al.
2010.75,2011.75,-99.76,32.43,Gt,Box et al.
2011.75,2012.75,23.21,56.33,Gt,Box et al.
2012.75,2013.75,-122.09,7.68,Gt,Box et al.
2013.75,2014.75,-95.72,43.58,Gt,Box et al.
2014.75,2015.75,-113.12,29.3,Gt,Box et al.
2015.75,2016.75,-96.88,47.49,Gt,Box et al.
2016.75,2017.75,-120.75,27.11,Gt,Box et al.
2017.75,2018.75,-129.34,57.03,Gt,Box et al.
2018.75,2019.75,-165.37,59.77,Gt,Box et al.
2019.75,2020.75,-79.89,38.44,Gt,Box et al.
2020.75,2021.75,-60.98,26.48,Gt,Box et al.
2021.75,2022.75,-102.2,8.02,Gt,Box et al.
