start_dates,end_dates,changes,errors,unit,author
1990.75,1991.75,-0.475,0.3026,mwe,Huss et al.
1991.75,1992.75,0.0011,0.3666,mwe,Huss et al.
1992.75,1993.75,0.2801,0.3175,mwe,Huss et al.
1993.75,1994.75,-0.4066,0.3161,mwe,Huss et al.
1994.75,1995.75,-0.4298,0.3095,mwe,Huss et al.
1995.75,1996.75,-0.1758,0.291,mwe,Huss et al.
1996.75,1997.75,-1.1991,0.4296,mwe,Huss et al.
1997.75,1998.75,-0.407,0.259,mwe,Huss et al.
1998.75,1999.75,-0.8148,0.4189,mwe,Huss et al.
1999.75,2000.75,-0.0978,0.1896,mwe,Huss et al.
2000.75,2001.75,-0.5739,0.2116,mwe,Huss et al.
2001.75,2002.75,-0.4549,0.2648,mwe,Huss et al.
2002.75,2003.75,-1.5753,0.6044,mwe,Huss et al.
2003.75,2004.75,-1.4171,0.6675,mwe,Huss et al.
2004.75,2005.75,-0.1124,0.2161,mwe,Huss et al.
2005.75,2006.75,-0.9609,0.2221,mwe,Huss et al.
2006.75,2007.75,-0.2818,0.4334,mwe,Huss et al.
2007.75,2008.75,-0.2454,0.2086,mwe,Huss et al.
2008.75,2009.75,-0.5804,0.2181,mwe,Huss et al.
2009.75,2010.75,-0.2697,0.1481,mwe,Huss et al.
2010.75,2011.75,0.3718,0.1724,mwe,Huss et al.
2011.75,2012.75,-0.7755,0.1483,mwe,Huss et al.
2012.75,2013.75,-0.1372,0.2237,mwe,Huss et al.
2013.75,2014.75,-0.4897,0.2273,mwe,Huss et al.
2014.75,2015.75,-0.2228,0.1906,mwe,Huss et al.
2015.75,2016.75,-0.3657,0.1958,mwe,Huss et al.
2016.75,2017.75,-0.361,0.1966,mwe,Huss et al.
2017.75,2018.75,-0.6665,0.1935,mwe,Huss et al.
2018.75,2019.75,-0.4987,0.2489,mwe,Huss et al.
2019.75,2020.75,-0.4225,0.3036,mwe,Huss et al.
2020.75,2021.75,-0.0605,0.516,mwe,Huss et al.
