region,mean_annual_mwe
central_europe,-1.061529869356995
new_zealand,-0.960771550950061
southern_andes,-0.9192548379252351
iceland,-0.7840805613867668
alaska,-0.7320277166261931
western_canada_us,-0.6947335348602119
caucasus_middle_east,-0.6219138378128549
scandinavia,-0.5826021493223924
north_asia,-0.5764891663859191
arctic_canada_south,-0.5700617959389733
south_asia_east,-0.5269353933080533
greenland_periphery,-0.4466051923613572
low_latitudes,-0.4207200030056206
svalbard,-0.4181794988022909
russian_arctic,-0.3151662062045248
arctic_canada_north,-0.2930927604783487
central_asia,-0.2178055248383941
south_asia_west,-0.17631171148007532
antarctic_and_subantarctic,-0.14547475060075707
