start_dates,end_dates,changes,errors,unit,author
2002.75,2003.75,-58.51,69.3,Gt,Box et al.
2003.75,2004.75,-162.52,31.91,Gt,Box et al.
2004.75,2005.75,-101.63,27.47,Gt,Box et al.
2005.75,2006.75,-36.55,31.66,Gt,Box et al.
2006.75,2007.75,-36.76,21.11,Gt,Box et al.
2007.75,2008.75,60.01,4.12,Gt,Box et al.
2008.75,2009.75,-87.16,25.01,Gt,Box et al.
2009.75,2010.75,-74.07,57.58,Gt,Box et al.
2010.75,2011.75,-99.76,32.43,Gt,Box et al.
2011.75,2012.75,23.21,56.33,Gt,Box et al.
2012.75,2013.75,-122.09,7.68,Gt,Box et al.
2013.75,2014.75,-95.72,43.58,Gt,Box et al.
2014.75,2015.75,-113.12,29.3,Gt,Box et al.
