start_dates,end_dates,changes,errors,unit,author
1990.75,1991.75,-0.1169,0.1852,mwe,Huss et al.
1991.75,1992.75,-0.1005,0.1499,mwe,Huss et al.
1992.75,1993.75,-0.2584,0.1054,mwe,Huss et al.
1993.75,1994.75,-0.1407,0.0672,mwe,Huss et al.
1994.75,1995.75,-0.2198,0.1603,mwe,Huss et al.
1995.75,1996.75,0.0789,0.2995,mwe,Huss et al.
1996.75,1997.75,0.0335,0.2569,mwe,Huss et al.
1997.75,1998.75,-0.1569,0.2307,mwe,Huss et al.
1998.75,1999.75,-0.331,0.1587,mwe,Huss et al.
1999.75,2000.75,-0.317,0.1187,mwe,Huss et al.
2000.75,2001.75,-0.2002,0.2118,mwe,Huss et al.
2001.75,2002.75,0.0831,0.1661,mwe,Huss et al.
2002.75,2003.75,-0.0554,0.3265,mwe,Huss et al.
2003.75,2004.75,0.1092,0.1689,mwe,Huss et al.
2004.75,2005.75,-0.4422,0.2292,mwe,Huss et al.
2005.75,2006.75,-0.0684,0.1888,mwe,Huss et al.
2006.75,2007.75,-0.5979,0.1752,mwe,Huss et al.
2007.75,2008.75,-0.6731,0.1758,mwe,Huss et al.
2008.75,2009.75,-0.5019,0.1013,mwe,Huss et al.
2009.75,2010.75,-0.194,0.1888,mwe,Huss et al.
2010.75,2011.75,-0.8372,0.1305,mwe,Huss et al.
2011.75,2012.75,-0.7577,0.2938,mwe,Huss et al.
2012.75,2013.75,0.1083,0.2293,mwe,Huss et al.
2013.75,2014.75,-0.2931,0.2847,mwe,Huss et al.
2014.75,2015.75,-0.5423,0.2468,mwe,Huss et al.
2015.75,2016.75,-0.2686,0.2337,mwe,Huss et al.
2016.75,2017.75,0.1078,0.2765,mwe,Huss et al.
2017.75,2018.75,0.0906,0.1869,mwe,Huss et al.
2018.75,2019.75,-0.6422,0.2614,mwe,Huss et al.
2019.75,2020.75,-0.5124,0.1008,mwe,Huss et al.
2020.75,2021.75,-0.3979,0.3307,mwe,Huss et al.
