start_dates,end_dates,changes,errors,unit,author
1990.75,1991.75,0.0064,0.1639,mwe,Huss et al.
1991.75,1992.75,0.9089,0.1795,mwe,Huss et al.
1992.75,1993.75,0.8721,0.212,mwe,Huss et al.
1993.75,1994.75,-0.0251,0.2006,mwe,Huss et al.
1994.75,1995.75,0.6018,0.1766,mwe,Huss et al.
1995.75,1996.75,-0.5335,0.2546,mwe,Huss et al.
1996.75,1997.75,-0.4291,0.3096,mwe,Huss et al.
1997.75,1998.75,-0.1892,0.1621,mwe,Huss et al.
1998.75,1999.75,-0.4716,0.2029,mwe,Huss et al.
1999.75,2000.75,0.5834,0.1575,mwe,Huss et al.
2000.75,2001.75,-1.1794,0.2823,mwe,Huss et al.
2001.75,2002.75,-1.3445,0.1802,mwe,Huss et al.
2002.75,2003.75,-1.5865,0.1767,mwe,Huss et al.
2003.75,2004.75,-0.4328,0.2816,mwe,Huss et al.
2004.75,2005.75,0.0926,0.1421,mwe,Huss et al.
2005.75,2006.75,-2.0132,0.1971,mwe,Huss et al.
2006.75,2007.75,0.2063,0.2068,mwe,Huss et al.
2007.75,2008.75,0.1083,0.1911,mwe,Huss et al.
2008.75,2009.75,-0.3886,0.1375,mwe,Huss et al.
2009.75,2010.75,-1.2349,0.1255,mwe,Huss et al.
2010.75,2011.75,-1.2496,0.1999,mwe,Huss et al.
2011.75,2012.75,0.6236,0.1561,mwe,Huss et al.
2012.75,2013.75,-1.4438,0.2339,mwe,Huss et al.
2013.75,2014.75,-0.9853,0.2408,mwe,Huss et al.
2014.75,2015.75,0.68,0.1921,mwe,Huss et al.
2015.75,2016.75,-0.4388,0.191,mwe,Huss et al.
2016.75,2017.75,0.3522,0.1629,mwe,Huss et al.
2017.75,2018.75,-1.5041,0.1162,mwe,Huss et al.
2018.75,2019.75,-0.5226,0.1571,mwe,Huss et al.
2019.75,2020.75,0.631,0.2734,mwe,Huss et al.
2020.75,2021.75,-0.8309,0.2257,mwe,Huss et al.
