path,region_slug,region,method,dataset_name,n_rows,start_min,end_max,unit_values,author_label,method_label
data/glambie/input/10_north_asia/north_asia_combined_DUS-combined_Dussaillant_et_al.csv,north_asia,North Asia,combined,north_asia_combined_DUS-combined_Dussaillant_et_al,25,1999.75,2024.75,mwe,Dussaillant et al.,Hybrid / combined
data/glambie/input/10_north_asia/north_asia_combined_Huss_Huss_et_al.csv,north_asia,North Asia,combined,north_asia_combined_Huss_Huss_et_al,31,1990.75,2021.75,mwe,Huss et al.,Hybrid / combined
data/glambie/input/10_north_asia/north_asia_demdiff_ETH_Hugonnet_et_al.csv,north_asia,North Asia,demdiff,north_asia_demdiff_ETH_Hugonnet_et_al,4,2000.0,2020.0,m,Hugonnet et al.,DEM differencing
data/glambie/input/10_north_asia/north_asia_glaciological_UZH_GlaciolSineWave_Zemp_et_al.csv,north_asia,North Asia,glaciological,north_asia_glaciological_UZH_GlaciolSineWave_Zemp_et_al,301,1999.6666666666667,2024.75,mwe,Zemp et al.,Glaciological
data/glambie/input/10_north_asia/north_asia_glaciological_WGMS-beta_WGMS.csv,north_asia,North Asia,glaciological,north_asia_glaciological_WGMS-beta_WGMS,25,1999.75,2024.75,mwe,WGMS,Glaciological
data/glambie/input/10_north_asia/north_asia_gravimetry_Jacob_2012_dmdt_Jacob_et_al.csv,north_asia,North Asia,gravimetry,north_asia_gravimetry_Jacob_2012_dmdt_Jacob_et_al,1,2003.0,2010.9166666666667,Gt,Jacob et al.,Gravimetry
data/glambie/input/10_north_asia/north_asia_gravimetry_Sasgen_AWIarc_RL01_2_Sasgen_et_al.csv,north_asia,North Asia,gravimetry,north_asia_gravimetry_Sasgen_AWIarc_RL01_2_Sasgen_et_al,248,2002.25,2022.9166666666667,Gt,Sasgen et al.,Gravimetry
data/glambie/input/10_north_asia/north_asia_gravimetry_Wouters_Wouters_et_al.csv,north_asia,North Asia,gravimetry,north_asia_gravimetry_Wouters_Wouters_et_al,236,2002.1666666666667,2021.8333333333333,Gt,Wouters et al.,Gravimetry
data/glambie/input/11_central_europe/central_europe_combined_DUS-combined_Dussaillant_et_al.csv,central_europe,Central Europe,combined,central_europe_combined_DUS-combined_Dussaillant_et_al,25,1999.75,2024.75,mwe,Dussaillant et al.,Hybrid / combined
data/glambie/input/11_central_europe/central_europe_combined_Huss_Huss_et_al.csv,central_europe,Central Europe,combined,central_europe_combined_Huss_Huss_et_al,31,1990.75,2021.75,mwe,Huss et al.,Hybrid / combined
data/glambie/input/11_central_europe/central_europe_demdiff_ETH_Hugonnet_et_al.csv,central_europe,Central Europe,demdiff,central_europe_demdiff_ETH_Hugonnet_et_al,4,2000.0,2020.0,m,Hugonnet et al.,DEM differencing
data/glambie/input/11_central_europe/central_europe_demdiff_FAU-GLACIER_Braun_et_al.csv,central_europe,Central Europe,demdiff,central_europe_demdiff_FAU-GLACIER_Braun_et_al,1,2000.1666666666667,2012.0833333333333,m,Braun et al.,DEM differencing
data/glambie/input/11_central_europe/central_europe_glaciological_UZH_GlaciolSineWave_Zemp_et_al.csv,central_europe,Central Europe,glaciological,central_europe_glaciological_UZH_GlaciolSineWave_Zemp_et_al,301,1999.6666666666667,2024.75,mwe,Zemp et al.,Glaciological
data/glambie/input/11_central_europe/central_europe_glaciological_WGMS-beta_WGMS.csv,central_europe,Central Europe,glaciological,central_europe_glaciological_WGMS-beta_WGMS,25,1999.75,2024.75,mwe,WGMS,Glaciological
data/glambie/input/11_central_europe/central_europe_gravimetry_Jacob_2012_dmdt_Jacob_et_al.csv,central_europe,Central Europe,gravimetry,central_europe_gravimetry_Jacob_2012_dmdt_Jacob_et_al,1,2003.0,2010.9166666666667,Gt,Jacob et al.,Gravimetry
data/glambie/input/11_central_europe/central_europe_gravimetry_Sasgen_AWIarc_RL01_2_Sasgen_et_al.csv,central_europe,Central Europe,gravimetry,central_europe_gravimetry_Sasgen_AWIarc_RL01_2_Sasgen_et_al,248,2002.25,2022.9166666666667,Gt,Sasgen et al.,Gravimetry
data/glambie/input/11_central_europe/central_europe_gravimetry_Wouters_Wouters_et_al.csv,central_europe,Central Europe,gravimetry,central_europe_gravimetry_Wouters_Wouters_et_al,236,2002.1666666666667,2021.8333333333333,Gt,Wouters et al.,Gravimetry
data/glambie/input/12_caucasus_middle_east/caucasus_middle_east_combined_DUS-combined_Dussaillant_et_al.csv,caucasus_middle_east,Caucasus Middle East,combined,caucasus_middle_east_combined_DUS-combined_Dussaillant_et_al,25,1999.75,2024.75,mwe,Dussaillant et al.,Hybrid / combined
data/glambie/input/12_caucasus_middle_east/caucasus_middle_east_combined_Huss_Huss_et_al.csv,caucasus_middle_east,Caucasus Middle East,combined,caucasus_middle_east_combined_Huss_Huss_et_al,31,1990.75,2021.75,mwe,Huss et al.,Hybrid / combined
data/glambie/input/12_caucasus_middle_east/caucasus_middle_east_demdiff_ETH_Hugonnet_et_al.csv,caucasus_middle_east,Caucasus Middle East,demdiff,caucasus_middle_east_demdiff_ETH_Hugonnet_et_al,4,2000.0,2020.0,m,Hugonnet et al.,DEM differencing
data/glambie/input/12_caucasus_middle_east/caucasus_middle_east_glaciological_UZH_GlaciolSineWave_Zemp_et_al.csv,caucasus_middle_east,Caucasus Middle East,glaciological,caucasus_middle_east_glaciological_UZH_GlaciolSineWave_Zemp_et_al,301,1999.6666666666667,2024.75,mwe,Zemp et al.,Glaciological
data/glambie/input/12_caucasus_middle_east/caucasus_middle_east_glaciological_WGMS-beta_WGMS.csv,caucasus_middle_east,Caucasus Middle East,glaciological,caucasus_middle_east_glaciological_WGMS-beta_WGMS,25,1999.75,2024.75,mwe,WGMS,Glaciological
