start_dates,end_dates,changes,errors,unit,author
1990.75,1991.75,-0.2508,0.2449,mwe,Huss et al.
1991.75,1992.75,-0.0726,0.2501,mwe,Huss et al.
1992.75,1993.75,0.7407,0.3088,mwe,Huss et al.
1993.75,1994.75,-0.7229,0.3328,mwe,Huss et al.
1994.75,1995.75,-0.0223,0.2534,mwe,Huss et al.
1995.75,1996.75,-0.143,0.3357,mwe,Huss et al.
1996.75,1997.75,0.2003,0.2187,mwe,Huss et al.
1997.75,1998.75,-1.2366,0.201,mwe,Huss et al.
1998.75,1999.75,-0.6959,0.2764,mwe,Huss et al.
1999.75,2000.75,-1.1406,0.4974,mwe,Huss et al.
2000.75,2001.75,-0.7008,0.271,mwe,Huss et al.
2001.75,2002.75,0.3359,0.3039,mwe,Huss et al.
2002.75,2003.75,0.2077,0.2181,mwe,Huss et al.
2003.75,2004.75,0.5199,0.2232,mwe,Huss et al.
2004.75,2005.75,0.2953,0.1945,mwe,Huss et al.
2005.75,2006.75,-0.7646,0.1931,mwe,Huss et al.
2006.75,2007.75,-1.4898,0.6156,mwe,Huss et al.
2007.75,2008.75,-0.4293,0.3226,mwe,Huss et al.
2008.75,2009.75,-0.2979,0.2193,mwe,Huss et al.
2009.75,2010.75,-0.8606,0.2855,mwe,Huss et al.
2010.75,2011.75,-0.7582,0.2124,mwe,Huss et al.
2011.75,2012.75,-1.3886,0.4065,mwe,Huss et al.
2012.75,2013.75,-0.3878,0.3489,mwe,Huss et al.
2013.75,2014.75,-1.1985,0.3025,mwe,Huss et al.
2014.75,2015.75,-1.0195,0.3842,mwe,Huss et al.
2015.75,2016.75,-0.827,0.2296,mwe,Huss et al.
2016.75,2017.75,-0.8115,0.2259,mwe,Huss et al.
2017.75,2018.75,-0.0683,0.5934,mwe,Huss et al.
2018.75,2019.75,-0.702,0.2401,mwe,Huss et al.
2019.75,2020.75,-1.3837,0.3462,mwe,Huss et al.
2020.75,2021.75,-0.0891,0.3494,mwe,Huss et al.
