start_dates,end_dates,changes,errors,unit,author
1990.75,1991.75,0.2895,0.1587,mwe,Huss et al.
1991.75,1992.75,0.0784,0.1787,mwe,Huss et al.
1992.75,1993.75,-0.5883,0.1804,mwe,Huss et al.
1993.75,1994.75,0.2466,0.1166,mwe,Huss et al.
1994.75,1995.75,-0.3417,0.2259,mwe,Huss et al.
1995.75,1996.75,-0.1571,0.4353,mwe,Huss et al.
1996.75,1997.75,-0.0732,0.1578,mwe,Huss et al.
1997.75,1998.75,-0.5462,0.2083,mwe,Huss et al.
1998.75,1999.75,-0.1602,0.2159,mwe,Huss et al.
1999.75,2000.75,0.1026,0.1142,mwe,Huss et al.
2000.75,2001.75,-0.4641,0.3192,mwe,Huss et al.
2001.75,2002.75,-0.249,0.2025,mwe,Huss et al.
2002.75,2003.75,-0.3854,0.2104,mwe,Huss et al.
2003.75,2004.75,-0.5727,0.1996,mwe,Huss et al.
2004.75,2005.75,-0.3402,0.2283,mwe,Huss et al.
2005.75,2006.75,-0.1641,0.1498,mwe,Huss et al.
2006.75,2007.75,-0.2438,0.1738,mwe,Huss et al.
2007.75,2008.75,0.0142,0.2018,mwe,Huss et al.
2008.75,2009.75,-0.4363,0.2975,mwe,Huss et al.
2009.75,2010.75,-0.1081,0.1865,mwe,Huss et al.
2010.75,2011.75,-0.6359,0.1567,mwe,Huss et al.
2011.75,2012.75,0.0131,0.1623,mwe,Huss et al.
2012.75,2013.75,-0.4984,0.3041,mwe,Huss et al.
2013.75,2014.75,-0.0758,0.2445,mwe,Huss et al.
2014.75,2015.75,-0.5037,0.2986,mwe,Huss et al.
2015.75,2016.75,-0.4608,0.2893,mwe,Huss et al.
2016.75,2017.75,-0.1214,0.2487,mwe,Huss et al.
2017.75,2018.75,-0.5409,0.2978,mwe,Huss et al.
2018.75,2019.75,-0.3688,0.2037,mwe,Huss et al.
2019.75,2020.75,-1.2474,0.4114,mwe,Huss et al.
2020.75,2021.75,-0.1469,0.1646,mwe,Huss et al.
