region,total_gt,mean_annual_gt,mean_annual_mwe,last5_mean_gt,n_years,input_estimates
Alaska,-1473.8598965717972,-61.41082902382488,-0.7320277166261931,-78.21128023405913,24,13
Greenland Periphery,-850.4780845137108,-35.436586854737946,-0.4466051923613572,-59.47372604182634,24,13
Arctic Canada North,-730.2377194967462,-30.42657164569776,-0.2930927604783487,-39.438538183812064,24,20
Southern Andes,-630.7891720171691,-26.282882167382045,-0.9192548379252353,-34.318514977773035,24,15
Arctic Canada South,-552.2424313440208,-23.010101306000866,-0.5700617959389733,-27.102594085321403,24,20
Antarctic & Subantarctic,-427.65968769654876,-17.819153654022866,-0.14547475060075707,-34.28447405784742,24,8
Russian Arctic,-384.42767456889004,-16.017819773703753,-0.3151662062045248,-33.302864452748786,24,19
Svalbard,-331.08363639456326,-13.795151516440136,-0.4181794988022909,-26.7156388538535,24,18
Central Asia,-251.6272739530213,-10.484469748042555,-0.2178055248383941,-21.734125979752967,24,15
Western Canada & US,-221.84715123127054,-9.243631301302939,-0.6947335348602119,-18.273718304766525,24,12
Iceland,-199.07746929543939,-8.294894553976642,-0.7840805613867668,-8.025952760671487,24,22
South Asia East,-176.52050865588853,-7.355021193995356,-0.5269353933080532,-10.315488974992821,24,15
South Asia West,-134.66267933090631,-5.610944972121096,-0.17631171148007532,-8.490529845827199,24,14
Central Europe,-47.32990613943336,-1.97207942247639,-1.061529869356995,-3.0780452064092256,24,9
Scandinavia,-40.03250661957987,-1.6680211091491612,-0.5826021493223924,-1.5990732769002043,24,10
North Asia,-32.52444754937645,-1.355185314557352,-0.5764891663859191,-1.518257042197638,24,8
Low Latitudes,-20.40100296290808,-0.85004179012117,-0.4207200030056206,-0.7330231773612923,24,10
New Zealand,-19.990888860633756,-0.8329537025264065,-0.960771550950061,-1.2887569370416476,24,9
Caucasus & Middle East,-17.67849082597917,-0.7366037844157988,-0.6219138378128549,-0.9042722011721747,24,7
