file,n_rows,n_cols,columns,region_dir,top_level
input/10_north_asia/north_asia_combined_DUS-combined_Dussaillant_et_al.csv,25,6,start_dates|end_dates|changes|errors|unit|author,10_north_asia,input
input/10_north_asia/north_asia_combined_Huss_Huss_et_al.csv,31,6,start_dates|end_dates|changes|errors|unit|author,10_north_asia,input
input/10_north_asia/north_asia_demdiff_ETH_Hugonnet_et_al.csv,4,6,start_dates|end_dates|changes|errors|unit|author,10_north_asia,input
input/10_north_asia/north_asia_glaciological_UZH_GlaciolSineWave_Zemp_et_al.csv,301,6,start_dates|end_dates|changes|errors|unit|author,10_north_asia,input
input/10_north_asia/north_asia_glaciological_WGMS-beta_WGMS.csv,25,6,start_dates|end_dates|changes|errors|unit|author,10_north_asia,input
input/10_north_asia/north_asia_gravimetry_Jacob_2012_dmdt_Jacob_et_al.csv,1,6,start_dates|end_dates|changes|errors|unit|author,10_north_asia,input
input/10_north_asia/north_asia_gravimetry_Sasgen_AWIarc_RL01_2_Sasgen_et_al.csv,248,6,start_dates|end_dates|changes|errors|unit|author,10_north_asia,input
input/10_north_asia/north_asia_gravimetry_Wouters_Wouters_et_al.csv,236,6,start_dates|end_dates|changes|errors|unit|author,10_north_asia,input
input/11_central_europe/central_europe_combined_DUS-combined_Dussaillant_et_al.csv,25,6,start_dates|end_dates|changes|errors|unit|author,11_central_europe,input
input/11_central_europe/central_europe_combined_Huss_Huss_et_al.csv,31,6,start_dates|end_dates|changes|errors|unit|author,11_central_europe,input
input/11_central_europe/central_europe_demdiff_ETH_Hugonnet_et_al.csv,4,6,start_dates|end_dates|changes|errors|unit|author,11_central_europe,input
input/11_central_europe/central_europe_demdiff_FAU-GLACIER_Braun_et_al.csv,1,6,start_dates|end_dates|changes|errors|unit|author,11_central_europe,input
input/11_central_europe/central_europe_glaciological_UZH_GlaciolSineWave_Zemp_et_al.csv,301,6,start_dates|end_dates|changes|errors|unit|author,11_central_europe,input
input/11_central_europe/central_europe_glaciological_WGMS-beta_WGMS.csv,25,6,start_dates|end_dates|changes|errors|unit|author,11_central_europe,input
input/11_central_europe/central_europe_gravimetry_Jacob_2012_dmdt_Jacob_et_al.csv,1,6,start_dates|end_dates|changes|errors|unit|author,11_central_europe,input
input/11_central_europe/central_europe_gravimetry_Sasgen_AWIarc_RL01_2_Sasgen_et_al.csv,248,6,start_dates|end_dates|changes|errors|unit|author,11_central_europe,input
input/11_central_europe/central_europe_gravimetry_Wouters_Wouters_et_al.csv,236,6,start_dates|end_dates|changes|errors|unit|author,11_central_europe,input
input/12_caucasus_middle_east/caucasus_middle_east_combined_DUS-combined_Dussaillant_et_al.csv,25,6,start_dates|end_dates|changes|errors|unit|author,12_caucasus_middle_east,input
input/12_caucasus_middle_east/caucasus_middle_east_combined_Huss_Huss_et_al.csv,31,6,start_dates|end_dates|changes|errors|unit|author,12_caucasus_middle_east,input
input/12_caucasus_middle_east/caucasus_middle_east_demdiff_ETH_Hugonnet_et_al.csv,4,6,start_dates|end_dates|changes|errors|unit|author,12_caucasus_middle_east,input
input/12_caucasus_middle_east/caucasus_middle_east_glaciological_UZH_GlaciolSineWave_Zemp_et_al.csv,301,6,start_dates|end_dates|changes|errors|unit|author,12_caucasus_middle_east,input
input/12_caucasus_middle_east/caucasus_middle_east_glaciological_WGMS-beta_WGMS.csv,25,6,start_dates|end_dates|changes|errors|unit|author,12_caucasus_middle_east,input
input/12_caucasus_middle_east/caucasus_middle_east_gravimetry_Jacob_2012_dmdt_Jacob_et_al.csv,1,6,start_dates|end_dates|changes|errors|unit|author,12_caucasus_middle_east,input
input/12_caucasus_middle_east/caucasus_middle_east_gravimetry_Wouters_Wouters_et_al.csv,236,6,start_dates|end_dates|changes|errors|unit|author,12_caucasus_middle_east,input
input/13_central_asia/central_asia_altimetry_Jakob_Gourmelen_Jakob_et_al.csv,100,6,start_dates|end_dates|changes|errors|unit|author,13_central_asia,input
input/13_central_asia/central_asia_altimetry_Ke_Ke_et_al.csv,1,6,start_dates|end_dates|changes|errors|unit|author,13_central_asia,input
input/13_central_asia/central_asia_altimetry_Treichler_ICESat_Treichler_et_al.csv,1,6,start_dates|end_dates|changes|errors|unit|author,13_central_asia,input
input/13_central_asia/central_asia_altimetry_Treichler_snowfall_Treichler_et_al.csv,1,6,start_dates|end_dates|changes|errors|unit|author,13_central_asia,input
input/13_central_asia/central_asia_combined_DUS-combined_Dussaillant_et_al.csv,25,6,start_dates|end_dates|changes|errors|unit|author,13_central_asia,input
input/13_central_asia/central_asia_combined_Huss_Huss_et_al.csv,31,6,start_dates|end_dates|changes|errors|unit|author,13_central_asia,input
input/13_central_asia/central_asia_combined_Miles2021_Miles_et_al.csv,1,6,start_dates|end_dates|changes|errors|unit|author,13_central_asia,input
input/13_central_asia/central_asia_demdiff_Brun_et_al_2017_Brun_et_al.csv,1,6,start_dates|end_dates|changes|errors|unit|author,13_central_asia,input
input/13_central_asia/central_asia_demdiff_ETH_Hugonnet_et_al.csv,4,6,start_dates|end_dates|changes|errors|unit|author,13_central_asia,input
input/13_central_asia/central_asia_glaciological_UZH_GlaciolSineWave_Zemp_et_al.csv,301,6,start_dates|end_dates|changes|errors|unit|author,13_central_asia,input
input/13_central_asia/central_asia_glaciological_WGMS-beta_WGMS.csv,25,6,start_dates|end_dates|changes|errors|unit|author,13_central_asia,input
input/13_central_asia/central_asia_gravimetry_Harig_Group_Harig_et_al.csv,251,6,start_dates|end_dates|changes|errors|unit|author,13_central_asia,input
