year,region,glacier_area_km2,mass_change_gt,mass_change_gt_error,specific_mass_change_mwe,specific_mass_change_mwe_error,regional_sum_gt,regional_sum_gt_error_rss,total_area_km2,sum_minus_official_gt,weighted_regional_mwe
2000,Global,704082.6956499998,-78.04414729402814,111.56095088251794,-0.1111786793375206,0.1583621138501352,-78.04414729402815,111.56095088251794,704082.69565,-1.4210854715202004e-14,-0.00011084514329950803
2001,Global,701805.4987500003,-215.16931097001844,95.3001011576375,-0.3075164866023069,0.1350498121659405,-215.16931097001842,95.3001011576375,701805.49875,2.842170943040401e-14,-0.0003065939371425001
2002,Global,699528.3018500003,-128.46636738674923,91.14634450070768,-0.1841997326262217,0.1289299604899674,-128.46636738674923,91.14634450070768,699528.3018499999,0.0,-0.00018364713342834313
2003,Global,697251.1049500001,-192.6724697716301,72.79887688516011,-0.2771630264606625,0.1028951725208123,-192.6724697716301,72.79887688516011,697251.10495,0.0,-0.0002763315373812806
2004,Global,694973.9080500001,-229.2369109878561,73.022158218317,-0.3308421919121849,0.1028436503023272,-229.23691098785613,73.022158218317,694973.90805,-2.842170943040401e-14,-0.0003298496653364484
2005,Global,692696.71115,-315.0371756633185,74.19065798809451,-0.4561666396999292,0.1044578602427483,-315.0371756633185,74.19065798809453,692696.71115,0.0,-0.00045479813978082945
2006,Global,690419.51425,-279.8898739792978,72.77317030930298,-0.4066108567264724,0.1025138185768302,-279.8898739792979,72.77317030930298,690419.51425,-5.684341886080802e-14,-0.0004053910241562931
2007,Global,688142.31735,-323.16570882967466,71.78509732133082,-0.4710335566158922,0.1010360421851532,-323.16570882967466,71.78509732133082,688142.31735,0.0,-0.0004696204559460445
2008,Global,685865.12045,-178.6324817323364,71.86184704387401,-0.2612321087124307,0.1011209402057232,-178.6324817323364,71.86184704387401,685865.12045,0.0,-0.0002604484123862934
2009,Global,683587.9235500002,-231.2381243724868,71.29354455724742,-0.3392890923913098,0.1001020384598227,-231.2381243724868,71.29354455724742,683587.92355,0.0,-0.00033827122511413595
2010,Global,681310.7266500002,-231.1966727048064,72.2582027545506,-0.3403621001158775,0.101352981542154,-231.19667270480636,72.2582027545506,681310.72665,2.842170943040401e-14,-0.0003393410138155299
2011,Global,679033.5297499998,-365.9472468839626,68.11267549573648,-0.540545313270877,0.0950926143458494,-365.9472468839625,68.1126754957365,679033.52975,5.684341886080802e-14,-0.0005389236773310641
2012,Global,676756.3328500001,-188.0208512243996,67.35045471659744,-0.2786624991943321,0.0941254547446842,-188.02085122439956,67.35045471659744,676756.33285,2.842170943040401e-14,-0.0002778265116967491
2013,Global,674479.1359500001,-304.73798136525033,66.47051377096227,-0.4531718327704068,0.0925856747213776,-304.7379813652503,66.47051377096227,674479.13595,5.684341886080802e-14,-0.00045181231727209554
2014,Global,672201.9390499997,-149.889416279315,65.94044282966604,-0.2236536803279121,0.0920570437100916,-149.88941627931501,65.94044282966605,672201.93905,-2.842170943040401e-14,-0.00022298271928692826
2015,Global,669924.74215,-284.97423508815865,66.77259130583126,-0.4266624477275931,0.0932270670335857,-284.97423508815865,66.77259130583126,669924.7421500001,0.0,-0.00042538246038441026
2016,Global,667647.5452499996,-340.6076946742656,68.35959222730513,-0.5116960211749099,0.0952916518024702,-340.60769467426564,68.35959222730513,667647.54525,-5.684341886080802e-14,-0.000510160933111385
2017,Global,665370.3483500001,-217.68675972042345,66.39070274109359,-0.3281507593734814,0.0924077513562398,-217.6867597204234,66.39070274109359,665370.34835,5.684341886080802e-14,-0.00032716630709536096
2018,Global,663093.1514499999,-243.81282612823085,66.54077158950466,-0.3687965484035694,0.0924649491234518,-243.81282612823088,66.54077158950467,663093.15145,-2.842170943040401e-14,-0.00036769015875835867
2019,Global,660815.9545499999,-412.9645781490086,69.99144862252744,-0.6268117422048606,0.0969733224466875,-412.96457814900856,69.99144862252743,660815.95455,5.684341886080802e-14,-0.0006249313069782458
2020,Global,658538.75765,-405.0394156368366,76.20680182507151,-0.6169085501621713,0.1065416966938755,-405.03941563683657,76.20680182507152,658538.75765,5.684341886080802e-14,-0.0006150578245116846
2021,Global,656261.5607500002,-217.7163545547422,81.6846283807594,-0.3327506622695744,0.1151000186974428,-217.71635455474217,81.6846283807594,656261.56075,2.842170943040401e-14,-0.0003317524102827657
2022,Global,653984.3638500002,-460.2989143829609,100.8285184125692,-0.7059556646949124,0.138700930079604,-460.29891438296085,100.82851841256918,653984.36385,5.684341886080802e-14,-0.0007038377977008278
2023,Global,651707.1669499998,-548.025110248126,120.16099017378784,-0.8434372990227316,0.1662574332317422,-548.0251102481261,120.16099017378784,651707.16695,-1.1368683772161603e-13,-0.0008409069871256632
