file,region_code,region,dataset_name,method,author,unit,unit_type,n_records,start_min,end_max,median_duration_years
data/glambie/input/10_north_asia/north_asia_combined_DUS-combined_Dussaillant_et_al.csv,10_north_asia,North Asia,north_asia_combined_DUS-combined_Dussaillant_et_al,combined,Dussaillant et al.,mwe,mwe,25,1999.75,2024.75,1.0
data/glambie/input/10_north_asia/north_asia_combined_Huss_Huss_et_al.csv,10_north_asia,North Asia,north_asia_combined_Huss_Huss_et_al,combined,Huss et al.,mwe,mwe,31,1990.75,2021.75,1.0
data/glambie/input/10_north_asia/north_asia_demdiff_ETH_Hugonnet_et_al.csv,10_north_asia,North Asia,north_asia_demdiff_ETH_Hugonnet_et_al,demdiff,Hugonnet et al.,m,m,4,2000.0,2020.0,5.0
data/glambie/input/10_north_asia/north_asia_glaciological_UZH_GlaciolSineWave_Zemp_et_al.csv,10_north_asia,North Asia,north_asia_glaciological_UZH_GlaciolSineWave_Zemp_et_al,glaciological,Zemp et al.,mwe,mwe,301,1999.6666666666667,2024.75,0.08333333333325754
data/glambie/input/10_north_asia/north_asia_glaciological_WGMS-beta_WGMS.csv,10_north_asia,North Asia,north_asia_glaciological_WGMS-beta_WGMS,glaciological,WGMS,mwe,mwe,25,1999.75,2024.75,1.0
data/glambie/input/10_north_asia/north_asia_gravimetry_Jacob_2012_dmdt_Jacob_et_al.csv,10_north_asia,North Asia,north_asia_gravimetry_Jacob_2012_dmdt_Jacob_et_al,gravimetry,Jacob et al.,Gt,Gt,1,2003.0,2010.9166666666667,7.9166666666667425
data/glambie/input/10_north_asia/north_asia_gravimetry_Sasgen_AWIarc_RL01_2_Sasgen_et_al.csv,10_north_asia,North Asia,north_asia_gravimetry_Sasgen_AWIarc_RL01_2_Sasgen_et_al,gravimetry,Sasgen et al.,Gt,Gt,248,2002.25,2022.9166666666667,0.08333333333325754
data/glambie/input/10_north_asia/north_asia_gravimetry_Wouters_Wouters_et_al.csv,10_north_asia,North Asia,north_asia_gravimetry_Wouters_Wouters_et_al,gravimetry,Wouters et al.,Gt,Gt,236,2002.1666666666667,2021.8333333333333,0.08333333333325754
data/glambie/input/11_central_europe/central_europe_combined_DUS-combined_Dussaillant_et_al.csv,11_central_europe,Central Europe,central_europe_combined_DUS-combined_Dussaillant_et_al,combined,Dussaillant et al.,mwe,mwe,25,1999.75,2024.75,1.0
data/glambie/input/11_central_europe/central_europe_combined_Huss_Huss_et_al.csv,11_central_europe,Central Europe,central_europe_combined_Huss_Huss_et_al,combined,Huss et al.,mwe,mwe,31,1990.75,2021.75,1.0
data/glambie/input/11_central_europe/central_europe_demdiff_ETH_Hugonnet_et_al.csv,11_central_europe,Central Europe,central_europe_demdiff_ETH_Hugonnet_et_al,demdiff,Hugonnet et al.,m,m,4,2000.0,2020.0,5.0
data/glambie/input/11_central_europe/central_europe_demdiff_FAU-GLACIER_Braun_et_al.csv,11_central_europe,Central Europe,central_europe_demdiff_FAU-GLACIER_Braun_et_al,demdiff,Braun et al.,m,m,1,2000.1666666666667,2012.0833333333333,11.916666666666515
data/glambie/input/11_central_europe/central_europe_glaciological_UZH_GlaciolSineWave_Zemp_et_al.csv,11_central_europe,Central Europe,central_europe_glaciological_UZH_GlaciolSineWave_Zemp_et_al,glaciological,Zemp et al.,mwe,mwe,301,1999.6666666666667,2024.75,0.08333333333325754
data/glambie/input/11_central_europe/central_europe_glaciological_WGMS-beta_WGMS.csv,11_central_europe,Central Europe,central_europe_glaciological_WGMS-beta_WGMS,glaciological,WGMS,mwe,mwe,25,1999.75,2024.75,1.0
data/glambie/input/11_central_europe/central_europe_gravimetry_Jacob_2012_dmdt_Jacob_et_al.csv,11_central_europe,Central Europe,central_europe_gravimetry_Jacob_2012_dmdt_Jacob_et_al,gravimetry,Jacob et al.,Gt,Gt,1,2003.0,2010.9166666666667,7.9166666666667425
data/glambie/input/11_central_europe/central_europe_gravimetry_Sasgen_AWIarc_RL01_2_Sasgen_et_al.csv,11_central_europe,Central Europe,central_europe_gravimetry_Sasgen_AWIarc_RL01_2_Sasgen_et_al,gravimetry,Sasgen et al.,Gt,Gt,248,2002.25,2022.9166666666667,0.08333333333325754
data/glambie/input/11_central_europe/central_europe_gravimetry_Wouters_Wouters_et_al.csv,11_central_europe,Central Europe,central_europe_gravimetry_Wouters_Wouters_et_al,gravimetry,Wouters et al.,Gt,Gt,236,2002.1666666666667,2021.8333333333333,0.08333333333325754
data/glambie/input/12_caucasus_middle_east/caucasus_middle_east_combined_DUS-combined_Dussaillant_et_al.csv,12_caucasus_middle_east,Caucasus & Middle East,caucasus_middle_east_combined_DUS-combined_Dussaillant_et_al,combined,Dussaillant et al.,mwe,mwe,25,1999.75,2024.75,1.0
data/glambie/input/12_caucasus_middle_east/caucasus_middle_east_combined_Huss_Huss_et_al.csv,12_caucasus_middle_east,Caucasus & Middle East,caucasus_middle_east_combined_Huss_Huss_et_al,combined,Huss et al.,mwe,mwe,31,1990.75,2021.75,1.0
data/glambie/input/12_caucasus_middle_east/caucasus_middle_east_demdiff_ETH_Hugonnet_et_al.csv,12_caucasus_middle_east,Caucasus & Middle East,caucasus_middle_east_demdiff_ETH_Hugonnet_et_al,demdiff,Hugonnet et al.,m,m,4,2000.0,2020.0,5.0
