year,region,region_code,method_group,gt,gt_error,mwe,mwe_error,annual_variability_native,combined_gt,combined_mwe,gt_diff_vs_combined,abs_gt_diff_vs_combined
1999,North Asia,10_north_asia,demdiff_and_glaciological,0.0303787060282054,1.0157846210766952,0.0122354552694676,0.4227551889776134,1.0,0.0303787060282053,0.0122354552694675,1.0061396160665481e-16,1.0061396160665481e-16
2000,North Asia,10_north_asia,demdiff_and_glaciological,-1.438301231577353,0.5746629980379334,-0.5817169594164865,0.2372867178695693,1.0,-1.438301231577353,-0.5817169594164865,0.0,0.0
2001,North Asia,10_north_asia,demdiff_and_glaciological,-2.0371345987149523,0.5973466252657308,-0.8273708053402952,0.2449666437558119,1.0,-2.0371345987149523,-0.8273708053402952,0.0,0.0
2002,North Asia,10_north_asia,demdiff_and_glaciological,-1.678379883734923,0.5615768964047385,-0.6845370747534293,0.2310963166454763,1.0,-1.678379883734923,-0.6845370747534293,0.0,0.0
2003,North Asia,10_north_asia,demdiff_and_glaciological,-0.5181106164543603,0.5756809246722295,-0.2122086848858225,0.239347818287179,1.0,-0.5181106164543604,-0.2122086848858225,1.1102230246251565e-16,1.1102230246251565e-16
2004,North Asia,10_north_asia,demdiff_and_glaciological,-0.4065289971456233,0.5406684711565283,-0.1672144951948788,0.2248597449025648,1.0,-0.4065289971456234,-0.1672144951948788,1.1102230246251565e-16,1.1102230246251565e-16
2005,North Asia,10_north_asia,demdiff_and_glaciological,-1.414581540570362,0.5522327754319154,-0.5843323821169211,0.227938842899705,1.0,-1.414581540570362,-0.5843323821169211,0.0,0.0
2006,North Asia,10_north_asia,demdiff_and_glaciological,-1.5531636800944562,0.5531081121590736,-0.6443275174779034,0.22791579934633,1.0,-1.5531636800944562,-0.6443275174779034,0.0,0.0
2007,North Asia,10_north_asia,demdiff_and_glaciological,-1.975294977199855,0.5483907154548895,-0.8229754427003609,0.224500753308517,1.0,-1.975294977199855,-0.8229754427003609,0.0,0.0
2008,North Asia,10_north_asia,demdiff_and_glaciological,0.1807110214373613,0.5384218517169598,0.0756158900958818,0.2240522526585801,1.0,0.1807110214373612,0.0756158900958817,1.1102230246251565e-16,1.1102230246251565e-16
2009,North Asia,10_north_asia,demdiff_and_glaciological,-0.7128492794857484,0.54012690142915,-0.2995765199561216,0.2243034548145002,1.0,-0.7128492794857485,-0.2995765199561216,1.1102230246251565e-16,1.1102230246251565e-16
2010,North Asia,10_north_asia,demdiff_and_glaciological,-2.020681211168608,0.5492364670818874,-0.8528991391861322,0.2246838859910688,1.0,-2.020681211168608,-0.8528991391861322,0.0,0.0
2011,North Asia,10_north_asia,demdiff_and_glaciological,-2.232819572600836,0.5512475931521672,-0.946567477989014,0.2246674594060328,1.0,-2.232819572600836,-0.946567477989014,0.0,0.0
2012,North Asia,10_north_asia,demdiff_and_glaciological,-0.7607481680191844,0.5623565768028705,-0.323925599605603,0.233509112450349,1.0,-0.7607481680191844,-0.323925599605603,0.0,0.0
2013,North Asia,10_north_asia,demdiff_and_glaciological,-0.7551486077306186,0.5664702858727556,-0.322962125948835,0.2352328961686883,1.0,-0.7551486077306186,-0.322962125948835,0.0,0.0
2014,North Asia,10_north_asia,demdiff_and_glaciological,-2.405581473848231,0.580476613105616,-1.0333859024590268,0.2363432812181881,1.0,-2.405581473848231,-1.0333859024590268,0.0,0.0
2015,North Asia,10_north_asia,demdiff_and_glaciological,-0.5744282664867701,0.5644230287318445,-0.2478620931042684,0.2346008113459991,1.0,-0.5744282664867703,-0.2478620931042684,1.1102230246251565e-16,1.1102230246251565e-16
2016,North Asia,10_north_asia,demdiff_and_glaciological,-2.379575790532689,0.5814528293133341,-1.0313696137427482,0.2368723398987207,1.0,-2.379575790532689,-1.0313696137427482,0.0,0.0
2017,North Asia,10_north_asia,demdiff_and_glaciological,-1.5651696421082892,0.576292912128167,-0.6814365047988576,0.2376234838781025,1.0,-1.5651696421082892,-0.6814365047988576,0.0,0.0
2018,North Asia,10_north_asia,demdiff_and_glaciological,-0.8454620159593919,0.5473031110703173,-0.3697567042448472,0.2270995994464291,1.0,-0.8454620159593919,-0.3697567042448472,0.0,0.0
2019,North Asia,10_north_asia,demdiff_and_glaciological,-1.250494255974816,0.642262088205798,-0.5493770357988732,0.2660310510079209,1.0,-1.250494255974816,-0.5493770357988732,0.0,0.0
2020,North Asia,10_north_asia,demdiff_and_glaciological,-1.012430928720709,0.6418747274943941,-0.4468173174074727,0.2663074185361483,1.0,-1.0124309287207092,-0.4468173174074727,2.220446049250313e-16,2.220446049250313e-16
2021,North Asia,10_north_asia,demdiff_and_glaciological,-2.3302046092985456,1.141198498730361,-1.033102641570871,0.4724694353400871,1.0,-2.3302046092985456,-1.033102641570871,0.0,0.0
2022,North Asia,10_north_asia,demdiff_and_glaciological,-2.0472049224014337,1.1399091827078889,-0.9118106637144864,0.4724980198385178,1.0,-2.0472049224014337,-0.9118106637144864,0.0,0.0
1999,Central Europe,11_central_europe,demdiff_and_glaciological,-0.9539305728132944,0.5427881862893416,-0.4459565054610347,0.259233005961322,1.0,-0.9539305728132944,-0.4459565054610347,0.0,0.0
2000,Central Europe,11_central_europe,demdiff_and_glaciological,0.8297493962275134,0.343473899111311,0.3914523137050655,0.1634727806625784,1.0,0.8297493962275136,0.3914523137050656,-2.220446049250313e-16,2.220446049250313e-16
2001,Central Europe,11_central_europe,demdiff_and_glaciological,-0.9432571102317848,0.3466692548375759,-0.4491118978685086,0.1646651809881577,1.0,-0.943257110231785,-0.4491118978685087,2.220446049250313e-16,2.220446049250313e-16
2002,Central Europe,11_central_europe,demdiff_and_glaciological,-3.997187510255984,0.3959054240213163,-1.9209169712138816,0.1638549734043136,1.0,-3.997187510255984,-1.9209169712138816,0.0,0.0
2003,Central Europe,11_central_europe,demdiff_and_glaciological,-1.274929253503193,0.3444908351055437,-0.6184541326155826,0.1623136453602774,1.0,-1.274929253503193,-0.6184541326155826,0.0,0.0
2004,Central Europe,11_central_europe,demdiff_and_glaciological,-1.9621242520549815,0.3448345829387262,-0.9608458216996484,0.1584986426115848,1.0,-1.962124252054982,-0.9608458216996484,4.440892098500626e-16,4.440892098500626e-16
2005,Central Europe,11_central_europe,demdiff_and_glaciological,-2.251239968584318,0.3564970788306113,-1.1129969339619674,0.1621787931732998,1.0,-2.251239968584318,-1.1129969339619674,0.0,0.0
