region,method,datasets,first_year,last_year,median_duration_years
Alaska,altimetry,1,2010.6666666666667,2020.6666666666667,0.08333333333325754
Alaska,combined,4,1970.75,2024.75,1.0
Alaska,demdiff,1,2000.0,2020.0,5.0
Alaska,glaciological,2,1999.6666666666667,2024.75,0.5416666666666288
Alaska,gravimetry,5,2002.1666666666667,2023.1666666666667,0.08333333333325754
Antarctic & Subantarctic,altimetry,3,2003.0833333333333,2023.3333333333333,6.0
Antarctic & Subantarctic,combined,2,1990.25,2024.25,1.0
Antarctic & Subantarctic,demdiff,1,2000.0,2020.0,5.0
Antarctic & Subantarctic,glaciological,2,1999.1666666666667,2024.25,0.5416666666666288
Arctic Canada North,altimetry,4,2003.0833333333333,2023.3333333333333,6.333333333333371
Arctic Canada North,combined,5,1970.75,2024.75,1.0
Arctic Canada North,demdiff,2,2000.0,2021.5,7.125
Arctic Canada North,glaciological,2,1999.6666666666667,2024.75,0.5416666666666288
Arctic Canada North,gravimetry,7,2002.1666666666667,2023.1666666666667,0.08333333333325754
Arctic Canada South,altimetry,4,2003.0833333333333,2023.3333333333333,6.333333333333371
Arctic Canada South,combined,5,1970.75,2024.75,1.0
Arctic Canada South,demdiff,2,2000.0,2021.5,7.125
Arctic Canada South,glaciological,2,1999.6666666666667,2024.75,0.5416666666666288
Arctic Canada South,gravimetry,7,2002.1666666666667,2023.1666666666667,0.08333333333325754
Caucasus & Middle East,combined,2,1990.75,2024.75,1.0
Caucasus & Middle East,demdiff,1,2000.0,2020.0,5.0
Caucasus & Middle East,glaciological,2,1999.6666666666667,2024.75,0.5416666666666288
Caucasus & Middle East,gravimetry,2,2002.1666666666667,2021.8333333333333,4.0
Central Asia,altimetry,4,2000.0833333333333,2021.1666666666667,5.0
Central Asia,combined,3,1990.75,2024.75,1.0
Central Asia,demdiff,2,2000.0,2020.0,10.5
Central Asia,glaciological,2,1999.6666666666667,2024.75,0.5416666666666288
Central Asia,gravimetry,4,2002.1666666666667,2023.1666666666667,0.08333333333325754
Central Europe,combined,2,1990.75,2024.75,1.0
Central Europe,demdiff,2,2000.0,2020.0,8.458333333333258
Central Europe,glaciological,2,1999.6666666666667,2024.75,0.5416666666666288
Central Europe,gravimetry,3,2002.1666666666667,2022.9166666666667,0.08333333333325754
Greenland Periphery,altimetry,5,1992.0,2021.9166666666667,4.4166666666667425
Greenland Periphery,combined,3,1990.75,2024.75,1.0
Greenland Periphery,demdiff,3,2000.0,2021.5833333333333,6.8333333333332575
Greenland Periphery,glaciological,2,1999.6666666666667,2024.75,0.5416666666666288
Iceland,altimetry,3,2010.6666666666667,2020.6666666666667,4.9166666666667425
Iceland,combined,6,1988.75,2024.75,1.0
Iceland,demdiff,4,2000.0,2021.75,8.5
Iceland,glaciological,2,1999.6666666666667,2024.75,0.5416666666666288
Iceland,gravimetry,7,2002.1666666666667,2023.1666666666667,0.08333333333325754
Low Latitudes,combined,2,1990.25,2024.0,1.0
Low Latitudes,demdiff,4,2000.0,2020.0,14.666666666666629
Low Latitudes,glaciological,1,2000.0,2025.0,1.0
Low Latitudes,gravimetry,3,2002.1666666666667,2022.9166666666667,0.08333333333325754
New Zealand,combined,2,1990.25,2024.25,1.0
New Zealand,demdiff,1,2000.0,2020.0,5.0
New Zealand,glaciological,2,1999.1666666666667,2024.25,0.5416666666666288
New Zealand,gravimetry,4,2002.1666666666667,2023.1666666666667,0.08333333333325754
North Asia,combined,2,1990.75,2024.75,1.0
North Asia,demdiff,1,2000.0,2020.0,5.0
North Asia,glaciological,2,1999.6666666666667,2024.75,0.5416666666666288
North Asia,gravimetry,3,2002.1666666666667,2022.9166666666667,0.08333333333325754
Russian Arctic,altimetry,3,2003.75,2020.6666666666663,6.0
Russian Arctic,combined,4,1970.75,2024.75,1.0
Russian Arctic,demdiff,3,2000.0,2021.5833333333333,5.9166666666667425
Russian Arctic,glaciological,2,1999.6666666666667,2024.75,0.5416666666666288
Russian Arctic,gravimetry,7,2002.1666666666667,2023.1666666666667,0.08333333333325754
Scandinavia,combined,2,1990.75,2024.75,1.0
Scandinavia,demdiff,3,2000.0,2020.6666666666667,7.25
Scandinavia,glaciological,2,1999.6666666666667,2024.75,0.5416666666666288
Scandinavia,gravimetry,3,2002.1666666666667,2022.9166666666667,0.08333333333325754
South Asia East,altimetry,4,2000.0833333333333,2021.1666666666667,5.0
South Asia East,combined,3,1990.75,2024.75,1.0
South Asia East,demdiff,3,2000.0,2020.0,15.333333333333258
South Asia East,glaciological,2,1999.6666666666667,2024.75,0.5416666666666288
South Asia East,gravimetry,3,2002.1666666666667,2022.9166666666667,0.08333333333325754
South Asia West,altimetry,4,2000.0833333333333,2021.1666666666667,5.0
South Asia West,combined,3,1990.75,2024.75,1.0
South Asia West,demdiff,2,2000.0,2020.0,10.5
South Asia West,glaciological,2,1999.6666666666667,2024.75,0.5416666666666288
South Asia West,gravimetry,3,2002.1666666666667,2022.9166666666667,0.08333333333325754
Southern Andes,altimetry,1,2010.6666666666667,2020.6666666666667,0.08333333333325754
Southern Andes,combined,2,1990.25,2024.25,1.0
Southern Andes,demdiff,4,2000.0,2020.0,10.291666666666629
Southern Andes,glaciological,2,1999.1666666666667,2024.25,0.5416666666666288
Southern Andes,gravimetry,6,2002.1666666666667,2023.1666666666667,0.08333333333325754
Svalbard,altimetry,3,2003.75,2020.6666666666667,6.0
Svalbard,combined,4,1970.75,2024.75,1.0
Svalbard,demdiff,2,2000.0,2021.5,7.125
Svalbard,glaciological,2,1999.6666666666667,2024.75,0.5416666666666288
Svalbard,gravimetry,7,2002.1666666666667,2023.1666666666667,0.08333333333325754
Western Canada & US,altimetry,2,2013.0,2023.0,5.833333333333371
Western Canada & US,combined,2,1990.75,2024.75,1.0
Western Canada & US,demdiff,1,2000.0,2020.0,5.0
Western Canada & US,glaciological,3,1999.6666666666667,2024.75,1.0
Western Canada & US,gravimetry,4,2002.1666666666667,2023.1666666666667,0.08333333333325754
