filename,project,year,season,state,operator_affiliation,agent,apparatus,purpose,target_area,control_area,start_date,end_date,state_title,season_normalized,purpose_tokens,purpose_combo_normalized,agent_tokens,agent_combo_normalized,apparatus_tokens,apparatus_combo_normalized,start_date_inferred,end_date_inferred,duration_days_inferred,date_anomaly_flag
2016CAKASP_KA_WY2017_17-4.pdf,kaweah cloud seeding program,2017,winter,california,rhs consulting ltd,"silver iodide, hygroscopic aerosols",airborne,augment snowpack,kaweah river basin,"merced river, tule river, cottonwood creek",11/1/16,4/30/17,California,winter,['augment snowpack'],augment snowpack,"['silver iodide', 'hygroscopic aerosols']",silver iodide | hygroscopic aerosols,['airborne'],airborne,2016-11-01,2017-04-30,181.0,False
2016CAKESP_KE_WY2017_17-4.pdf,kern river cloud seeding program,2017,winter,california,rhs consulting ltd,"silver iodide, hygroscopic aerosols",airborne,augment snowpack,kern river basin,"merced river, tule river, cottonwood creek",11/1/16,4/30/17,California,winter,['augment snowpack'],augment snowpack,"['silver iodide', 'hygroscopic aerosols']",silver iodide | hygroscopic aerosols,['airborne'],airborne,2016-11-01,2017-04-30,181.0,False
2017CAKASP_KA_WY2018_17-4.pdf,kaweah cloud seeding program,2018,winter,california,rhs consulting ltd,"silver iodide, hygroscopic aerosols",airborne,augment snowpack,kaweah river basin,"merced river, tule river, cottonwood creek",11/1/17,4/30/18,California,winter,['augment snowpack'],augment snowpack,"['silver iodide', 'hygroscopic aerosols']",silver iodide | hygroscopic aerosols,['airborne'],airborne,2017-11-01,2018-04-30,181.0,False
2017CAKESP_KE_WY2018_17-4.pdf,kern river cloud seeding program,2018,winter,california,rhs consulting ltd,"silver iodide, hygroscopic aerosols",airborne,augment snowpack,kern river basin,"merced river, tule river, cottonwood creek",11/1/17,4/30/18,California,winter,['augment snowpack'],augment snowpack,"['silver iodide', 'hygroscopic aerosols']",silver iodide | hygroscopic aerosols,['airborne'],airborne,2017-11-01,2018-04-30,181.0,False
2017IDCCSN[17-1691]ClarkCo_noaa17-18.pdf,clark county cloud seeding program,2018,winter,idaho,clark county,silver iodide,"ground, airborne",augment snowpack,"clark county, idaho",,11/1/17,5/15/18,Idaho,winter,['augment snowpack'],augment snowpack,['silver iodide'],silver iodide,"['ground', 'airborne']",ground | airborne,2017-11-01,2018-05-15,196.0,False
"2018CAKRIV_Kings River, CA.pdf",kings river cloud seeding program,2019,winter,california,north american weather consultants,silver iodide,"ground, airborne",increase precipitation,"kings river watershed, california",various sites north of target area,11/15/18,3/31/19,California,winter,['increase precipitation'],increase precipitation,['silver iodide'],silver iodide,"['ground', 'airborne']",ground | airborne,2018-11-15,2019-03-31,137.0,False
"2018CASBSL_Santa Barbara, CA.pdf",santa barbara and san luis obispo counties cloud seeding program,2019,winter,california,north american weather consultants,silver iodide,ground,increase precipitation,santa barbara and san luis obispo counties,various sites in southern california,11/15/18,4/15/19,California,winter,['increase precipitation'],increase precipitation,['silver iodide'],silver iodide,['ground'],ground,2018-11-15,2019-04-15,152.0,False
2018CAUSJS_NOAA_SCE_inital_2018.pdf,san joaquin river cloud seeding program,2019,winter,california,desert research institute,silver iodide,ground,augment snowpack,south fork san joaquin river basin,,,6/20/19,California,winter,['augment snowpack'],augment snowpack,['silver iodide'],silver iodide,['ground'],ground,,2019-06-20,,False
2018CAUTOU_NOAA Initial TIDMID2018-19 MAILED.pdf,upper tuolumne river weather modification project,2019,"winter, spring",california,weather modification inc,silver iodide,airborne,increase precipitation,"upper tuolumne river watershed, east-central california",,11/6/18,4/30/19,California,"winter, spring",['increase precipitation'],increase precipitation,['silver iodide'],silver iodide,['airborne'],airborne,2018-11-06,2019-04-30,176.0,False
2018COCMRB_CCRMB17-4.pdf,central colorado mountain river basin program,2019,winter,colorado,western weather consultants llc,"silver iodide, sodium iodide",ground,"augment snowpack, increase precipitation",eastern central colorado continental divide mountains,northern colorado continental divide and sangre de cristo mountains,11/1/18,4/15/19,Colorado,winter,"['augment snowpack', 'increase precipitation']",augment snowpack | increase precipitation,"['silver iodide', 'sodium iodide']",silver iodide | sodium iodide,['ground'],ground,2018-11-01,2019-04-15,166.0,False
