state,state_title,records,share_of_records,cumulative_share
california,California,215,0.25841346153846156,0.25841346153846156
colorado,Colorado,142,0.17067307692307693,0.4290865384615385
utah,Utah,130,0.15625,0.5853365384615385
texas,Texas,104,0.125,0.7103365384615385
idaho,Idaho,73,0.08774038461538461,0.7980769230769231
nevada,Nevada,58,0.06971153846153846,0.8677884615384616
wyoming,Wyoming,47,0.056490384615384616,0.9242788461538461
north dakota,North Dakota,44,0.052884615384615384,0.9771634615384616
kansas,Kansas,15,0.018028846153846152,0.9951923076923077
montana,Montana,1,0.001201923076923077,0.9963942307692308
oklahoma,Oklahoma,1,0.001201923076923077,0.997596153846154
oregon,Oregon,1,0.001201923076923077,0.9987980769230771
south dakota,South Dakota,1,0.001201923076923077,1.0000000000000002
