agent,apparatus,pair_count
silver iodide,ground,577
silver iodide,airborne,349
sodium iodide,ground,108
ammonium iodide,ground,79
calcium chloride,airborne,28
acetone,ground,26
dry ice,airborne,14
hygroscopic aerosols,airborne,14
ionized air,ground,12
hygroscopic,airborne,8
dry ice,ground,7
hygroscopic agents,airborne,6
hygroscopic,ground,5
ionized air,airborne,5
sodium chloride,airborne,5
hygroscopic materials,airborne,4
ammonium perchlorate,ground,3
carbon dioxide,airborne,3
propane,airborne,3
propane,ground,3
sodium perchlorate,ground,3
cesium iodide,airborne,2
cesium iodide,ground,2
hygroscopic aerosols,ground,2
potassium chloride,airborne,2
water,airborne,2
ammonium,ground,1
ammonium sodium perchlorate,ground,1
calcium carbonate,airborne,1
carbon dioxide,ground,1
hygroscopic agents,ground,1
liquid propane,airborne,1
liquid propane,ground,1
potassium iodide,ground,1
silver chloride,ground,1
sodium precipitate,ground,1
sulfur dioxide,airborne,1
water,ground,1
