operator_affiliation,records,share_pct
north american weather consultants,201,24.158653846153847
weather modification inc,120,14.423076923076922
western weather consultants llc,108,12.980769230769232
desert research institute,62,7.451923076923077
atmospherics inc,52,6.25
pacific gas and electric company,40,4.807692307692308
rhs consulting ltd,32,3.8461538461538463
west texas weather modification association,21,2.5240384615384617
idaho power company,21,2.5240384615384617
panhandle groundwater conservation district,19,2.283653846153846
clark county,17,2.043269230769231
eden valley irrigation and drainage,16,1.9230769230769231
western kansas groundwater management,15,1.8028846153846152
south texas weather modification association,13,1.5625
water district 34,9,1.0817307692307692
sacramento municipal utility district,9,1.0817307692307692
southwest texas rain enhancement association,9,1.0817307692307692
water enhancement authority,7,0.8413461538461539
colorado river municipal water district,7,0.8413461538461539
north plains groundwater district,6,0.7211538461538461
mud lake water users,5,0.6009615384615385
belding farms,5,0.6009615384615385
franklin soil and water conservation,5,0.6009615384615385
madison county,4,0.4807692307692308
powell plant farms inc,4,0.4807692307692308
rainmaker technology corporation,3,0.3605769230769231
high plains underground water conservation,3,0.3605769230769231
barken fog ops inc,3,0.3605769230769231
barken international inc,2,0.2403846153846154
transpecos weather modification association,2,0.2403846153846154
texas border weather modification association,2,0.2403846153846154
district v cloud seeding consortium,1,0.1201923076923077
awms,1,0.1201923076923077
powell plant farms,1,0.1201923076923077
pacific coast forecasting inc,1,0.1201923076923077
nike noor llc,1,0.1201923076923077
make sunsets incorporated,1,0.1201923076923077
let it snow inc,1,0.1201923076923077
soar program,1,0.1201923076923077
uw college of the environment,1,0.1201923076923077
water district 33,1,0.1201923076923077
