year,augment snowpack,increase precipitation,increase runoff,research,suppress fog,suppress hail
2000,4,17,1,0,0,3
2001,9,13,2,2,0,3
2002,19,24,2,0,2,5
2003,23,27,2,0,2,6
2004,25,26,2,0,1,6
2005,26,25,3,0,1,6
2006,22,24,3,1,1,4
2007,24,22,2,0,2,4
2008,27,16,3,1,2,3
2009,26,17,3,0,2,4
2010,23,17,3,0,0,4
2011,21,16,2,0,0,4
2012,20,14,2,0,0,4
2013,22,15,3,0,0,4
2014,23,15,3,2,0,4
2015,20,18,2,1,0,3
2016,21,19,3,0,0,3
2017,21,16,2,0,0,2
2018,20,13,1,0,0,2
2019,14,11,1,0,0,0
2020,6,10,0,0,0,2
2021,14,8,1,0,0,1
2022,21,12,1,0,0,0
2023,23,9,1,1,0,1
2024,25,15,3,1,0,2
2025,17,7,3,0,0,0
