year,purpose_split,records
2000,increase precipitation,17
2000,augment snowpack,4
2000,suppress hail,3
2000,increase runoff,1
2001,increase precipitation,13
2001,augment snowpack,9
2001,suppress hail,3
2001,increase runoff,2
2001,research,2
2002,increase precipitation,24
2002,augment snowpack,19
2002,suppress hail,5
2002,increase runoff,2
2002,suppress fog,2
2003,increase precipitation,27
2003,augment snowpack,23
2003,suppress hail,6
2003,increase runoff,2
2003,suppress fog,2
2004,increase precipitation,26
2004,augment snowpack,25
2004,suppress hail,6
2004,increase runoff,2
2004,suppress fog,1
2005,augment snowpack,26
2005,increase precipitation,25
2005,suppress hail,6
2005,increase runoff,3
2005,suppress fog,1
2006,increase precipitation,24
2006,augment snowpack,22
2006,suppress hail,4
2006,increase runoff,3
2006,research,1
2006,suppress fog,1
2007,augment snowpack,24
2007,increase precipitation,22
2007,suppress hail,4
2007,increase runoff,2
2007,suppress fog,2
2008,augment snowpack,27
2008,increase precipitation,16
2008,increase runoff,3
2008,suppress hail,3
2008,suppress fog,2
2008,research,1
2009,augment snowpack,26
2009,increase precipitation,17
2009,suppress hail,4
2009,increase runoff,3
2009,suppress fog,2
2010,augment snowpack,23
2010,increase precipitation,17
2010,suppress hail,4
2010,increase runoff,3
2011,augment snowpack,21
2011,increase precipitation,16
2011,suppress hail,4
2011,increase runoff,2
2012,augment snowpack,20
2012,increase precipitation,14
2012,suppress hail,4
2012,increase runoff,2
2013,augment snowpack,22
2013,increase precipitation,15
2013,suppress hail,4
2013,increase runoff,3
2014,augment snowpack,23
2014,increase precipitation,15
2014,suppress hail,4
2014,increase runoff,3
2014,research,2
2015,augment snowpack,20
2015,increase precipitation,18
2015,suppress hail,3
2015,increase runoff,2
2015,research,1
2016,augment snowpack,21
2016,increase precipitation,19
2016,increase runoff,3
2016,suppress hail,3
2017,augment snowpack,21
2017,increase precipitation,16
2017,increase runoff,2
2017,suppress hail,2
2018,augment snowpack,20
2018,increase precipitation,13
2018,suppress hail,2
2018,increase runoff,1
2019,augment snowpack,14
2019,increase precipitation,11
2019,increase runoff,1
2020,increase precipitation,10
2020,augment snowpack,6
2020,suppress hail,2
2021,augment snowpack,14
2021,increase precipitation,8
2021,increase runoff,1
2021,suppress hail,1
2022,augment snowpack,21
2022,increase precipitation,12
2022,increase runoff,1
2023,augment snowpack,23
2023,increase precipitation,9
2023,increase runoff,1
2023,research,1
2023,suppress hail,1
2024,augment snowpack,25
2024,increase precipitation,15
2024,increase runoff,3
2024,suppress hail,2
2024,research,1
2025,augment snowpack,17
2025,increase precipitation,7
2025,increase runoff,3
