scenario,rank,Country,ISO3,priority_score,risk_index,mangrove_area_ha_2020,population_benefit_2020,property_benefit_2020
ssp245,1,Viet Nam,VNM,0.5318306977842973,0.313372500334828,186363,3673309.0,7391633755.0
ssp245,2,Indonesia,IDN,0.39627888230070096,0.32247233681466153,2913232,489596.0,1550664018.0
ssp245,3,Samoa,WSM,0.3601009137247741,0.8998632606461155,231,2568.0,0.0
ssp245,4,American Samoa,ASM,0.35754049323767945,0.8938459125411768,32,0.0,0.0
ssp245,5,Wallis and Futuna,WLF,0.3412822754652005,0.8532008830022075,29,0.0,0.0
ssp245,6,Guam,GUM,0.336925007458206,0.8423037654776406,52,0.0,0.0
ssp245,7,Australia,AUS,0.31844639763951,0.24668874172185426,988392,111606.0,5565606181.0
ssp245,8,Philippines,PHL,0.3030780357592433,0.6302120333948663,274939,327137.0,545975346.0
ssp245,9,Cook Islands,COK,0.2950280449173292,0.7375697690318378,3,0.0,0.0
ssp245,10,Belize,BLZ,0.2749703257510384,0.6736251407137938,68012,5925.0,20171289.0
ssp245,11,China,CHN,0.24335437447093733,0.0,24926,764842.0,7632534942.0
ssp245,12,India,IND,0.23954964577369678,0.25461516740359225,492571,1144050.0,1587476843.0
ssp245,13,Marshall Islands,MHL,0.2319501142359222,0.5798709948212396,26,0.0,0.0
ssp245,14,Cayman Islands,CYM,0.22574574197259195,0.5636038591108601,4432,0.0,0.0
ssp245,15,Honduras,HND,0.22024765141991334,0.5350833308573438,85226,2721.0,8215556.0
ssp370,1,Viet Nam,VNM,0.5355389253545781,0.3226430692605299,186363,3673309.0,7391633755.0
ssp370,2,Indonesia,IDN,0.4005672957594867,0.33319337046162606,2913232,489596.0,1550664018.0
ssp370,3,Samoa,WSM,0.3591263032190836,0.8974267343818894,231,2568.0,0.0
ssp370,4,American Samoa,ASM,0.35607539663545673,0.89018317103562,32,0.0,0.0
ssp370,5,Wallis and Futuna,WLF,0.34294140353232905,0.8573487031700289,29,0.0,0.0
ssp370,6,Guam,GUM,0.33406733748982365,0.8351595905566847,52,0.0,0.0
ssp370,7,Australia,AUS,0.3262070200670027,0.26609029779058596,988392,111606.0,5565606181.0
ssp370,8,Cook Islands,COK,0.29745630098796944,0.7436404092084383,3,0.0,0.0
ssp370,9,Philippines,PHL,0.2956590359437323,0.6116645338560887,274939,327137.0,545975346.0
ssp370,10,Belize,BLZ,0.276033843492339,0.6762839350670452,68012,5925.0,20171289.0
ssp370,11,India,IND,0.24537823392918112,0.26918663779230306,492571,1144050.0,1587476843.0
ssp370,12,China,CHN,0.24335437447093733,0.0,24926,764842.0,7632534942.0
ssp370,13,Marshall Islands,MHL,0.2356284418755453,0.5890668139202974,26,0.0,0.0
ssp370,14,Cayman Islands,CYM,0.23346181420307835,0.5828940396870761,4432,0.0,0.0
ssp370,15,Mayotte,MYT,0.23263557781354424,0.5812915491460565,675,1335.0,0.0
ssp585,1,Viet Nam,VNM,0.5395546913210854,0.3326824841767979,186363,3673309.0,7391633755.0
ssp585,2,Indonesia,IDN,0.40611707442195444,0.3470678171177953,2913232,489596.0,1550664018.0
ssp585,3,Samoa,WSM,0.3607108224660408,0.9013880324992823,231,2568.0,0.0
ssp585,4,American Samoa,ASM,0.3581253684112076,0.8953081004749972,32,0.0,0.0
ssp585,5,Wallis and Futuna,WLF,0.34690913875916285,0.8672680412371133,29,0.0,0.0
ssp585,6,Guam,GUM,0.3387456305664649,0.8468553232482878,52,0.0,0.0
ssp585,7,Australia,AUS,0.32647193187860335,0.2667525773195876,988392,111606.0,5565606181.0
ssp585,8,Cook Islands,COK,0.3008927271048079,0.7522314745005345,3,0.0,0.0
ssp585,9,Philippines,PHL,0.2957853023212242,0.6119801997998184,274939,327137.0,545975346.0
ssp585,10,Belize,BLZ,0.2803094277936923,0.6869728958204284,68012,5925.0,20171289.0
ssp585,11,India,IND,0.25343205366219185,0.2893211871248299,492571,1144050.0,1587476843.0
ssp585,12,Cayman Islands,CYM,0.24402770843885097,0.6093087752765076,4432,0.0,0.0
ssp585,13,China,CHN,0.24335437447093733,0.0,24926,764842.0,7632534942.0
ssp585,14,Mayotte,MYT,0.24061788148258736,0.6012473083186644,675,1335.0,0.0
ssp585,15,Comoros,COM,0.23737076636204024,0.5934104393538076,97,0.0,0.0
