channel,family,family_name,level,t0_mean,t1_mean,f6_mean,t1_std,obs_increment_rms,forecast_increment_rms,normalized_obs_tendency,normalized_forecast_tendency,temporal_corr_t0_t1,temporal_corr_t1_f6,increment_corr,spatial_corr_lon_t1,spatial_corr_lat_t1,spectral_slope_t1,high_freq_power_fraction
Z50,Z,Geopotential,50,0.00997571361943533,0.019090502600272587,-0.069502937154865,10.009081170480046,14.165380953295688,14.141699122873463,1.415252880061947,1.4128868456559047,-7.732257626218184e-05,0.004609475760357988,-0.4965944997744726,-0.001980328617035965,0.0022254452877498395,0.001784661218685499,0.8952360090125235
Z100,Z,Geopotential,100,-0.08359611668827542,0.03758191308902985,0.01586134212600108,10.049684034075312,14.16710647743537,14.130996485652856,1.4097066563883178,1.4061135094137387,0.005962005929240868,0.004438531271056026,-0.5017701284867044,0.0017693508421666203,-0.005056773673404314,-0.005637876825190656,0.8922140815524504
Z150,Z,Geopotential,150,0.07498481996895376,0.07237596590031853,0.030898323569115677,9.970511572607636,14.099778117560586,14.116963312344756,1.4141479115572606,1.4158715136672448,0.003750241029514952,-0.00032305331347515985,-0.49860405247876743,0.0023706291427223014,0.0014296379440652727,-0.001102377842283308,0.8962997225523675
Z200,Z,Geopotential,200,0.03506228159977347,0.018703858969243457,-0.07612709237869843,9.964751750571182,14.070955350350655,14.110382151148661,1.4120728446189443,1.4160294711145063,0.002984398733106684,0.002972102221826816,-0.499402574065592,0.0010312459261678278,-0.003602179206452357,0.0018901443831123687,0.8947962061716506
Z250,Z,Geopotential,250,-0.00924337111910879,-0.05917297429924562,-0.005349252412825543,10.066825061027178,14.158697820267923,14.15285615714729,1.4064710307803072,1.4058907422498899,0.0016978584369152525,0.0012330496470151317,-0.5065426470443204,0.0012368226972053658,0.0011910617155429476,-0.0004884216434006389,0.8946630361926684
Z300,Z,Geopotential,300,-0.007462416823551945,0.03793237926213025,-0.04213941705943943,9.968790303491673,14.149141881874417,14.100285331573758,1.4193439174779845,1.4144429667293719,-0.0016812116107884792,0.0003830540148149662,-0.4973353533106376,0.005101853344786365,-0.0022802619587222617,-0.0029343371986719786,0.89363695727762
Z400,Z,Geopotential,400,-0.08596018516930197,0.07618048476523696,-0.06590270033700807,9.972086392024206,14.136596991805698,14.103636520890438,1.4176167790836949,1.4143115057818487,0.0013371465030009744,0.0021656858297999537,-0.5017557775523566,0.008825341756862112,-0.0022861805243112403,-0.010208710736662664,0.8921576442987116
Z500,Z,Geopotential,500,-0.014581537495099278,0.036248587250772964,0.030156419782825097,9.972593130633733,14.129983384364689,14.153604191555445,1.4168815672385466,1.4192501394726027,-9.629291087654619e-05,-0.00629954610920305,-0.5027991747263022,-2.363296172766965e-05,-0.004131819704251275,-0.0026917640390223736,0.8957336161218183
Z600,Z,Geopotential,600,-0.061072045601006285,-0.07301368942282903,-0.013373489465984734,9.984905061026582,14.136543076997343,14.14807825518797,1.4157914362326363,1.4169466979121539,-0.002684830564154827,-0.0029112941447189877,-0.49803855226706456,-0.0030053186038599077,-0.001798302847834646,0.009459247828955604,0.8976151695078882
Z700,Z,Geopotential,700,-0.05804752039220281,0.021469686450545124,-0.019410348886486194,10.03931593068946,14.233866634152958,14.154508942672434,1.4178124020025171,1.4099077108832812,-0.0056628352323736895,-3.701335741920673e-05,-0.49873372223286994,0.005074507485116386,-0.002582444720246178,-0.007274323527580374,0.8937951873393136
Z850,Z,Geopotential,850,0.014607157285869091,0.015143900501275665,-0.025901668769664973,10.047460348212727,14.136281822188058,14.134899468488891,1.4069507449912617,1.4068131625922018,0.003834272310340603,0.004946784875741819,-0.4996524658877602,-0.002499990560433428,0.005140199692812323,-0.0012162285313574415,0.8934683282285938
Z925,Z,Geopotential,925,0.051003064287924484,0.04180556713808751,0.040685768883337865,10.048412318886852,14.22704935365359,14.120553453023845,1.4158504748966791,1.4052521935712228,-0.0045070529568209325,0.004560771583250581,-0.5033844675849364,0.001593708539857921,0.0010663306781457523,-0.0005339721778987493,0.8962423124195845
Z1000,Z,Geopotential,1000,-0.041550635753767086,-0.09119433285122366,0.005327276749564601,10.02783157853228,14.207938970915434,14.170846194291672,1.416850578277759,1.4131515954684375,-0.0003464012392347775,-0.00027287408260515854,-0.4960449437834826,-0.003372211937929719,0.0023263711453818765,0.004772629802755636,0.8950049543750784
