channel,family,wavenumber,power
Z50,Z,0,9.211140897334458e-27
Z50,Z,1,38042.35662416983
Z50,Z,2,34046.531482815044
Z50,Z,3,37679.940321546084
Z50,Z,4,34521.437965232486
Z50,Z,5,36322.31855403697
Z50,Z,6,38051.4142581739
Z50,Z,7,36783.69066871776
Z50,Z,8,35670.911356808945
Z50,Z,9,35228.129124386505
Z50,Z,10,35224.029937761836
Z50,Z,11,35722.81760798259
Z50,Z,12,34818.32488087651
Z50,Z,13,36203.37094628943
Z50,Z,14,34746.232554315626
Z50,Z,15,37853.39167337757
Z50,Z,16,35068.806295389055
Z50,Z,17,34160.656439697086
Z50,Z,18,36186.561638811814
Z50,Z,19,34077.04895548337
Z50,Z,20,35841.6274791916
Z50,Z,21,41964.352898386984
Z50,Z,22,35900.326946888395
Z50,Z,23,34680.78011840235
Z50,Z,24,34551.66119781962
Z50,Z,25,34805.05105798323
Z50,Z,26,31598.580420572125
Z50,Z,27,34407.57940644048
Z50,Z,28,33816.1783285662
Z50,Z,29,38813.13251813238
Z50,Z,30,33940.68242643788
Z50,Z,31,35182.285111064644
Z50,Z,32,34639.65114848976
Z50,Z,33,38413.429883087876
Z50,Z,34,36799.067152658135
Z50,Z,35,33926.31299371746
Z50,Z,36,35858.48726474068
Z50,Z,37,36897.89373259499
Z50,Z,38,36577.762319104826
Z50,Z,39,38905.676822917296
Z50,Z,40,36769.26504191261
Z50,Z,41,33492.04323123554
Z50,Z,42,37758.30899923526
Z50,Z,43,33270.05934891023
Z50,Z,44,33874.66105416075
Z50,Z,45,35893.93415332008
Z50,Z,46,41015.48303189594
Z50,Z,47,36493.62162790889
Z50,Z,48,36150.566424396595
Z50,Z,49,32063.567519973887
Z50,Z,50,35163.65034379472
Z50,Z,51,34194.78672559192
Z50,Z,52,36163.17328698834
Z50,Z,53,32726.90877133993
Z50,Z,54,38843.189684441
Z50,Z,55,36769.25108940121
Z50,Z,56,33586.43770406295
Z50,Z,57,33483.68751555423
Z50,Z,58,34513.39850662065
Z50,Z,59,39795.56836633602
Z50,Z,60,38328.045242916436
Z50,Z,61,36587.47037106168
Z50,Z,62,30195.846104212615
Z50,Z,63,36896.881110324604
Z50,Z,64,39510.33072226443
Z50,Z,65,37517.8102255225
Z50,Z,66,35144.05934745858
Z50,Z,67,33163.870507181644
Z50,Z,68,37979.57360223023
Z50,Z,69,37266.1224529108
Z50,Z,70,36896.70476537862
Z50,Z,71,37955.322183767385
Z50,Z,72,38550.46849161963
Z50,Z,73,37947.7356706017
Z50,Z,74,43525.24549578833
Z50,Z,75,35306.87748032759
Z50,Z,76,31554.328776390797
Z50,Z,77,31773.3293012749
Z50,Z,78,41301.304292420864
Z50,Z,79,34110.05706670124
Z50,Z,80,38927.14578161481
Z50,Z,81,33300.60701972212
Z50,Z,82,31223.986739322092
Z50,Z,83,34811.05587704989
Z50,Z,84,41117.82761644996
Z50,Z,85,38593.748840509594
Z50,Z,86,38852.04351052684
Z50,Z,87,32734.779096394366
Z50,Z,88,32737.639193351006
Z50,Z,89,33686.575129638804
Z50,Z,90,39169.2095483519
Z50,Z,91,35094.36016766941
Z50,Z,92,36797.9603883923
Z50,Z,93,34616.12130570497
Z50,Z,94,35117.75781717672
Z50,Z,95,33377.24116856201
Z50,Z,96,43642.361574173214
Z50,Z,97,38026.02315331414
Z50,Z,98,33171.37049314933
Z50,Z,99,42830.55779904803
Z50,Z,100,35147.21706523501
Z50,Z,101,36964.23888734197
Z50,Z,102,37150.259529769464
Z50,Z,103,33812.26191874869
Z50,Z,104,39330.03368625338
Z50,Z,105,37558.203749659864
Z50,Z,106,39896.58417216779
Z50,Z,107,33058.07433012626
Z50,Z,108,37832.31662962701
Z50,Z,109,41036.4478313196
Z50,Z,110,36323.52379929036
Z50,Z,111,34238.85753577316
Z50,Z,112,33274.84244684311
Z50,Z,113,34749.643888819126
Z50,Z,114,35103.55693115347
Z50,Z,115,38086.51658361997
Z50,Z,116,32331.6917425353
Z50,Z,117,33568.591419294484
Z50,Z,118,31337.74503092557
Z50,Z,119,36303.32430676491
Z50,Z,120,34069.923999445404
Z50,Z,121,44024.93813427732
Z50,Z,122,39937.88064899213
Z50,Z,123,32467.822341204148
Z50,Z,124,35513.028771958256
Z50,Z,125,37879.22554759651
Z50,Z,126,36836.59011851123
Z50,Z,127,39033.98990041741
Z50,Z,128,36361.04931035632
Z50,Z,129,39011.35432742379
Z50,Z,130,32381.337634835483
Z50,Z,131,32689.172429533548
Z50,Z,132,39639.92587766033
Z50,Z,133,34983.39910755214
Z50,Z,134,40193.81290613274
Z50,Z,135,35000.82155097465
Z50,Z,136,40191.005966233744
Z50,Z,137,31309.59184965208
Z50,Z,138,32316.77389403375
Z50,Z,139,36024.16564597028
Z50,Z,140,35423.806982119975
Z50,Z,141,37271.40774270331
Z50,Z,142,40597.35840289715
Z50,Z,143,36483.482707534626
Z50,Z,144,35524.6162467961
Z50,Z,145,31755.76952541795
Z50,Z,146,36053.48307040466
Z50,Z,147,38502.46705700914
Z50,Z,148,35189.69790250505
Z50,Z,149,38330.82713317282
Z50,Z,150,36133.50009883702
Z50,Z,151,38159.063830655636
Z50,Z,152,34523.235391511305
Z50,Z,153,29283.49636698507
Z50,Z,154,34741.42890917113
Z50,Z,155,34261.2998818378
Z50,Z,156,37821.529484718885
Z50,Z,157,36910.163796674446
Z50,Z,158,37996.50829105667
Z50,Z,159,32810.79389746337
Z50,Z,160,35175.18252840765
Z50,Z,161,39328.21731102189
Z50,Z,162,42169.312702313946
Z50,Z,163,34664.19532332525
Z50,Z,164,39489.72417106788
Z50,Z,165,36475.82321023343
Z50,Z,166,35302.953684503584
Z50,Z,167,31180.40212908626
Z50,Z,168,35985.93367090264
Z50,Z,169,30919.32997851533
Z50,Z,170,33007.43289234717
Z50,Z,171,35694.162496468685
Z50,Z,172,37143.131626190036
Z50,Z,173,35543.75519731542
Z50,Z,174,37795.112179184856
Z50,Z,175,37031.976279474504
Z50,Z,176,36127.68975145454
Z50,Z,177,34582.17744430047
Z50,Z,178,34698.22985442886
Z50,Z,179,39241.31696453366
Z50,Z,180,39084.48158841155
Z100,Z,0,1.0781174582711234e-26
Z100,Z,1,39144.40383556312
Z100,Z,2,33368.066950329536
Z100,Z,3,37168.281107829745
Z100,Z,4,37477.15427572975
Z100,Z,5,36764.85392599668
Z100,Z,6,39575.16517547721
Z100,Z,7,35460.2430563026
Z100,Z,8,38442.64897192646
Z100,Z,9,37326.94219107755
Z100,Z,10,36162.32862249482
Z100,Z,11,34210.657968410655
Z100,Z,12,39044.9115026763
Z100,Z,13,39737.47186882842
Z100,Z,14,39979.974595530985
Z100,Z,15,38820.41823095075
Z100,Z,16,38632.36477736641
Z100,Z,17,36463.741874412066
Z100,Z,18,31145.84474099142
Z100,Z,19,36893.1562284998
Z100,Z,20,31497.788464938752
Z100,Z,21,35760.82200058943
Z100,Z,22,36109.89094243207
Z100,Z,23,35406.316974421825
Z100,Z,24,38367.1459757729
Z100,Z,25,41430.543625033075
Z100,Z,26,34620.98446891184
Z100,Z,27,39937.12167004694
Z100,Z,28,37164.70662764699
Z100,Z,29,41242.866068918396
Z100,Z,30,33365.53380256739
Z100,Z,31,30761.116045290517
Z100,Z,32,37636.800700744294
Z100,Z,33,36981.02047930643
Z100,Z,34,36342.14561227871
Z100,Z,35,35939.99580289615
Z100,Z,36,36380.73457881906
Z100,Z,37,38274.79499064891
Z100,Z,38,36171.49404095134
Z100,Z,39,39292.89663049351
Z100,Z,40,34466.04870141627
Z100,Z,41,35492.77890231381
Z100,Z,42,39015.66185006329
Z100,Z,43,33766.20983507095
Z100,Z,44,39460.376379097186
Z100,Z,45,32171.835184956144
Z100,Z,46,37737.02927638571
Z100,Z,47,37331.96978122321
Z100,Z,48,37947.37074229743
Z100,Z,49,36450.84409845769
Z100,Z,50,29668.18510238465
Z100,Z,51,33497.71001648798
Z100,Z,52,31301.803996867635
Z100,Z,53,43298.58185721126
Z100,Z,54,34130.5297596097
Z100,Z,55,33436.72868030477
Z100,Z,56,35897.552014287976
Z100,Z,57,39800.78719340188
Z100,Z,58,38123.35701017577
Z100,Z,59,33820.71543111288
Z100,Z,60,33496.941986424405
