dataset,forecast_slice,channel_index,channel_name,mean,std,min,max,p01,p50,p99
forecast,0,0,Z50,-0.030800623819231987,10.03687572479248,-42.19713592529297,45.07711410522461,-23.577865600585938,-0.0034752399660646915,23.198158264160156
forecast,0,1,Z100,0.005991913843899965,9.996031761169434,-38.5031623840332,41.28236770629883,-23.308300018310547,-0.010110410861670971,23.15215492248535
forecast,0,2,Z150,0.019106389954686165,9.98963451385498,-45.283164978027344,42.65613555908203,-23.406143188476562,0.03912196680903435,23.182714462280273
forecast,0,3,Z200,-0.04024263471364975,10.023402214050293,-38.85677719116211,42.67660140991211,-23.355012893676758,-0.022998884320259094,23.264907836914062
forecast,0,4,Z250,-0.013976704329252243,9.940933227539062,-39.64064025878906,46.341609954833984,-23.214569091796875,0.009941266849637032,22.974117279052734
forecast,0,5,Z300,-0.043732352554798126,9.973688125610352,-45.045475006103516,42.84225082397461,-23.186817169189453,-0.0425080731511116,23.174274444580078
forecast,0,6,Z400,-0.05708009749650955,9.991804122924805,-41.03894805908203,40.92945861816406,-23.22271728515625,-0.05226278677582741,23.256202697753906
forecast,0,7,Z500,0.0282217375934124,9.988780975341797,-51.669097900390625,41.83623504638672,-23.040225982666016,-0.023884490132331848,23.28537940979004
forecast,0,8,Z600,-0.001528476132079959,9.992197036743164,-39.59941864013672,40.793067932128906,-23.198589324951172,-0.03287631645798683,23.464284896850586
forecast,0,9,Z700,0.013957181014120579,9.954410552978516,-48.45599365234375,44.649757385253906,-23.22773551940918,0.05813327431678772,23.1414852142334
forecast,0,10,Z850,-0.0137937618419528,9.997249603271484,-41.59099197387695,46.01756286621094,-23.29533576965332,-0.0048135071992874146,23.11661148071289
forecast,0,11,Z925,0.021314037963747978,9.97015380859375,-41.10268020629883,44.3309326171875,-23.08623504638672,0.07553313672542572,23.15092658996582
forecast,0,12,Z1000,-0.016078246757388115,10.032954216003418,-41.01519775390625,45.993675231933594,-23.31830406188965,-0.025744199752807617,23.40200424194336
forecast,0,13,T50,0.006783426273614168,9.941187858581543,-39.68898010253906,39.729095458984375,-23.286283493041992,-0.012057753279805183,23.393901824951172
forecast,0,14,T100,-0.029391199350357056,10.022900581359863,-48.45698547363281,46.314247131347656,-23.573680877685547,0.011933337897062302,23.128835678100586
forecast,0,15,T150,0.013643152080476284,9.964920043945312,-39.03070831298828,40.123817443847656,-23.127775192260742,-0.00429918710142374,23.022985458374023
forecast,0,16,T200,-0.0012886833865195513,10.029097557067871,-51.013587951660156,41.97475814819336,-23.443286895751953,0.011061329394578934,23.23267936706543
forecast,0,17,T250,0.014840743504464626,9.950343132019043,-41.010948181152344,43.1651611328125,-23.271129608154297,-0.03590071201324463,23.426616668701172
forecast,0,18,T300,-0.010510185733437538,10.042694091796875,-39.699031829833984,41.924827575683594,-23.344324111938477,-0.026477206498384476,23.266489028930664
forecast,0,19,T400,-0.005811785347759724,10.005851745605469,-46.911773681640625,48.782127380371094,-23.42695426940918,0.02897997386753559,23.49884033203125
forecast,0,20,T500,0.0240204818546772,9.995355606079102,-42.40814208984375,41.27956008911133,-23.249418258666992,0.0054754288867115974,23.34115982055664
forecast,0,21,T600,0.009114592336118221,9.961479187011719,-42.39202117919922,41.45456314086914,-23.19165802001953,-0.03787898272275925,22.966020584106445
forecast,0,22,T700,-0.011845552362501621,9.989604949951172,-39.59063720703125,43.907779693603516,-23.063541412353516,-0.025575732812285423,23.146953582763672
forecast,0,23,T850,-0.03626975789666176,10.021663665771484,-40.92870330810547,42.58272171020508,-23.298145294189453,-0.0702681839466095,23.307790756225586
forecast,0,24,T925,0.00529315322637558,10.023306846618652,-41.66321563720703,50.569923400878906,-23.252885818481445,-0.011809242889285088,23.29424476623535
forecast,0,25,T1000,-0.031131891533732414,10.042479515075684,-46.70769119262695,41.308780670166016,-23.56583595275879,0.015422333031892776,23.183460235595703
forecast,0,26,U50,0.06054572016000748,10.005410194396973,-44.35719299316406,39.82282638549805,-22.954566955566406,0.05133723467588425,23.485919952392578
forecast,0,27,U100,0.030703913420438766,10.044310569763184,-44.36780548095703,39.66791915893555,-23.3325138092041,0.07320559024810791,23.564449310302734
forecast,0,28,U150,-0.00964371394366026,9.99703598022461,-45.13751983642578,39.055511474609375,-23.506084442138672,0.011766523122787476,23.17228126525879
forecast,0,29,U200,0.02741609886288643,10.006796836853027,-39.73874282836914,48.29655456542969,-23.183773040771484,0.028326645493507385,23.123201370239258
forecast,0,30,U250,0.0190920177847147,9.979520797729492,-44.192928314208984,45.29058837890625,-23.082319259643555,0.016618240624666214,23.239967346191406
forecast,0,31,U300,-0.0945720449090004,9.997687339782715,-40.56766128540039,42.00474166870117,-23.519882202148438,-0.0967436358332634,22.970598220825195
forecast,0,32,U400,-0.022150101140141487,9.98220443725586,-41.55025863647461,40.71229934692383,-23.275232315063477,-0.043627023696899414,23.32474136352539
forecast,0,33,U500,0.05102070793509483,9.957218170166016,-45.44838333129883,39.77363967895508,-23.056339263916016,0.05757587030529976,23.25959014892578
forecast,0,34,U600,-0.011352526023983955,10.00653076171875,-42.68315887451172,40.31098937988281,-23.477930068969727,0.001792791299521923,23.106735229492188
forecast,0,35,U700,0.02010262757539749,10.035545349121094,-40.92603302001953,44.44496154785156,-23.216089248657227,0.08910584449768066,23.277143478393555
forecast,0,36,U850,-0.019658269360661507,9.978049278259277,-40.058860778808594,43.2513427734375,-23.372283935546875,0.011831030249595642,23.231481552124023
forecast,0,37,U925,-0.056273315101861954,10.006390571594238,-48.37348175048828,40.11769104003906,-23.38821029663086,-0.07077615708112717,23.24662208557129
forecast,0,38,U1000,0.0047109294682741165,10.003872871398926,-47.155006408691406,42.43471145629883,-23.099863052368164,0.014073412865400314,23.510364532470703
forecast,0,39,V50,-0.015613283030688763,10.001102447509766,-44.259979248046875,42.62538146972656,-23.171186447143555,0.007146605756133795,23.387601852416992
forecast,0,40,V100,0.04025449603796005,9.961522102355957,-43.23257064819336,40.6013298034668,-23.279407501220703,0.032308124005794525,23.31586265563965
forecast,0,41,V150,0.01111222431063652,9.995482444763184,-41.61125946044922,43.16530227661133,-23.354785919189453,-0.022681474685668945,23.30984878540039
forecast,0,42,V200,-0.0040975878946483135,10.022051811218262,-40.79032897949219,43.5658073425293,-23.517942428588867,-0.037749264389276505,23.1198787689209
forecast,0,43,V250,0.06349650770425797,10.00473403930664,-45.07467269897461,42.32117462158203,-23.268545150756836,0.05488000810146332,23.446645736694336
forecast,0,44,V300,-0.012124791741371155,9.984821319580078,-39.01996612548828,41.49858474731445,-23.21863555908203,-0.038846347481012344,23.192333221435547
forecast,0,45,V400,0.06876176595687866,10.052741050720215,-41.93736267089844,43.648468017578125,-23.505931854248047,0.056051455438137054,23.33643913269043
forecast,0,46,V500,-0.041843898594379425,10.038565635681152,-39.479164123535156,43.83344650268555,-23.479829788208008,-0.041693203151226044,23.32930564880371
forecast,0,47,V600,-0.00011849166185129434,10.000640869140625,-47.31109619140625,41.753326416015625,-23.239580154418945,0.00749976746737957,23.264892578125
forecast,0,48,V700,-0.03340739756822586,9.984161376953125,-42.237213134765625,38.23698043823242,-23.29468536376953,-0.04294472932815552,23.313295364379883
forecast,0,49,V850,0.016654685139656067,9.963435173034668,-46.78756332397461,47.9265251159668,-22.83198356628418,0.004317766521126032,23.299882888793945
forecast,0,50,V925,-0.0306768286973238,9.964393615722656,-43.23786926269531,45.84979248046875,-23.09674072265625,-0.0662621408700943,23.399188995361328
forecast,0,51,V1000,0.04392887279391289,10.01977825164795,-41.98532485961914,42.1234130859375,-23.499305725097656,0.04795462638139725,23.379810333251953
forecast,0,52,R50,0.05021030083298683,10.017850875854492,-38.304813385009766,41.06036376953125,-23.228015899658203,0.006874524988234043,23.31341552734375
forecast,0,53,R100,0.003722110530361533,10.022805213928223,-47.28791046142578,46.086578369140625,-22.92913055419922,-0.02489495649933815,23.65168571472168
forecast,0,54,R150,-0.06493566930294037,9.985129356384277,-45.952945709228516,42.60181427001953,-23.398534774780273,-0.04559147357940674,23.2691707611084
forecast,0,55,R200,-0.005072466097772121,9.964570999145508,-45.64470291137695,42.95361328125,-23.144275665283203,-0.042549967765808105,23.13092041015625
forecast,0,56,R250,0.04492010921239853,10.012808799743652,-41.01272964477539,45.41055679321289,-23.221681594848633,0.002101497258991003,23.312244415283203
forecast,0,57,R300,-0.025566667318344116,10.038433074951172,-43.027915954589844,44.34959030151367,-23.307031631469727,-0.02160538360476494,23.295289993286133
forecast,0,58,R400,-0.014879454858601093,9.999944686889648,-39.97075653076172,40.994537353515625,-23.230541229248047,-0.0026548358146101236,23.311723709106445
