variable_group,rmse_vs_latest_input,bias_vs_latest_input,corr_vs_latest_input
U10,14.20012378692627,-0.05129658058285713,-0.008335629478096962
MSL,14.172306060791016,-0.055375028401613235,-0.00363996927626431
T2M,14.160837173461914,0.01834767684340477,-0.009654910303652287
T,14.13874259361854,-0.011451248151178543,0.00032783328676417185
Z,14.133793390714205,-0.026763818343169987,0.0011896672261243041
R,14.133432314946102,0.01970096627393594,0.001811165649157304
U,14.130879035362831,0.0048199225073823565,0.0012434329871141997
V,14.128806040837215,0.017072501314732317,0.0013802729797764467
V10,14.104768753051758,-0.05856415256857872,-0.00034137038164772093
TP,8.52109146118164,-0.031808726489543915,-0.0015602026833221316
