dataset,time,channel_index,channel_name,mean,std,min,max,p01,p50,p99
input,0,0,Z50,-0.013563878834247589,10.030264854431152,-43.891143798828125,50.072349548339844,-23.437726974487305,-0.05158397927880287,23.367542266845703
input,0,1,Z100,-0.05587483197450638,10.034347534179688,-38.93086242675781,45.06745910644531,-23.28519058227539,-0.13149327039718628,23.61430549621582
input,0,2,Z150,0.047502484172582626,10.0263671875,-48.156410217285156,49.932762145996094,-23.097192764282227,0.07650984823703766,23.336824417114258
input,0,3,Z200,0.012838312424719334,9.96064281463623,-49.28238296508789,40.89613342285156,-23.170042037963867,0.0584959015250206,23.3057918548584
input,0,4,Z250,-0.006700369529426098,9.980202674865723,-39.4481315612793,46.73029327392578,-23.291324615478516,-0.040451858192682266,23.032638549804688
input,0,5,Z300,0.0012230040738359094,10.004677772521973,-42.347984313964844,41.44232940673828,-23.2434024810791,0.009238798171281815,23.32929039001465
input,0,6,Z400,-0.022476932033896446,10.021350860595703,-42.018184661865234,44.61654281616211,-23.29719352722168,-0.007333748042583466,23.223024368286133
input,0,7,Z500,-0.01747925765812397,9.98948860168457,-45.117916107177734,40.67889404296875,-23.40524673461914,-0.0648827850818634,23.269123077392578
input,0,8,Z600,-0.04248889163136482,9.989009857177734,-40.7374382019043,43.4766960144043,-23.37303924560547,-0.05472581833600998,23.16862678527832
input,0,9,Z700,-0.04888376593589783,10.038426399230957,-46.5168571472168,41.62474060058594,-23.66493797302246,-0.021612104028463364,23.252544403076172
input,0,10,Z850,0.019376272335648537,9.969893455505371,-48.27122116088867,44.168949127197266,-23.28146743774414,0.015546762384474277,23.221233367919922
input,0,11,Z925,0.055374037474393845,10.007195472717285,-42.1147346496582,41.960350036621094,-23.175294876098633,0.038657594472169876,23.24961280822754
input,0,12,Z1000,-0.04842575266957283,10.042635917663574,-44.83247375488281,41.63679122924805,-23.507022857666016,-0.0676376223564148,23.287954330444336
input,0,13,T50,0.023191258311271667,9.985424041748047,-45.35350036621094,43.127662658691406,-23.22883415222168,-0.00916819367557764,23.223899841308594
input,0,14,T100,0.09767625480890274,9.995416641235352,-45.67756271362305,40.53575897216797,-23.219640731811523,0.11354190111160278,23.387319564819336
input,0,15,T150,0.019067658111453056,9.971708297729492,-41.76594543457031,41.714839935302734,-23.133939743041992,0.04231547936797142,23.055744171142578
input,0,16,T200,0.028084591031074524,9.988795280456543,-45.91869354248047,46.09273910522461,-23.132360458374023,-0.009729987010359764,23.26431655883789
input,0,17,T250,0.00949170719832182,9.96713924407959,-44.18046951293945,43.99143600463867,-23.20176887512207,-0.0061794463545084,23.211502075195312
input,0,18,T300,0.04494457319378853,9.981849670410156,-39.91304016113281,37.188446044921875,-23.159881591796875,0.05370497703552246,23.173797607421875
input,0,19,T400,0.06341513246297836,10.000353813171387,-50.8574333190918,45.47909164428711,-23.250349044799805,0.05674869194626808,23.206003189086914
input,0,20,T500,0.03238441050052643,9.993980407714844,-41.63383102416992,40.39861297607422,-23.127117156982422,0.023214824497699738,23.406465530395508
input,0,21,T600,-0.06757178157567978,10.006061553955078,-39.522727966308594,39.177711486816406,-23.267826080322266,-0.04813496023416519,23.129934310913086
input,0,22,T700,0.0030173968989402056,10.018523216247559,-46.613731384277344,38.52610778808594,-23.215621948242188,0.03741574287414551,23.22663116455078
input,0,23,T850,-0.01330592855811119,10.008199691772461,-43.24994659423828,42.709774017333984,-23.424911499023438,-0.018022729083895683,23.327123641967773
input,0,24,T925,0.05585744231939316,10.00144100189209,-45.51311111450195,39.96089172363281,-23.209632873535156,0.0239462461322546,23.534494400024414
input,0,25,T1000,0.001258785487152636,9.987606048583984,-44.76667404174805,45.60295867919922,-23.2120304107666,0.002657694974914193,23.299808502197266
input,0,26,U50,0.02450251579284668,10.017112731933594,-45.144630432128906,41.7662239074707,-23.58268165588379,0.059278327971696854,23.13005828857422
input,0,27,U100,-0.014188429340720177,10.014791488647461,-42.089900970458984,40.433048248291016,-23.10209083557129,-0.043927837163209915,23.358097076416016
input,0,28,U150,0.00948780495673418,9.98547649383545,-45.46543884277344,47.04155731201172,-23.002286911010742,0.0034330901689827442,23.236623764038086
input,0,29,U200,-0.01411652471870184,9.96520709991455,-46.253509521484375,42.80485153198242,-23.257749557495117,0.032389700412750244,23.260772705078125
input,0,30,U250,-0.024057256057858467,9.958245277404785,-41.1396484375,44.209476470947266,-23.12272834777832,-0.050005536526441574,23.425025939941406
input,0,31,U300,0.04604354873299599,10.00525188446045,-40.37618637084961,43.14926528930664,-23.277273178100586,0.0959632396697998,23.137807846069336
input,0,32,U400,-0.04393734782934189,10.042915344238281,-47.225730895996094,40.7950553894043,-23.35143280029297,-0.03089214116334915,23.299747467041016
input,0,33,U500,0.08730683475732803,10.021566390991211,-39.49327087402344,46.76359176635742,-23.513134002685547,0.06724356859922409,23.425033569335938
input,0,34,U600,-0.023531347513198853,10.017183303833008,-50.43589782714844,44.0540657043457,-23.219106674194336,-0.018014170229434967,23.444005966186523
input,0,35,U700,-0.013593514449894428,10.011237144470215,-45.45758056640625,42.15781784057617,-23.518144607543945,-0.011801110580563545,23.264997482299805
input,0,36,U850,-0.02970990538597107,9.960857391357422,-44.266239166259766,41.51457977294922,-23.200998306274414,0.013132812455296516,23.117231369018555
input,0,37,U925,0.028615333139896393,9.970024108886719,-37.76534652709961,42.80230712890625,-22.980255126953125,0.03201765567064285,23.207359313964844
input,0,38,U1000,0.0033472669310867786,10.015902519226074,-43.378299713134766,44.564605712890625,-23.160961151123047,-0.009168149903416634,23.4741153717041
input,0,39,V50,0.06420332938432693,9.9419584274292,-41.70714569091797,42.82460021972656,-23.056594848632812,0.027403902262449265,23.219669342041016
input,0,40,V100,0.023501340299844742,10.006183624267578,-43.13671112060547,41.82273483276367,-23.058549880981445,0.02463676780462265,23.34767723083496
input,0,41,V150,-0.018856177106499672,9.978229522705078,-42.1532096862793,40.29045104980469,-23.2993106842041,-0.07777464389801025,23.179288864135742
input,0,42,V200,0.0032473213504999876,9.980511665344238,-41.12731170654297,48.58172607421875,-23.12042236328125,-0.013859972357749939,23.267478942871094
input,0,43,V250,-0.0065027866512537,10.032747268676758,-43.622596740722656,46.089317321777344,-23.59134292602539,-0.00033583625918254256,23.27935791015625
input,0,44,V300,0.037939172238111496,9.971036911010742,-40.85378646850586,41.6126594543457,-23.078140258789062,0.06827262043952942,23.00884437561035
input,0,45,V400,-0.004240591544657946,10.005847930908203,-43.72201919555664,53.11841583251953,-23.33427619934082,-0.033539388328790665,23.244461059570312
input,0,46,V500,-0.02760101854801178,10.027437210083008,-42.017547607421875,42.9771728515625,-23.535425186157227,0.020420221611857414,23.307945251464844
input,0,47,V600,0.1273217350244522,10.02278995513916,-41.1014518737793,43.79705047607422,-23.198894500732422,0.14150190353393555,23.4161376953125
input,0,48,V700,0.05395987257361412,9.957305908203125,-45.889686584472656,42.45074462890625,-23.310388565063477,0.0863843783736229,23.000150680541992
input,0,49,V850,-0.05331902951002121,10.069014549255371,-42.55462646484375,46.75747299194336,-23.527610778808594,-0.0733572244644165,23.42156219482422
input,0,50,V925,0.011131326667964458,9.984233856201172,-42.468048095703125,39.19942855834961,-23.23195457458496,-0.006000622175633907,23.356468200683594
input,0,51,V1000,0.014285847544670105,10.003621101379395,-40.7747688293457,42.628421783447266,-23.184450149536133,0.01377730444073677,23.347375869750977
input,0,52,R50,0.0038654569070786238,9.973539352416992,-44.26090621948242,42.1922721862793,-23.282289505004883,0.0020688329823315144,22.97780990600586
input,0,53,R100,0.01667853444814682,9.959259986877441,-38.44544982910156,41.74640655517578,-23.226476669311523,0.010539554990828037,23.21705436706543
input,0,54,R150,0.01995742879807949,10.011526107788086,-45.216888427734375,38.937374114990234,-23.163232803344727,0.05981916934251785,23.33998680114746
input,0,55,R200,-0.0075386702083051205,9.931897163391113,-43.23324203491211,43.624366760253906,-23.194181442260742,-0.005859279539436102,23.094345092773438
input,0,56,R250,0.06144772097468376,9.993327140808105,-43.49467849731445,41.47540283203125,-23.26169204711914,0.04988579824566841,23.066085815429688
input,0,57,R300,-0.026487769559025764,10.02773380279541,-40.24497985839844,47.69859313964844,-23.327733993530273,0.007139382418245077,23.20256805419922
input,0,58,R400,-0.09805852174758911,10.017179489135742,-43.210784912109375,44.596534729003906,-23.396806716918945,-0.06532838940620422,23.113208770751953
input,0,59,R500,0.034998390823602676,10.031787872314453,-52.211666107177734,39.04258346557617,-23.288034439086914,0.05721936374902725,23.363569259643555
input,0,60,R600,-0.010010573081672192,10.020252227783203,-44.196468353271484,46.809051513671875,-23.588787078857422,0.041622333228588104,23.17104721069336
input,0,61,R700,0.025719959288835526,10.02426528930664,-44.685020446777344,44.18948745727539,-23.41684341430664,0.03835322707891464,23.35403823852539
input,0,62,R850,0.011090060696005821,9.982226371765137,-41.71841049194336,43.113128662109375,-23.156505584716797,-0.007144510746002197,23.35405158996582
input,0,63,R925,-0.01192527823150158,9.919315338134766,-40.39756774902344,42.470394134521484,-22.82776641845703,-0.07402051985263824,23.278907775878906
input,0,64,R1000,0.050165124237537384,9.9866361618042,-41.63448715209961,43.968719482421875,-23.14647674560547,0.024123162031173706,23.401784896850586
input,0,65,T2M,-0.06707994639873505,9.957462310791016,-51.9774055480957,42.15721893310547,-23.308101654052734,-0.048151470720767975,23.048259735107422
input,0,66,U10,0.050369005650281906,9.996114730834961,-40.79789733886719,40.27630615234375,-23.248937606811523,0.10693441331386566,23.305299758911133
input,0,67,V10,-0.01923409476876259,9.954761505126953,-41.135650634765625,39.43967819213867,-23.294679641723633,0.005806039087474346,23.05234146118164
input,0,68,MSL,-0.05037602782249451,9.979561805725098,-41.354183197021484,44.42537307739258,-23.287599563598633,-0.09128803014755249,23.069908142089844
input,0,69,TP,7.974716663360596,6.03406286239624,2.2902497221366502e-05,42.76901626586914,0.11582912504673004,6.699542045593262,25.65599822998047
input,1,0,Z50,0.012458390556275845,10.008930206298828,-45.502593994140625,40.96550750732422,-23.221960067749023,0.017940785735845566,23.10634994506836
input,1,1,Z100,0.0455087274312973,10.052701950073242,-43.08253479003906,40.36793518066406,-23.31476402282715,0.0774313360452652,23.434410095214844
input,1,2,Z150,0.027372712269425392,9.979031562805176,-43.44988250732422,42.81365203857422,-23.0640869140625,0.0163494311273098,23.205827713012695
input,1,3,Z200,0.03789951279759407,9.986062049865723,-41.81234359741211,44.698944091796875,-23.137210845947266,0.03413430228829384,23.2213134765625
input,1,4,Z250,-0.04372056946158409,10.058788299560547,-41.830833435058594,48.46040725708008,-23.2683162689209,0.0025177362840622663,23.233753204345703
input,1,5,Z300,0.05243027210235596,9.972245216369629,-39.56975555419922,43.67287063598633,-23.237010955810547,0.04397284984588623,23.3077335357666
input,1,6,Z400,0.05846897512674332,9.958715438842773,-39.00140380859375,43.20698165893555,-22.92560577392578,0.048521287739276886,23.067974090576172
input,1,7,Z500,0.048029858618974686,9.982317924499512,-44.15230178833008,46.036659240722656,-23.15518569946289,0.053892455995082855,23.0936279296875
input,1,8,Z600,-0.08025744557380676,9.998695373535156,-48.657615661621094,41.83864974975586,-23.22568702697754,-0.10099807381629944,23.278732299804688
input,1,9,Z700,0.009150141850113869,10.015880584716797,-42.97780990600586,40.41979217529297,-23.21949005126953,0.024057583883404732,23.259456634521484
input,1,10,Z850,0.01017684955149889,10.034246444702148,-46.26927185058594,44.056610107421875,-23.46356964111328,-0.014442746527493,23.366973876953125
input,1,11,Z925,0.01995663344860077,10.059625625610352,-39.29840850830078,44.224403381347656,-23.406333923339844,0.009654013440012932,23.759227752685547
input,1,12,Z1000,-0.08137713372707367,10.009028434753418,-44.32008743286133,41.504066467285156,-23.573450088500977,-0.07713019102811813,23.179794311523438
input,1,13,T50,0.012064681388437748,10.024507522583008,-42.93105697631836,45.203887939453125,-23.576744079589844,0.047810230404138565,23.2812442779541
input,1,14,T100,0.026884449645876884,9.966402053833008,-40.79498291015625,41.79866409301758,-23.027347564697266,0.009016569703817368,23.16048812866211
input,1,15,T150,0.07246468961238861,9.978034019470215,-38.70720672607422,44.255531311035156,-23.373973846435547,0.0974205732345581,23.34131622314453
input,1,16,T200,0.021573904901742935,10.010851860046387,-39.87063980102539,43.561100006103516,-23.248733520507812,0.012380331754684448,23.287887573242188
input,1,17,T250,-0.06316360831260681,9.981966972351074,-41.57342529296875,43.63878631591797,-23.31960105895996,-0.04746587201952934,23.140640258789062
input,1,18,T300,-0.03880703076720238,9.980319023132324,-42.79507064819336,39.88674545288086,-23.37579345703125,-0.016664057970046997,23.231901168823242
input,1,19,T400,0.013421761803328991,10.003665924072266,-40.11199951171875,41.41754913330078,-23.016820907592773,0.028629979118704796,23.323402404785156
input,1,20,T500,0.003018793649971485,10.041655540466309,-36.687171936035156,48.49785614013672,-23.170080184936523,-0.023065928369760513,23.450716018676758
input,1,21,T600,-0.015707582235336304,9.998778343200684,-40.69429397583008,43.209739685058594,-23.22942543029785,0.018436741083860397,23.458209991455078
input,1,22,T700,0.008990117348730564,9.97407054901123,-40.39320373535156,44.11241149902344,-23.100679397583008,0.034287117421627045,23.344654083251953
input,1,23,T850,0.009794902056455612,10.016653060913086,-41.340328216552734,41.66397476196289,-23.41963005065918,0.040602847933769226,23.16730499267578
input,1,24,T925,-0.002447879407554865,10.020153045654297,-42.026954650878906,46.713680267333984,-23.453466415405273,0.0055729784071445465,23.43000602722168
input,1,25,T1000,-0.009321823716163635,9.988536834716797,-40.757083892822266,45.73931121826172,-23.550622940063477,0.018320169299840927,23.05787467956543
input,1,26,U50,-0.004118442535400391,10.020877838134766,-47.75574493408203,43.91315460205078,-23.25002670288086,-0.07479751855134964,23.49845314025879
input,1,27,U100,-0.0003739916137419641,9.960469245910645,-45.32929992675781,42.69020462036133,-23.200889587402344,-0.01602536253631115,22.947187423706055
input,1,28,U150,-0.025938469916582108,9.965420722961426,-43.51054763793945,39.55947494506836,-23.104963302612305,-0.02900509536266327,23.22168731689453
input,1,29,U200,-0.016106413677334785,9.992807388305664,-49.35993194580078,41.16984558105469,-23.291603088378906,-0.08311504870653152,23.324359893798828
input,1,30,U250,-0.010291333310306072,10.016046524047852,-40.99951171875,43.666236877441406,-23.393537521362305,-0.03256741911172867,23.23813819885254
