channel_index,channel_label,group,variable,pressure_hpa
0,Z50,upper_air,Z,50.0
1,Z100,upper_air,Z,100.0
2,Z150,upper_air,Z,150.0
3,Z200,upper_air,Z,200.0
4,Z250,upper_air,Z,250.0
5,Z300,upper_air,Z,300.0
6,Z400,upper_air,Z,400.0
7,Z500,upper_air,Z,500.0
8,Z600,upper_air,Z,600.0
9,Z700,upper_air,Z,700.0
10,Z850,upper_air,Z,850.0
11,Z925,upper_air,Z,925.0
12,Z1000,upper_air,Z,1000.0
13,T50,upper_air,T,50.0
14,T100,upper_air,T,100.0
15,T150,upper_air,T,150.0
16,T200,upper_air,T,200.0
17,T250,upper_air,T,250.0
18,T300,upper_air,T,300.0
19,T400,upper_air,T,400.0
20,T500,upper_air,T,500.0
21,T600,upper_air,T,600.0
22,T700,upper_air,T,700.0
23,T850,upper_air,T,850.0
24,T925,upper_air,T,925.0
25,T1000,upper_air,T,1000.0
26,U50,upper_air,U,50.0
27,U100,upper_air,U,100.0
28,U150,upper_air,U,150.0
29,U200,upper_air,U,200.0
30,U250,upper_air,U,250.0
31,U300,upper_air,U,300.0
32,U400,upper_air,U,400.0
33,U500,upper_air,U,500.0
34,U600,upper_air,U,600.0
35,U700,upper_air,U,700.0
36,U850,upper_air,U,850.0
37,U925,upper_air,U,925.0
38,U1000,upper_air,U,1000.0
39,V50,upper_air,V,50.0
40,V100,upper_air,V,100.0
41,V150,upper_air,V,150.0
42,V200,upper_air,V,200.0
43,V250,upper_air,V,250.0
44,V300,upper_air,V,300.0
45,V400,upper_air,V,400.0
46,V500,upper_air,V,500.0
47,V600,upper_air,V,600.0
48,V700,upper_air,V,700.0
49,V850,upper_air,V,850.0
50,V925,upper_air,V,925.0
51,V1000,upper_air,V,1000.0
52,R50,upper_air,R,50.0
53,R100,upper_air,R,100.0
54,R150,upper_air,R,150.0
55,R200,upper_air,R,200.0
56,R250,upper_air,R,250.0
57,R300,upper_air,R,300.0
58,R400,upper_air,R,400.0
59,R500,upper_air,R,500.0
60,R600,upper_air,R,600.0
61,R700,upper_air,R,700.0
62,R850,upper_air,R,850.0
63,R925,upper_air,R,925.0
64,R1000,upper_air,R,1000.0
65,T2M,surface,T2M,
66,U10,surface,U10,
67,V10,surface,V10,
68,MSL,surface,MSL,
69,TP,surface,TP,
