hour,onshore wind,gas,nuclear,charge,discharge,load_shedding,demand,wind_available,wind_curtailment
0,116610.03081712822,0.0,0.0,3375.0,0.0,0.0,113235.03081712821,134018.15940773406,17408.12859060583
1,102279.81038085523,0.0,0.0,2025.0,1350.0,0.0,101604.81038085517,112891.13978292816,10611.32940207294
2,88340.06871828996,0.0,0.0,2250.0,218.10055329150077,0.0,86308.16927158141,114547.1003815066,26207.031663216625
3,82491.1069779046,0.0,0.0,2475.0,506.25,0.0,80522.35697790461,117151.53343727435,34660.426459369766
4,93540.3063749584,0.0,0.0,3375.0,0.0,0.0,90165.30637495837,104500.01161810919,10959.705243150791
5,112755.90701161753,0.0,0.0,3375.0,0.0,0.0,109380.90701161747,117035.43289016353,4279.525878546014
6,102407.30739670477,3007.378263851796,16200.0,0.0,3375.0,0.0,124989.68566055656,102407.30739670477,0.0
7,115989.27961462406,0.0,10104.84845746553,0.0,421.875,0.0,126516.00307208969,115989.27961462406,0.0
8,117531.67664708238,0.0,0.0,3375.0,0.0,0.0,114156.67664708235,126827.61856241678,9295.941915334417
9,101998.42379830463,0.0,0.0,3375.0,0.0,0.0,98623.42379830468,128400.34869550125,26401.92489719659
10,90409.93487057944,0.0,2569.2050282296623,0.0,0.0,0.0,92979.1398988091,90409.93487057944,0.0
11,100886.15756444416,0.0,1798.1023150591136,0.0,0.0,0.0,102684.2598795031,100886.15756444416,0.0
12,97784.31553448978,4494.928825076619,16200.0,0.0,2953.125,0.0,121432.36935956641,97784.31553448978,0.0
13,105371.16124479064,11506.135235851252,16200.0,0.0,2868.75,0.0,135946.04648064196,105371.16124479064,0.0
14,103007.29009987178,13498.919803229175,16200.0,0.0,3375.0,0.0,136081.209903101,103007.29009987178,0.0
15,111429.66414862662,0.0,14491.457733637624,3375.0,0.0,0.0,122546.12188226433,111429.66414862662,0.0
16,89062.81139033653,1094.6847599536086,16200.0,0.0,0.0,0.0,106357.49615029007,89062.81139033653,0.0
17,103822.87932489332,0.0,0.0,3375.0,0.0,0.0,100447.87932489335,105318.24033051112,1495.3610056177931
18,87679.02937370738,5935.798249049821,16200.0,0.0,0.0,0.0,109814.82762275719,87679.02937370738,0.0
19,96254.77550729069,11882.961264779507,16200.0,0.0,3375.0,0.0,127712.73677207026,96254.77550729069,0.0
20,100693.4338075761,20518.610962272254,16200.0,0.0,3375.0,0.0,140787.0447698484,100693.4338075761,0.0
21,89501.77439904405,30502.143738494993,16200.0,0.0,3037.5,0.0,139241.418137539,89501.77439904405,0.0
22,113368.34258455891,0.0,10927.85706123244,0.0,0.0,0.0,124296.19964579133,113368.34258455891,0.0
23,110633.9412642921,0.0,0.0,3375.0,0.0,0.0,107258.94126429211,113607.56488914452,2973.623624852422
24,102429.50833315839,0.0,1071.55007415414,2586.2986839414225,0.0,0.0,100914.75972337114,102429.50833315839,0.0
25,113167.2641579253,0.0,0.0,3375.0,0.0,0.0,109792.26415792527,114786.80051038002,1619.536352454732
26,129380.69046855236,0.0,0.0,2663.7013160585775,0.0,0.0,126716.98915249383,129380.69046855236,0.0
27,115321.59004374563,3380.097067424592,16200.0,0.0,3375.0,0.0,138276.68711117023,115321.59004374563,0.0
28,103989.82619610228,11472.132933413428,16200.0,0.0,3375.0,0.0,135036.95912951572,103989.82619610228,0.0
29,115678.37141632602,0.0,3050.2175355626023,0.0,0.0,0.0,118728.58895188865,115678.37141632602,0.0
30,104308.81604945929,0.0,0.0,3375.0,0.0,0.0,100933.81604945927,120253.76537401137,15944.949324552097
31,97646.8521508427,0.0,0.0,3375.0,0.0,0.0,94271.85215084272,122985.11553676272,25338.26338592004
32,106170.33945361408,0.0,0.0,3375.0,0.0,0.0,102795.33945361416,130603.71167105902,24433.372217444907
