hour,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
0,162871.81355074132,340031.84277924127,262229.5707516811,136519.53592316093,-157626.30675110413,-314247.77913831477,-211780.1181173061,-69074.70262110277,74667.18251455645,66161.3519989667,57312.49301274243,48892.837427266786,40601.13542139839,33159.927412163874,24790.754566032898,18808.65084369976,12518.660698870037,6660.482244320388,-150000.0,-150000.0,109685.93366273912,150000.0,150000.0
1,166033.16851469298,338795.37014380784,274851.5617227382,142522.2886585573,-156575.8187917165,-311717.36931299325,-228983.08802967175,-84836.21822089294,59724.033658165055,53476.99933384982,45812.482202283194,38580.76757779613,31750.93001758181,26136.72205678058,19375.939199692064,14650.486495302775,10231.078731832586,5087.086047929912,-150000.0,-150000.0,87829.90337372379,150000.0,150000.0
2,153383.0112577669,328362.5735615018,263451.60874857,136801.88573810828,-155812.79988393607,-310859.7112107446,-232544.45537814905,-88104.41530906742,57125.6258439675,50642.44961628144,43683.79919734058,37266.30582770282,30946.339160958632,25274.62223898193,18895.607004433732,14336.02489506773,9541.770588613073,5076.644787614724,-150000.0,-150000.0,83817.05057327979,150000.0,150000.0
3,148099.36155340052,328279.1615011853,281852.95822684263,146704.10268557435,-155423.12913419123,-310131.7123299991,-238412.36748424423,-93599.60621400451,51950.197097931756,45901.63141797018,40755.382750049495,34768.09676803229,28871.79962347453,23580.29571922699,17628.908426240905,13374.985519764345,8902.12205892031,4736.323424403015,-150000.0,-150000.0,76852.31758596573,150000.0,150000.0
4,168240.19509129395,343440.74908723845,278568.6394754506,134732.5608132471,-156072.57559573784,-311345.03485271777,-229570.06879617192,-85378.50494809961,59638.36536136989,52865.45410875412,45636.040846336036,38931.7478377346,32329.340028649658,26404.152433337626,19740.057158836775,14976.706003291732,9968.195082144404,5303.52151476854,-150000.0,-150000.0,87522.63759902719,150000.0,150000.0
5,164640.60497725548,343796.48990245647,277986.867343017,137427.1199616493,-156731.65885252046,-312282.9762833774,-224727.01198266257,-81052.343985035,63536.813523782366,56575.97046939248,48941.86950553933,41257.228537655305,33960.52236588875,27353.37904668897,20011.521173986723,15590.23952870267,10415.527436660283,5432.143801181715,-150000.0,-150000.0,93211.56239158552,150000.0,150000.0
6,181468.18745574885,364779.93110650737,284009.113136317,138361.68631055026,-158036.0319253141,-314541.10831957875,-219986.1020267083,-77749.47163592768,65672.38866743384,57048.885345055896,49726.601094470665,41031.173869892744,38241.988521861305,30628.943882366097,22147.06386470176,16450.483226650962,9906.521701549897,4949.392781631283,-150000.0,-150000.0,96289.61598509387,150000.0,150000.0
7,183478.96506305202,357704.4031754287,274480.2998834127,134747.53158532843,-158172.25805493718,-315026.04360823985,-216660.19841954426,-74520.74974208926,69492.55205622218,60989.82147894631,52714.054509867994,44090.42950697799,41425.638056206095,33626.158279013005,24689.946002979053,18984.030614684332,12638.329014230854,6597.292931927755,-150000.0,-150000.0,100891.22684334638,150000.0,150000.0
8,166900.5837013821,353093.52702348307,269724.3963068236,131036.13210445375,-157575.87900705164,-313151.18374315853,-218502.8017589469,-75219.4712529448,69098.31884940217,61656.751464521316,52855.69489589096,44741.659723721146,37324.88624835071,30315.547115943078,22185.42203818983,17142.557760284242,11229.271227451267,5435.911717800547,-150000.0,-150000.0,101218.29455980554,150000.0,150000.0
9,164965.02671187453,343613.0926004284,264761.737868713,133124.3293413222,-156642.22438323605,-312409.2760871145,-223047.6895551638,-79400.99642282673,65148.422515901606,57740.16624006483,49917.011074616006,42583.80989959126,35362.0514469913,28881.04105850765,21591.808437745312,16381.62262902793,10903.279405520214,5801.027812175346,-150000.0,-150000.0,95648.42865757144,150000.0,150000.0
