hour,Bus1,Bus3,Bus12
0,1350.0,1125.0,900.0
1,0.0,1125.0,900.0
2,1350.0,0.0,900.0
3,1350.0,1125.0,0.0
4,1350.0,1125.0,900.0
5,1350.0,1125.0,900.0
6,0.0,0.0,0.0
7,0.0,0.0,0.0
8,1350.0,1125.0,900.0
9,1350.0,1125.0,900.0
10,0.0,0.0,0.0
11,-0.0,-0.0,-0.0
12,0.0,0.0,0.0
13,0.0,0.0,0.0
14,0.0,0.0,0.0
15,1350.0,1125.0,900.0
16,0.0,0.0,0.0
17,1350.0,1125.0,900.0
18,0.0,0.0,0.0
19,0.0,0.0,0.0
20,0.0,0.0,0.0
21,0.0,0.0,0.0
22,-0.0,0.0,0.0
23,1350.0,1125.0,900.0
24,750.0,936.2986839414225,900.0
25,1350.0,1125.0,900.0
26,1350.0,813.7013160585775,500.0
27,0.0,0.0,0.0
28,0.0,0.0,0.0
29,0.0,0.0,0.0
30,1350.0,1125.0,900.0
31,1350.0,1125.0,900.0
32,1350.0,1125.0,900.0
33,1350.0,1125.0,900.0
34,0.0,0.0,0.0
35,0.0,0.0,0.0
36,0.0,0.0,0.0
37,1350.0,1125.0,900.0
38,1350.0,1125.0,900.0
39,1350.0,1125.0,900.0
40,0.0,0.0,900.0
41,300.0,0.0,0.0
42,1350.0,1125.0,0.0
43,1350.0,1125.0,900.0
44,1350.0,1125.0,900.0
45,0.0,0.0,900.0
46,1350.0,1125.0,0.0
47,1350.0,1125.0,900.0
48,1350.0,1125.0,900.0
49,0.0,0.0,900.0
50,1350.0,1125.0,0.0
51,1350.0,0.0,900.0
52,0.0,0.0,900.0
53,1350.0,1125.0,0.0
54,1350.0,1125.0,900.0
55,0.0,1125.0,900.0
56,1350.0,0.0,0.0
57,1350.0,1125.0,900.0
58,0.0,0.0,0.0
59,1350.0,1125.0,900.0
60,0.0,0.0,900.0
61,1350.0,1125.0,900.0
62,1350.0,1125.0,0.0
63,0.0,0.0,0.0
64,1350.0,0.0,900.0
65,1350.0,1125.0,0.0
66,0.0,1125.0,0.0
67,1350.0,0.0,900.0
68,1350.0,1125.0,900.0
69,0.0,1125.0,0.0
70,0.0,0.0,900.0
71,0.0,1125.0,0.0
72,0.0,1125.0,900.0
73,1350.0,0.0,900.0
74,1350.0,1125.0,0.0
75,0.0,0.0,0.0
76,1350.0,1125.0,900.0
77,1350.0,0.0,900.0
78,0.0,1125.0,0.0
79,1350.0,0.0,900.0
80,1350.0,1125.0,900.0
81,1350.0,1125.0,0.0
82,0.0,1125.0,900.0
83,1350.0,1125.0,900.0
84,1350.0,1125.0,900.0
85,1350.0,0.0,900.0
86,0.0,1125.0,0.0
87,1350.0,1125.0,900.0
88,1350.0,1125.0,900.0
89,1350.0,1125.0,900.0
90,0.0,0.0,0.0
91,0.0,0.0,0.0
92,1350.0,1125.0,900.0
93,1350.0,1125.0,900.0
94,1350.0,1125.0,900.0
95,1350.0,1125.0,900.0
96,0.0,0.0,0.0
97,0.0,0.0,0.0
98,0.0,0.0,0.0
99,0.0,0.0,0.0
100,1350.0,1125.0,900.0
101,1350.0,1125.0,900.0
102,0.0,0.0,0.0
103,0.0,0.0,0.0
104,0.0,0.0,0.0
105,0.0,0.0,0.0
106,1350.0,1125.0,900.0
107,1350.0,1125.0,900.0
108,1350.0,1125.0,900.0
109,1350.0,1125.0,900.0
110,0.0,0.0,0.0
111,0.0,0.0,0.0
112,0.0,0.0,0.0
113,-0.0,-0.0,-0.0
114,1350.0,1125.0,900.0
115,1350.0,1125.0,900.0
116,1350.0,625.0,900.0
117,1350.0,1125.0,900.0
118,0.0,0.0,0.0
119,0.0,0.0,0.0
120,1350.0,1125.0,900.0
121,0.0,1125.0,900.0
122,1350.0,1125.0,900.0
123,1350.0,0.0,900.0
124,1350.0,1125.0,900.0
125,1350.0,1125.0,0.0
126,1350.0,1125.0,900.0
127,0.0,1125.0,900.0
128,1350.0,0.0,0.0
129,1350.0,1125.0,900.0
130,1350.0,1125.0,900.0
131,0.0,0.0,0.0
132,0.0,1125.0,900.0
133,1350.0,0.0,900.0
134,1350.0,1125.0,0.0
135,1350.0,1125.0,900.0
136,0.0,1125.0,900.0
137,1350.0,0.0,0.0
138,1350.0,1125.0,900.0
139,0.0,1125.0,900.0
140,1350.0,0.0,0.0
141,1350.0,1125.0,900.0
142,0.0,0.0,0.0
143,0.0,1125.0,900.0
144,1350.0,0.0,900.0
145,1350.0,0.0,900.0
146,1350.0,1125.0,900.0
147,1350.0,0.0,0.0
148,0.0,0.0,0.0
149,0.0,1125.0,900.0
150,1350.0,1125.0,0.0
151,0.0,1125.0,0.0
152,1350.0,0.0,900.0
153,0.0,1125.0,0.0
154,1350.0,1125.0,900.0
155,0.0,0.0,900.0
156,1350.0,1125.0,0.0
157,0.0,1125.0,900.0
158,1350.0,0.0,900.0
159,1350.0,1125.0,0.0
160,0.0,1125.0,900.0
161,1350.0,0.0,900.0
162,1350.0,1125.0,0.0
163,1350.0,1125.0,900.0
164,0.0,0.0,900.0
165,1350.0,1125.0,900.0
166,0.0,1125.0,900.0
167,1350.0,1125.0,0.0
