hour,Bus1,Bus3,Bus12
0,0.0,0.0,0.0
1,1350.0,0.0,0.0
2,0.0,218.10055329150077,0.0
3,0.0,0.0,506.25
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,1350.0,1125.0,900.0
7,168.75,140.625,112.5
8,0.0,0.0,0.0
9,0.0,0.0,0.0
10,0.0,0.0,0.0
11,0.0,0.0,0.0
12,1350.0,703.125,900.0
13,843.75,1125.0,900.0
14,1350.0,1125.0,900.0
15,0.0,0.0,0.0
16,0.0,0.0,0.0
17,0.0,0.0,0.0
18,0.0,0.0,0.0
19,1350.0,1125.0,900.0
20,1350.0,1125.0,900.0
21,1350.0,1125.0,562.5
22,0.0,0.0,0.0
23,0.0,0.0,0.0
24,0.0,0.0,0.0
25,0.0,0.0,0.0
26,0.0,0.0,0.0
27,1350.0,1125.0,900.0
28,1350.0,1125.0,900.0
29,0.0,0.0,0.0
30,0.0,0.0,0.0
31,0.0,0.0,0.0
32,0.0,0.0,0.0
33,0.0,0.0,0.0
34,337.5,281.25,225.0
35,1350.0,1125.0,900.0
36,1350.0,1125.0,900.0
37,0.0,0.0,0.0
38,0.0,0.0,0.0
39,0.0,0.0,0.0
40,1350.0,703.125,0.0
41,0.0,0.0,0.0
42,0.0,0.0,562.5
43,0.0,0.0,0.0
44,0.0,0.0,0.0
45,1350.0,1125.0,0.0
46,0.0,0.0,900.0
47,0.0,0.0,0.0
48,0.0,0.0,0.0
49,1350.0,1125.0,0.0
50,0.0,0.0,900.0
51,0.0,1125.0,0.0
52,1350.0,1125.0,0.0
53,0.0,0.0,900.0
54,0.0,0.0,0.0
55,1350.0,0.0,0.0
56,0.0,1125.0,900.0
57,0.0,0.0,0.0
58,1350.0,1125.0,900.0
59,0.0,0.0,0.0
60,1350.0,1125.0,0.0
61,0.0,0.0,0.0
62,0.0,0.0,900.0
63,0.0,0.0,0.0
64,0.0,1125.0,0.0
65,0.0,0.0,900.0
66,1350.0,0.0,900.0
67,0.0,1125.0,0.0
68,0.0,0.0,0.0
69,1350.0,0.0,900.0
70,1350.0,1125.0,0.0
71,1350.0,0.0,900.0
72,1350.0,0.0,0.0
73,0.0,1125.0,0.0
74,0.0,0.0,900.0
75,1350.0,1125.0,900.0
76,0.0,0.0,0.0
77,0.0,1125.0,0.0
78,1350.0,0.0,900.0
79,0.0,1125.0,0.0
80,0.0,0.0,0.0
81,0.0,0.0,900.0
82,1350.0,0.0,0.0
83,0.0,0.0,0.0
84,0.0,0.0,0.0
85,0.0,914.0625,0.0
86,759.375,0.0,731.25
87,0.0,0.0,0.0
88,0.0,0.0,0.0
89,0.0,0.0,0.0
90,1350.0,1125.0,900.0
91,1350.0,1125.0,900.0
92,0.0,0.0,0.0
93,0.0,0.0,0.0
94,0.0,0.0,0.0
95,0.0,0.0,0.0
96,1350.0,-0.0,900.0
97,1350.0,1125.0,0.0
98,1350.0,1125.0,900.0
99,1350.0,0.0,900.0
100,0.0,0.0,0.0
101,0.0,0.0,0.0
102,1350.0,0.0,900.0
103,0.0,1125.0,0.0
104,0.0,1125.0,0.0
105,0.0,1125.0,900.0
106,0.0,0.0,0.0
107,0.0,0.0,0.0
108,0.0,0.0,0.0
109,0.0,0.0,0.0
110,1350.0,1125.0,900.0
111,1350.0,1125.0,900.0
112,1181.25,984.375,787.5
113,0.0,0.0,0.0
114,0.0,0.0,0.0
115,0.0,0.0,0.0
116,0.0,0.0,0.0
117,0.0,0.0,0.0
118,1350.0,1125.0,900.0
119,-0.0,1125.0,900.0
120,0.0,0.0,0.0
121,1350.0,0.0,0.0
122,0.0,0.0,0.0
123,0.0,140.625,0.0
124,0.0,0.0,0.0
125,0.0,0.0,900.0
126,0.0,0.0,0.0
127,1350.0,0.0,0.0
128,0.0,1125.0,900.0
129,0.0,0.0,0.0
130,0.0,0.0,0.0
131,1350.0,1125.0,900.0
132,1350.0,0.0,0.0
133,0.0,1125.0,0.0
134,0.0,0.0,900.0
135,0.0,0.0,0.0
136,1350.0,0.0,0.0
137,0.0,1125.0,900.0
138,0.0,0.0,0.0
139,1350.0,0.0,0.0
140,0.0,1125.0,900.0
141,0.0,0.0,0.0
142,1350.0,1125.0,900.0
143,1350.0,0.0,0.0
144,0.0,1125.0,0.0
145,0.0,1125.0,0.0
146,0.0,0.0,0.0
147,0.0,1125.0,900.0
148,1350.0,1125.0,900.0
149,1350.0,0.0,0.0
150,0.0,0.0,900.0
151,1350.0,0.0,900.0
152,0.0,1125.0,0.0
153,1350.0,0.0,900.0
154,0.0,0.0,0.0
155,1350.0,1125.0,0.0
156,0.0,0.0,900.0
157,1350.0,0.0,0.0
158,0.0,1125.0,0.0
159,0.0,0.0,900.0
160,1350.0,0.0,0.0
161,0.0,1125.0,0.0
162,0.0,0.0,900.0
163,0.0,0.0,0.0
164,1350.0,1125.0,0.0
165,0.0,0.0,0.0
166,0.0,1117.8369467084995,0.0
167,0.0,0.0,900.0
