hour,Bus1,Bus3,Bus12
0,5850.0,3665.800737722001,3375.0
1,4050.0,4509.550737722001,4050.0
2,5062.5,4218.75,4725.0
3,6075.0,5062.5,4050.0
4,7087.5,5906.25,4725.0
5,8100.0,6750.0,5400.0
6,6300.0,5250.0,4200.0
7,6075.0,5062.5,4050.0
8,7087.5,5906.25,4725.0
9,8100.0,6750.0,5400.0
10,8100.0,6750.0,5400.0
11,8100.0,6750.0,5400.0
12,6300.0,5812.5,4200.0
13,5175.0,4312.5,3000.0
14,3375.0,2812.5,1800.0
15,4387.5,3656.25,2475.0
16,4387.5,3656.25,2475.0
17,5400.0,4500.0,3150.0
18,5400.0,4500.0,3150.0
19,3600.0,3000.0,1950.0
20,1800.0,1500.0,750.0
21,0.0,0.0,0.0
22,0.0,-0.0,-0.0
23,1012.5,843.75,675.0
24,1575.0,1545.9740129560669,1350.0
25,2587.5,2389.724012956067,2025.0
26,3600.0,3000.0,2400.0
27,1800.0,1500.0,1200.0
28,-0.0,-0.0,-0.0
29,0.0,0.0,0.0
30,1012.5,843.75,675.0
31,2025.0,1687.5,1350.0
32,3037.5,2531.25,2025.0
33,4050.0,3375.0,2700.0
34,3600.0,3000.0,2400.0
35,1800.0,1500.0,1200.0
36,0.0,0.0,0.0
37,1012.5,843.75,675.0
38,2025.0,1687.5,1350.0
39,3037.5,2531.25,2025.0
40,1237.5,1593.75,2700.0
41,1462.5,1593.75,2700.0
42,2475.0,2437.5,1950.0
43,3487.5,3281.25,2625.0
44,4500.0,4125.0,3300.0
45,2700.0,2625.0,3975.0
46,3712.5,3468.75,2775.0
47,4725.0,4312.5,3450.0
48,5737.5,5156.25,4125.0
49,3937.5,3656.25,4800.0
50,4950.0,4500.0,3600.0
51,5962.5,3000.0,4275.0
52,4162.5,1500.0,4950.0
53,5175.0,2343.75,3750.0
54,6187.5,3187.5,4425.0
55,4387.5,4031.25,5100.0
56,5400.0,2531.25,3900.0
57,6412.5,3375.0,4575.0
58,4612.5,1875.0,3375.0
59,5625.0,2718.75,4050.0
60,3825.0,1218.75,4725.0
61,4837.5,2062.5,5400.0
62,5850.0,2906.25,4200.0
63,5850.0,2906.25,4200.0
64,6862.5,1406.25,4875.0
65,7875.0,2250.0,3675.0
66,6075.0,3093.75,2475.0
67,7087.5,1593.75,3150.0
68,8100.0,2437.5,3825.0
69,6300.0,3281.25,2625.0
70,4500.0,1781.25,3300.0
71,2700.0,2625.0,2100.0
72,900.0,3468.75,2775.0
73,1912.5,1968.75,3450.0
74,2925.0,2812.5,2250.0
75,1125.0,1312.5,1050.0
76,2137.5,2156.25,1725.0
77,3150.0,656.25,2400.0
78,1350.0,1500.0,1200.0
79,2362.5,0.0,1875.0
80,3375.0,843.75,2550.0
81,4387.5,1687.5,1350.0
82,2587.5,2531.25,2025.0
83,3600.0,3375.0,2700.0
84,4612.5,4218.75,3375.0
85,5625.0,3000.0,4050.0
86,4612.5,3843.75,3075.0
87,5625.0,4687.5,3750.0
88,6637.5,5531.25,4425.0
89,7650.0,6375.0,5100.0
90,5850.0,4875.0,3900.0
91,4050.0,3375.0,2700.0
92,5062.5,4218.75,3375.0
93,6075.0,5062.5,4050.0
94,7087.5,5906.25,4725.0
95,8100.0,6750.0,5400.0
96,6300.0,6750.0,4200.0
97,4500.0,5250.0,4200.0
98,2700.0,3750.0,3000.0
99,900.0,3750.0,1800.0
100,1912.5,4593.75,2475.0
101,2925.0,5437.5,3150.0
102,1125.0,5437.5,1950.0
103,1125.0,3937.5,1950.0
104,1125.0,2437.5,1950.0
105,1125.0,937.5,750.0
106,2137.5,1781.25,1425.0
107,3150.0,2625.0,2100.0
108,4162.5,3468.75,2775.0
109,5175.0,4312.5,3450.0
110,3375.0,2812.5,2250.0
111,1575.0,1312.5,1050.0
112,0.0,0.0,0.0
113,0.0,0.0,0.0
114,1012.5,843.75,675.0
115,2025.0,1687.5,1350.0
116,3037.5,2156.25,2025.0
117,4050.0,3000.0,2700.0
118,2250.0,1500.0,1500.0
119,2250.0,0.0,300.0
120,3262.5,843.75,975.0
121,1462.5,1687.5,1650.0
122,2475.0,2531.25,2325.0
123,3487.5,2343.75,3000.0
124,4500.0,3187.5,3675.0
125,5512.5,4031.25,2475.0
126,6525.0,4875.0,3150.0
127,4725.0,5718.75,3825.0
128,5737.5,4218.75,2625.0
129,6750.0,5062.5,3300.0
130,7762.5,5906.25,3975.0
131,5962.5,4406.25,2775.0
132,4162.5,5250.0,3450.0
133,5175.0,3750.0,4125.0
134,6187.5,4593.75,2925.0
135,7200.0,5437.5,3600.0
136,5400.0,6281.25,4275.0
137,6412.5,4781.25,3075.0
138,7425.0,5625.0,3750.0
139,5625.0,6468.75,4425.0
140,6637.5,4968.75,3225.0
141,7650.0,5812.5,3900.0
142,5850.0,4312.5,2700.0
143,4050.0,5156.25,3375.0
144,5062.5,3656.25,4050.0
145,6075.0,2156.25,4725.0
146,7087.5,3000.0,5400.0
147,8100.0,1500.0,4200.0
148,6300.0,0.0,3000.0
149,4500.0,843.75,3675.0
150,5512.5,1687.5,2475.0
151,3712.5,2531.25,1275.0
152,4725.0,1031.25,1950.0
153,2925.0,1875.0,750.0
154,3937.5,2718.75,1425.0
155,2137.5,1218.75,2100.0
156,3150.0,2062.5,900.0
157,1350.0,2906.25,1575.0
158,2362.5,1406.25,2250.0
159,3375.0,2250.0,1050.0
160,1575.0,3093.75,1725.0
161,2587.5,1593.75,2400.0
162,3600.0,2437.5,1200.0
163,4612.5,3281.25,1875.0
164,2812.5,1781.25,2550.0
165,3825.0,2625.0,3225.0
166,3825.0,1978.3007377220008,3900.0
167,4837.5,2822.050737722001,2700.0
