hour,Bus1,Bus2,Bus3,Bus4,Bus5,Bus6,Bus7,Bus8,Bus9,Bus10,Bus11,Bus12,Bus13,Bus14,Bus15,Bus16,Bus17,Bus18,Bus19,Bus20
0,21740.68544131604,28112.498949200657,33741.157384676924,25440.14123798142,14320.081190168212,762.857392539218,202.6033081376492,828.5032047538292,844.6160654247147,600.2513571294704,1196.938230314629,318.56554889907636,230.39562635003566,1377.0626085528502,950.6556733987494,404.6825178789397,915.4039402753463,1007.8046477933038,112.5,910.7550829429812
1,25989.305136213054,23616.84444297689,25668.35703131884,18702.76993786702,8231.09249016248,267.200067028414,799.8391837441224,1381.2713033459236,692.2371740453799,175.60403240217838,1385.173574880768,367.92504830786356,323.16925783320653,610.2346856385975,1062.7234033434581,748.8033013594946,642.2370467431615,1224.545802409894,112.5,889.3068633074203
2,20761.916379891794,25705.538331533713,19246.296241037573,24226.94554275352,13838.07360501727,498.6433473676623,481.24918221259657,1385.46384117838,710.4906657262227,565.0566622626578,986.5975759733212,303.46025965754967,564.0983822249971,1349.3952052870745,413.43173623681605,455.6884049292978,1023.1328137586049,721.129952348379,300.7037997868761,1009.788452322279
3,23341.265656225532,32244.20892421342,32071.99803285528,15669.044071121578,3892.955914016023,297.7338432515814,714.2751755867637,871.407511845027,276.27227542629697,238.94074327021312,974.3515504680701,557.2275638051331,733.3272061985278,1025.316068814386,409.085136752609,485.22694099648186,919.2939358153782,861.1663886446524,424.7210650471605,1143.7154329202388
4,20367.985931222094,25958.974102868335,24358.790103169747,7079.768462779744,15935.9984984313,369.77375244001814,676.4591135002901,1104.7139818910948,112.5,697.2414446897831,1022.7100790647903,871.2426710979427,472.7859983992978,808.5346701350231,795.3605962182364,417.6848793873125,1382.8093165511123,682.0640004775419,361.92570601939536,1022.6883097661191
5,21018.113589851924,30075.935912952307,29234.503992142076,10551.28072070587,13383.919526181418,635.0751304618973,844.783230210957,1316.9898345453062,720.97039663287,634.2680643128786,1255.4787849606546,944.206706012742,448.4390341170204,712.7753422769321,580.792034716043,742.4576455687741,1357.2122206565587,901.1888210480274,675.4029447042805,1001.6389581049851
6,30972.908168556234,28963.086950905996,15202.332377607061,5622.14623805393,12565.089425835728,381.9432957188101,803.7550363912095,832.9743848200878,288.4480798345031,329.61494498691445,765.2968991937759,551.7265734395356,598.2524556820023,963.2582008047945,600.6171866854623,756.0764321037426,906.5108120745911,398.9772928335854,112.5,791.7926411768059
7,34175.373237951244,25289.619940567765,18344.906369344266,11552.308216779402,16190.561516451007,348.5136655173926,544.2980153324814,834.6504917595562,289.59151604695785,1005.4108098865473,1000.7214187671415,492.88809984085145,783.544882887486,1199.4175919355796,514.4835658006609,414.55391240775236,977.8100229212063,682.0212406509129,504.2292653930335,844.3758343828097
8,28327.16663937257,37153.165411833674,19712.621543182806,12471.273410357762,19810.318844709367,112.5,1100.0613302045356,707.111239088162,637.2873024600032,626.8411957546095,1133.4940318568977,112.5,374.14991697625976,942.4165907014584,492.4345717539909,307.1663814795293,987.9291556437312,427.89928126624744,112.5,1278.7817157751808
9,33556.11009825387,29477.630946662262,18560.049985136346,19364.351271062806,17606.945369327175,526.9094842709529,803.1944864239042,563.5179856549822,463.6182981788728,655.9496161066154,988.4023613465556,222.63711727815385,232.57748439976658,1283.4997997513374,112.5,608.5971606909231,888.312570914939,419.1706548914972,731.9041906774016,1334.4698144728504
10,30857.86103980416,16487.317833094163,15025.937632743164,12914.11053111645,5647.88118827894,525.5806205494516,597.037788920345,596.9583427602665,448.67195176885446,925.8259959409331,875.3575778364185,160.7965903737054,673.8705669702323,583.2806794068503,592.4865584040891,524.9986064392353,1012.0656748476057,421.6209605471918,588.6296350073903,949.6450957699653
11,26314.732242061193,25294.014635864238,18628.963769078808,10278.632882118744,9206.08397166752,895.084222583493,877.766851314544,417.3285162151568,848.2886192007104,1176.9328006312792,1011.4175946328259,199.28363195004368,568.8295098839238,868.0726459009379,606.710951119222,740.775383803049,769.1928980465608,431.28901512983407,754.6810602902355,998.07636295181
12,30628.596641141783,20236.383615204704,9896.760499379601,15021.684075968771,13304.353937525702,373.1349282837307,1331.8264208938479,649.6526724593857,238.53202787782553,722.2165962094782,128.92206366307644,309.6646415357398,771.0978001638284,545.5754621170812,286.1461554711203,1081.7430831389759,651.052966408418,328.7340292664918,516.6141368727435,761.6237809074779
13,35510.16991731325,25742.810965685752,13060.698542600003,2250.0,17478.75752416649,530.9855090178102,1198.3031836314037,418.75509862672584,620.8418813890892,990.7073304225501,839.2334241402893,257.2028673970934,889.361310909999,862.3081229041629,329.80635396557733,745.7769080712342,1005.9770982145359,390.7832286233646,1048.7728527636984,1199.9091249476214
14,27825.964195961686,16995.500613027893,13391.128966103704,13001.729840182552,21001.42500552225,581.449967414447,933.8990632069625,596.4924220410409,459.60369050776495,1092.542730489917,488.8418445894418,112.5,852.215973048385,930.7828282698234,112.5,880.4587892380924,963.6221124276067,692.653690073725,1043.2450156890043,1050.733352077504
15,34251.3458125124,18693.463330145943,14480.455963159107,16022.94776748801,16752.39731847651,927.3108495449043,931.4792164202439,148.6694689429887,547.0661607831474,1163.9795194767196,174.29530747026442,584.1669574573751,1306.2754718060946,586.0327617728534,481.48950282183966,939.7109829127756,593.7951849740493,562.0355089180446,985.092164652271,1297.6548988911034
16,14487.515301551675,20153.66890064507,14866.190729822949,6686.982187002323,22210.21908611519,600.3073473931643,927.8362477587835,532.033866640433,874.6537127824596,1052.1732987727644,653.3948356036423,209.87161708855365,1071.3783541334392,112.5,518.26689238448,1148.4256590510383,926.7541456604987,546.1673886921839,865.549183358624,618.9226358792785
17,28904.615360624353,20502.122244874598,6295.575206779614,19430.273977108423,19296.75594164674,735.0974706282656,1450.2627459999744,608.8845571996137,692.3877584477589,926.7068835827386,802.7225493272122,545.4793734614923,1076.5593737942525,625.1678322090768,405.785615129122,476.4645621639389,532.5900559956464,265.74275640308736,1061.087958942617,683.9581061925888
18,24415.41433245533,10012.259576981969,4346.54043955124,16884.25749663055,21215.065302141036,859.7237653304563,1044.7576678963012,112.5,748.8077064232172,812.3375725797109,422.0982293093564,1002.8723280805474,1152.4917218542114,631.1673983008923,708.7523036117823,863.0526230105785,681.0599887976792,192.7261948004703,801.7201578122866,771.4245681397553
