hour,Bus1,Bus2,Bus3,Bus4,Bus5,Bus6,Bus7,Bus8,Bus9,Bus10,Bus11,Bus12,Bus13,Bus14,Bus15,Bus16,Bus17,Bus18,Bus19,Bus20
0,6744.533386215036,0.0,0.0,0.0,0.0,762.857392539218,202.6033081376492,828.5032047538292,844.6160654247147,600.2513571294704,1196.938230314629,318.56554889907636,230.39562635003566,1377.0626085528502,950.6556733987494,404.6825178789397,915.4039402753463,1007.8046477933038,112.5,910.7550829429812
1,10611.32940207294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,15438.701381943909,0.0,0.0,0.0,0.0,498.6433473676623,481.24918221259657,1385.46384117838,710.4906657262227,565.0566622626578,986.5975759733212,303.46025965754967,564.0983822249971,1349.3952052870745,413.43173623681605,455.6884049292978,1023.1328137586049,721.129952348379,300.7037997868761,1009.788452322279
3,23341.265656225532,1387.0999643017094,0.0,0.0,0.0,297.7338432515814,714.2751755867637,871.407511845027,276.27227542629697,238.94074327021312,974.3515504680701,557.2275638051331,733.3272061985278,1025.316068814386,409.085136752609,485.22694099648186,919.2939358153782,861.1663886446524,424.7210650471605,1143.7154329202388
4,161.2107235128351,0.0,0.0,0.0,0.0,369.77375244001814,676.4591135002901,1104.7139818910948,112.5,697.2414446897831,1022.7100790647903,871.2426710979427,472.7859983992978,808.5346701350231,795.3605962182364,417.6848793873125,1382.8093165511123,682.0640004775419,361.92570601939536,1022.6883097661191
5,4279.525878546014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,9295.941915334417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,16566.663872137833,0.0,0.0,0.0,0.0,526.9094842709529,803.1944864239042,563.5179856549822,463.6182981788728,655.9496161066154,988.4023613465556,222.63711727815385,232.57748439976658,1283.4997997513374,112.5,608.5971606909231,888.312570914939,419.1706548914972,731.9041906774016,1334.4698144728504
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,1495.3610056177931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,2973.623624852422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,1619.536352454732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,5307.231667141719,0.0,0.0,0.0,0.0,1340.9547230191424,448.96845820185405,602.2446946861405,1204.6003118179112,465.0642967296964,507.205163256334,1063.6020896234795,326.9840126770654,258.3700223302467,1369.2759835023505,891.2317588616753,304.7616928133671,993.694190281581,715.342149765092,145.41810984444106
31,13569.654736769962,1557.9369518264975,0.0,0.0,0.0,951.7115423280754,112.5,295.0987670094897,871.2283584832621,773.6524200628212,647.023355006407,1117.4850251038783,915.967847509564,452.49113641735033,1306.0490432697611,925.5214007865306,330.67466920479734,694.4504359395976,461.74395669171076,355.0737395103347
32,11734.9791236536,3331.292110238581,0.0,0.0,0.0,812.7891735385356,579.1925459055685,638.6020954107194,948.8436728967577,281.81551648418144,579.6422725747102,1254.675358596495,298.3994240851433,239.78279354471303,716.8260504719085,735.3707964340138,400.27963328567887,997.4754614988277,770.9061888254812,112.5
33,4292.1445429944415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,7764.6221929777585,1231.5907165909302,0.0,0.0,0.0,609.0104051363218,320.1437778607838,1034.2876581558596,978.8341188776333,703.0595370529048,520.4017032041072,816.7506019132225,313.7184278762375,830.3209548827275,904.2664215494077,539.4250748088151,396.52748414395586,1172.4995340389341,822.9954337509004,491.6179812300462
