hour,gas,nuclear,onshore wind
0,8047.356581977325,2400.0,13889.362114181065
1,8047.356581977325,2400.0,13416.566264212022
2,8047.356581977325,2400.0,12734.080983028914
3,8047.356581977325,2400.0,12870.914022792746
4,8047.356581977325,2400.0,13442.334224739654
5,8047.356581977325,2400.0,14635.816393553123
6,8047.356581977325,2400.0,14429.112561586373
7,8047.356581977325,2400.0,14790.141956309624
8,8047.356581977325,2400.0,14063.769977196358
9,8047.356581977325,2400.0,13560.608701857387
10,8047.356581977325,2400.0,13259.188077744406
11,8047.356581977325,2400.0,14015.377621162314
12,8047.356581977325,2400.0,14203.741028873132
13,8047.356581977325,2400.0,15358.925858763118
14,8047.356581977325,2400.0,15244.862581294625
15,8047.356581977325,2400.0,14810.282876313182
16,8047.356581977325,2400.0,14047.369889164731
17,8047.356581977325,2400.0,13866.434515579618
18,8047.356581977325,2400.0,14215.935062756918
19,8047.356581977325,2400.0,15055.355609098475
20,8047.356581977325,2400.0,15636.215170335243
21,8047.356581977325,2400.0,15080.79550507752
22,8047.356581977325,2400.0,14836.38485267851
23,8047.356581977325,2400.0,14109.226167081091
24,8047.356581977325,2400.0,13292.487910976533
25,8047.356581977325,2400.0,13938.608587638686
26,8047.356581977325,2400.0,14935.5379207789
27,8047.356581977325,2400.0,14989.592005226143
28,8047.356581977325,2400.0,15227.195232694898
29,8047.356581977325,2400.0,14130.047377485826
30,8047.356581977325,2400.0,13829.709602798352
31,8047.356581977325,2400.0,13473.056479649253
32,8047.356581977325,2400.0,13620.491121967283
33,8047.356581977325,2400.0,14401.147388935377
34,8047.356581977325,2400.0,14609.23541508822
35,8047.356581977325,2400.0,14426.724091323302
36,8047.356581977325,2400.0,14182.004882567451
37,8047.356581977325,2400.0,13318.10374295509
38,8047.356581977325,2400.0,12710.74452205687
39,8047.356581977325,2400.0,13155.941729931039
40,8047.356581977325,2400.0,14060.059179300893
41,8047.356581977325,2400.0,13850.719373927168
42,8047.356581977325,2400.0,14183.616565865626
43,8047.356581977325,2400.0,13480.936830220671
44,8047.356581977325,2400.0,12446.603932759703
45,8047.356581977325,2400.0,12735.16355037538
46,8047.356581977325,2400.0,13053.821172422013
47,8047.356581977325,2400.0,13155.177927508601
48,8047.356581977325,2400.0,13793.385399726194
49,8047.356581977325,2400.0,13792.361694223533
50,8047.356581977325,2400.0,12906.92842258561
51,8047.356581977325,2400.0,12318.278669156247
52,8047.356581977325,2400.0,11874.346375489542
53,8047.356581977325,2400.0,12425.230594404991
54,8047.356581977325,2400.0,13269.785849020353
55,8047.356581977325,2400.0,13874.748474735992
56,8047.356581977325,2400.0,13427.912293303592
57,8047.356581977325,2400.0,12655.13487379648
58,8047.356581977325,2400.0,12182.058013986532
59,8047.356581977325,2400.0,11617.804242734646
60,8047.356581977325,2400.0,12247.562359716541
61,8047.356581977325,2400.0,12845.986712803575
62,8047.356581977325,2400.0,13745.964414174861
63,8047.356581977325,2400.0,13294.092420508801
64,8047.356581977325,2400.0,12391.388574426044
65,8047.356581977325,2400.0,11553.88721499878
66,8047.356581977325,2400.0,11702.80733180655
67,8047.356581977325,2400.0,12411.990915330507
68,8047.356581977325,2400.0,13198.966422194513
69,8047.356581977325,2400.0,13575.496351910602
70,8047.356581977325,2400.0,12967.974183470624
71,8047.356581977325,2400.0,12619.792268598709
72,8047.356581977325,2400.0,11809.373068671897
73,8047.356581977325,2400.0,11925.078445877945
74,8047.356581977325,2400.0,12524.462121056658
75,8047.356581977325,2400.0,13514.506773321325
76,8047.356581977325,2400.0,13577.495565704627
77,8047.356581977325,2400.0,13447.979254099242
78,8047.356581977325,2400.0,12812.535120106339
79,8047.356581977325,2400.0,12506.953378688508
80,8047.356581977325,2400.0,12432.730754642145
81,8047.356581977325,2400.0,12829.320346561604
82,8047.356581977325,2400.0,13816.614935245192
83,8047.356581977325,2400.0,14136.861190328651
84,8047.356581977325,2400.0,13775.974154566447
85,8047.356581977325,2400.0,13058.639158119197
86,8047.356581977325,2400.0,12784.764971800447
87,8047.356581977325,2400.0,12976.353667412914
88,8047.356581977325,2400.0,13703.50743535917
89,8047.356581977325,2400.0,15023.740860520376
90,8047.356581977325,2400.0,14903.223500231174
91,8047.356581977325,2400.0,14554.467088949978
92,8047.356581977325,2400.0,13916.437219006155
93,8047.356581977325,2400.0,13335.129099154803
94,8047.356581977325,2400.0,13453.882058922174
95,8047.356581977325,2400.0,14262.988220044715
96,8047.356581977325,2400.0,15037.551529530403
97,8047.356581977325,2400.0,15232.107153386907
98,8047.356581977325,2400.0,15043.829526316898
99,8047.356581977325,2400.0,14327.82491399836
100,8047.356581977325,2400.0,13661.349273502039
101,8047.356581977325,2400.0,13909.028750073696
102,8047.356581977325,2400.0,14309.867436418303
103,8047.356581977325,2400.0,15131.126421302575
104,8047.356581977325,2400.0,15329.724625965233
105,8047.356581977325,2400.0,15125.86696341426
106,8047.356581977325,2400.0,14501.66077278099
107,8047.356581977325,2400.0,13743.483566011744
108,8047.356581977325,2400.0,14079.761406711494
109,8047.356581977325,2400.0,14404.812001634107
110,8047.356581977325,2400.0,14963.253544765816
111,8047.356581977325,2400.0,15016.60365264478
112,8047.356581977325,2400.0,14555.763225330707
113,8047.356581977325,2400.0,13926.340979527264
114,8047.356581977325,2400.0,13447.967212567783
115,8047.356581977325,2400.0,13787.962424432952
116,8047.356581977325,2400.0,13830.679351989576
117,8047.356581977325,2400.0,14691.780744786138
118,8047.356581977325,2400.0,14984.452714258005
119,8047.356581977325,2400.0,14076.704162181193
120,8047.356581977325,2400.0,13502.069781459386
121,8047.356581977325,2400.0,12890.090565759678
122,8047.356581977325,2400.0,13157.98020806434
123,8047.356581977325,2400.0,13740.0729804989
124,8047.356581977325,2400.0,14056.644453932393
125,8047.356581977325,2400.0,14287.587146515827
126,8047.356581977325,2400.0,13844.470601219513
127,8047.356581977325,2400.0,12973.16518420631
128,8047.356581977325,2400.0,12532.127375278109
129,8047.356581977325,2400.0,12421.070111238472
130,8047.356581977325,2400.0,13258.497872659977
131,8047.356581977325,2400.0,13645.713567829313
132,8047.356581977325,2400.0,13871.312955652502
133,8047.356581977325,2400.0,13394.505627996909
134,8047.356581977325,2400.0,12462.041924767469
135,8047.356581977325,2400.0,11728.14486526034
136,8047.356581977325,2400.0,11834.209418590885
137,8047.356581977325,2400.0,12962.361680426815
138,8047.356581977325,2400.0,13003.202081668942
139,8047.356581977325,2400.0,13365.253063775946
140,8047.356581977325,2400.0,12937.62337453728
141,8047.356581977325,2400.0,12067.63141626878
142,8047.356581977325,2400.0,11737.291839481179
143,8047.356581977325,2400.0,12112.568904862399
144,8047.356581977325,2400.0,12410.177964195494
145,8047.356581977325,2400.0,13047.062734467185
146,8047.356581977325,2400.0,13370.937908310128
147,8047.356581977325,2400.0,12956.113136161643
148,8047.356581977325,2400.0,12255.222423819912
149,8047.356581977325,2400.0,11686.965360962204
150,8047.356581977325,2400.0,11601.319759059015
151,8047.356581977325,2400.0,12924.11563876665
152,8047.356581977325,2400.0,13366.175974190719
153,8047.356581977325,2400.0,13600.02512066974
154,8047.356581977325,2400.0,12746.052409379861
155,8047.356581977325,2400.0,12012.171499964954
156,8047.356581977325,2400.0,11941.825218406006
157,8047.356581977325,2400.0,12336.831667358065
158,8047.356581977325,2400.0,12841.259527372611
159,8047.356581977325,2400.0,14113.222316064677
160,8047.356581977325,2400.0,13230.837248240585
161,8047.356581977325,2400.0,13224.215185313022
162,8047.356581977325,2400.0,12918.198832922875
163,8047.356581977325,2400.0,12366.559598820635
164,8047.356581977325,2400.0,13180.52448150929
165,8047.356581977325,2400.0,13832.03377496011
166,8047.356581977325,2400.0,14537.437910912891
167,8047.356581977325,2400.0,14760.36104531079
