hour,Bus1__Bus2,Bus2__Bus3,Bus3__Bus4,Bus4__Bus5,Bus6__Bus7,Bus7__Bus8,Bus8__Bus9,Bus9__Bus10,Bus10__Bus11,Bus11__Bus12,Bus12__Bus13,Bus13__Bus14,Bus14__Bus15,Bus15__Bus16,Bus16__Bus17,Bus17__Bus18,Bus18__Bus19,Bus19__Bus20,Bus1__Bus6,Bus2__Bus7,Bus3__Bus8,Bus4__Bus9,Bus5__Bus10
0,-2094.9156409536763,-4547.385361654406,-3845.811804202525,-842.6231511526727,-5000.0,-3084.5149301486963,500.69538350695257,2525.663164330109,4952.495823103584,-2601.2260344345978,-2131.0758494677166,-5000.0,-4133.713118586648,-3269.027630352007,-2514.5945979139715,-1625.5363267320326,-1064.5574124664754,-560.3245481943386,1500.0,1500.0,1500.0,1500.0,1500.0
1,-1894.807219447134,-4249.45003330916,-1199.878611016682,424.24948423924457,2130.7258342521054,-1762.459717449331,-4531.305442299218,-5000.0,-2667.533413388146,-1673.5946787663133,-1192.4757161530351,-817.8992669616327,-4217.783019669781,-3328.193591447427,-2497.289273791491,-1668.9347567278155,-1059.7911414363498,-555.5582771642139,1500.0,1500.0,1500.0,1500.0,1500.0
2,-1790.2037401809807,-4016.1797679797896,-3942.2652476082485,-935.1681246560813,2182.1576743274936,4159.564049528785,2934.7880922945737,-630.0097021780766,-2980.9569336734194,-2075.590643253241,-1608.7971892289215,-1180.6809346171212,1026.9153807852017,1772.217771872747,2537.985445877529,3450.983466722414,3948.256893111321,4494.312824002764,1500.0,1500.0,1500.0,1500.0,1500.0
3,-2050.638446599466,-4227.947458726376,67.84710417187239,1231.9572853645946,262.50224923697033,-2416.891017286422,1177.8535868339372,3076.522747657444,972.8674708428962,1875.512422261907,2398.698610541245,2864.421270480497,5000.0,452.83257584351577,-2604.024187117482,-1714.1014724822026,-1185.7088380274563,-612.0935148559511,1500.0,1500.0,1500.0,1500.0,1500.0
4,-2116.580116415316,-3860.010795048128,-530.2084436074538,-1372.7736879730041,-3919.0556091720555,-1898.2692492401648,1748.3212371126529,3610.5965589525385,3493.6413856595336,4407.032676766705,5000.0,-1296.468394839796,790.936690528737,-3383.700079976654,-2626.377633870091,-1633.4515012935371,-1144.8593975425938,-585.1985985994806,1500.0,1500.0,1500.0,1500.0,1500.0
5,-2247.982734050429,-4668.03372180173,-396.8657982928869,-663.1648513207128,-5000.0,-2941.8082807990722,751.9546172546816,-4296.856816214552,-1862.464889178098,-897.3472189829572,-288.1656657685953,-5000.0,-4346.355510255392,-3563.861941728018,-2734.3677698033525,-1747.129880758922,-1209.8433724367596,-580.5209648970058,1500.0,1500.0,1500.0,1500.0,1500.0
6,-2354.720712807374,84.9791536887235,1154.7408748978307,-365.46635824416853,2156.224329516637,-3103.532758342676,482.67115088325227,-5000.0,-2633.3087661470936,-1777.1204039001486,-1255.1566579242763,-5000.0,-3970.307008049951,-3183.4078501960394,-2350.8872812636037,-1463.805260792944,-1038.1213142962133,-533.8884500240774,1500.0,1500.0,1500.0,1500.0,1500.0
7,-2365.1581748992367,-2700.150588137378,-941.9125462969653,-1159.8094574318961,2148.7955228052106,4140.212749810922,5000.0,-1248.5138465194332,1268.3542462000587,2176.8591683521972,2685.7476979728053,-5000.0,-4052.7513362015497,-3284.992982988705,-2528.366307322044,-1625.4400177743591,-1136.8574162071109,-545.5736040698557,1500.0,1500.0,1500.0,1500.0,1500.0
8,-2280.64102265605,-4309.823471016963,-2167.6986059019428,-2055.8421274389666,-2652.04922953822,-537.1290436720528,3021.1052776134475,5000.0,5000.0,1452.5216114162595,1876.879452183346,2262.784936739872,-3979.2485060598374,-3216.3899293018094,-2483.627149396976,-1578.4521636887303,-1146.341108651408,-642.108244379272,1500.0,1500.0,1500.0,1500.0,1500.0
9,-2174.419514241503,-4503.984572349934,-3482.8091887614646,-1681.3798158677598,2188.4390380837804,4237.388814220918,5000.0,586.9947426611297,-2424.376268953241,-1518.6089151167885,-1069.7761593990012,-715.3312154150294,1477.6216765349077,-3409.318342075793,-2609.570944568428,-1726.532977688802,-1296.3616174014242,-654.4833774231984,1500.0,1500.0,1500.0,1500.0,1500.0
10,-2110.4281453911767,-728.6682381357501,508.9647469495993,934.3386658532372,-1824.827300926759,178.3098757651428,3712.065775644445,-340.65692977824483,-2980.1150464268326,-2099.4687555926334,-1664.378339186946,-1211.8682657428712,825.480377241624,1610.572728810786,2391.7426698177765,-1609.7220957516456,-1179.0062230963358,-568.9667732670014,1500.0,1500.0,1500.0,1500.0,1500.0
11,-2202.188851299778,-1501.0694773117084,474.45541820607264,215.58863184475217,2270.2556465976777,1506.1618393529452,5000.0,410.87855616983416,-2709.147007410792,-1798.2651572885015,-1354.6220649769612,-5000.0,-4133.473965042513,-3345.2206373144327,-2516.100301337706,-1659.5333728732749,-1226.669043644044,-579.7292770851891,1500.0,1500.0,1500.0,1500.0,1500.0
12,-2330.3946101502243,-1074.59367782863,-1160.8363310166014,-556.1242127956408,-5000.0,-2833.5764606473194,-5000.0,-5000.0,-5000.0,-4285.228267870987,-3817.056062318181,-5000.0,-3983.5158496479617,-3266.499143175015,-2361.60820734586,-1531.2945970232386,-1121.2202646525284,-527.1842588531154,1500.0,1500.0,1500.0,1500.0,1500.0
13,-2429.6439233141223,481.7397781105469,1004.7082674147248,-1376.1531839330094,2189.344821360861,4326.096530210777,3024.759815629206,5000.0,4127.381298876051,5000.0,-4086.610081085969,-5000.0,-4226.873941763697,-3500.154968958648,-2669.923183144547,-1760.7375435316771,-1336.8745001927728,-624.581001973148,1500.0,1500.0,1500.0,1500.0,1500.0
14,-2430.568215396138,-2760.528028097217,-2165.0049021117647,-2157.9659676495403,2200.5591454490022,4278.554383093487,5000.0,1669.015352589333,4205.246094331796,5000.0,-4128.254459409154,-3636.1120735032673,-4231.804473523674,-3553.3758015998656,-2693.214708859795,-1793.441288310687,-1302.4959202050359,-591.4308302242316,1500.0,1500.0,1500.0,1500.0,1500.0
15,-2338.01081740013,-3055.151795752356,-2130.0001089683274,-1314.0978032851917,2277.4171192557696,1565.863849857872,5000.0,-935.5580798532492,1616.5475038862805,-5000.0,-4470.827279797942,-3877.7827830570086,-4257.707869893484,-3497.281530675934,-2623.953283785934,-1806.3636248931725,-1344.4445192665617,-646.3022850716989,1500.0,1500.0,1500.0,1500.0,1500.0
16,-2227.3076529599675,-2668.2524417715013,-1552.6607954034369,-2646.9827939656807,2204.7496743331603,4281.397619655826,3382.742336104332,-1437.1495536945467,1090.1102032218814,1921.4314402265745,2367.42741812445,-5000.0,-4205.331794750377,-3436.7327022966847,-2517.0234162648485,-1625.4428772195424,-1167.0500205320122,-495.4728932912931,1500.0,1500.0,1500.0,1500.0,1500.0
17,-2186.8957431393515,-3090.1509680540694,-3840.9123684515666,-2043.3652712104583,2234.7030350520727,1463.5938302452878,5000.0,520.3012361930387,3019.6795675116837,3884.1847408993926,1926.8631359214296,-5000.0,-3939.0080502616875,-3195.4047971980735,-2425.020199363372,-1621.031680243589,-1224.9554085091913,-509.92522002758506,1500.0,1500.0,1500.0,1500.0,1500.0
18,-2093.5960838894634,-2292.35039636689,-3536.8236303200347,-2400.20202596292,2262.3977672081155,-2056.4461252424753,1369.652365134545,1746.115079964953,4220.078008838481,5000.0,1363.5855836744167,1922.455913759375,-4070.809557227366,-3259.8803733898285,-2403.5873175892066,-1566.6054800689717,-1186.7551109129327,-529.3622115713997,1500.0,1500.0,1500.0,1500.0,1500.0
19,-2373.3418348203113,-3674.2846579381126,-2201.1797457456114,-1736.102669217154,2252.3435143866354,-3058.576658562495,442.7230013986036,2484.3630094691443,5000.0,3482.0198968144223,-5000.0,-4530.089905086792,-4259.511184839171,-3512.403510446714,-2612.9427074772602,-1758.5900493206063,-1279.635817490419,-538.8559003032624,1500.0,1500.0,1500.0,1500.0,1500.0
20,-2462.7482669772216,-4534.136093818081,-4024.679332199096,-2361.705952262575,2231.2117310229787,4351.392630595903,5000.0,-2088.4786030799596,363.69694950105713,-5000.0,-4575.642159232913,-3999.417947703503,-4304.533592847781,-3502.49614892139,-2553.0087762871653,-1751.8379539884,-1268.707444212826,-484.5212683678383,1500.0,1500.0,1500.0,1500.0,1500.0
