hour,Bus1,Bus2,Bus3,Bus4,Bus5,Bus6,Bus7,Bus8,Bus9,Bus10,Bus11,Bus12,Bus13,Bus14,Bus15,Bus16,Bus17,Bus18,Bus19,Bus20
0,0.0,0.0,0.0,0.0,0.0,385.43484451627774,6621.4723872106215,7218.272641730422,7294.584503796684,6258.114864340785,0.0,7948.858986224262,5196.771348303778,6944.244260042587,7441.208009234511,8369.17284613098,5982.103722333136,6289.990144829724,5858.178454549648,6660.482244320388
1,0.0,0.0,0.0,0.0,0.0,6843.018858744912,0.0,0.0,4085.567002604719,5615.352153344191,7632.207899196009,7132.442179874489,7554.883882320274,1996.8500709976615,6676.931364144686,7509.586158448013,5367.6897511324505,5643.953565880084,5256.492683902675,5976.392911237332
2,0.0,0.0,0.0,0.0,0.0,5812.799883936054,5046.911326808524,568.0394394778186,0.0,0.0,6483.176227686058,6058.650418940857,6417.493369637765,6319.966666744185,5671.716921976704,6379.0152345481965,4559.5821093660015,4794.254306454657,4465.125800998349,0.0
3,0.0,0.0,0.0,0.0,0.0,3548.120265570947,0.0,5132.972740210894,5187.238729760293,0.0,6048.565679961577,5652.498667920686,5987.285982017212,5896.297144557759,0.0,2122.1987368942655,4253.92290647656,4472.863460844034,4165.798634517294,4736.323424403015
4,0.0,0.0,0.0,0.0,0.0,0.0,5272.459256979907,5747.671542481325,5808.436151927674,2417.788505672843,6772.911252615769,6329.413262418083,0.0,6602.40780908494,920.375353723226,6664.09527450085,4763.351155545043,5008.510921147328,4664.673567375864,5303.52151476854
5,0.0,0.0,0.0,0.0,0.0,154.25813463389932,6396.100661067901,6972.587925416008,0.0,6045.110555495506,8216.321839350541,7678.307669865891,3018.831490515169,6597.000769054698,7187.935353915822,8084.31551827102,5778.4938659406125,6075.900913090414,5658.786580182847,6433.782759286701
6,0.0,0.0,0.0,0.0,0.0,8417.975221032917,0.0,7967.5840770435,667.7716430341898,6907.754641625389,9388.800221571722,8774.010824024766,5113.130289470842,8060.348448602248,8213.661826180669,9237.95644976808,6603.091450125387,6942.938817934651,6466.301799838867,7351.8908067396305
7,0.0,0.0,0.0,0.0,0.0,8520.771720454564,7398.083568635195,5338.091476630279,0.0,6992.109011575124,9503.451996043008,8881.15506891917,1244.5400441567735,8037.189749626158,8313.963342993755,9350.766188441705,6683.725411215926,7027.72284110439,6545.265347696134,7441.668766310564
8,0.0,0.0,0.0,0.0,0.0,2939.981735934295,6675.366066311437,7277.023814682077,7353.9567964578655,3876.3095816063587,4089.573080870814,8013.556568630351,8488.18508914608,0.0,7501.773704161626,8437.291459232778,6030.79343354932,6341.185814099222,5905.859509650721,6714.693433575728
9,0.0,0.0,0.0,0.0,0.0,6642.224383236041,5767.0517038784255,3523.128601988392,0.0,0.0,7408.256275836782,6923.155165448824,7333.201175024747,7221.7584525999555,915.6416979491419,7289.232620762336,5210.185808717382,5478.343223507716,5102.251593344868,5801.027812175346
10,0.0,0.0,0.0,0.0,0.0,2249.1144441698366,5436.999513170371,5927.041984623012,0.0,0.0,6984.276859886296,6526.938407511406,6913.517212231057,6808.452430661214,6110.097869131322,6872.0650074660525,0.0,5164.814010451875,4810.246353510687,5469.0311462742575
11,0.0,0.0,0.0,0.0,0.0,6915.7190906396645,3174.89580882288,6545.703908727492,0.0,0.0,7713.292475403399,7208.217245113444,3560.6014168407582,6285.005861199761,6747.867082507984,7589.36800128995,5424.716086687222,5703.914928184141,5312.337661822681,6039.88610912409
12,0.0,0.0,0.0,0.0,0.0,1024.1253335801002,7100.815664778412,2028.9303416293715,5932.373442143455,4257.21782841409,9121.586715925816,8524.294764940245,7372.113325869674,7879.4714063613155,7979.893792037083,8975.03609043664,6415.1616643328925,6745.3366773797015,6282.265167711007,7142.649533176145
13,0.0,0.0,0.0,0.0,0.0,9155.879100131002,7949.509850673009,3870.515621812182,8757.62488740465,4127.0560705201315,10211.80479472187,0.0,8694.559341274295,8628.500857185576,8933.655977267617,10047.738341521686,7181.906030490599,7551.5437795284915,7033.125656672997,7996.3437306974
14,0.0,0.0,0.0,0.0,0.0,9164.982270004875,7957.413596211075,5862.416888736535,3495.9379730677,7520.745446940419,10221.957811461014,0.0,10118.39631932717,7254.363219170803,8942.538203328757,10057.72823631724,7189.046591205608,7559.051850035241,7040.118293523793,8004.294040498826
15,0.0,0.0,0.0,0.0,0.0,8253.40276669024,4376.932110970512,7811.816825143725,0.0,6772.707185970153,1863.845839585917,8602.477829709085,9111.98709567812,6555.62684437211,8053.083723919463,9057.353261218594,6474.000197459174,6807.20350729087,6339.88480171549,7208.16043425036
16,0.0,0.0,0.0,0.0,0.0,7163.109199231977,6219.305270198065,2361.8742583755056,0.0,5878.016924525076,7989.213495052249,7466.070640205675,0.0,6650.027959180622,6989.252764666127,7860.855976636919,5618.769819087143,5907.956202126959,5502.3713768728085,6255.945792988896
17,0.0,0.0,0.0,0.0,0.0,6765.100293624435,2909.885682691777,6403.1437446391565,0.0,5551.412510407855,7545.30317184069,4573.330989362294,0.0,6369.69033659593,6600.903967166639,7424.077673056789,5306.570135352691,5579.688250740994,5196.639222155661,5908.3422497014935
18,0.0,0.0,0.0,0.0,0.0,7395.958258034833,0.0,7000.2485994448,5447.041183219106,6069.09187123253,8248.916480328175,3450.1352019567757,8165.344417622885,0.0,7216.450324094965,8116.386482264415,5801.417497297132,6100.004376020673,5681.235325565086,6459.305960941569
19,0.0,0.0,0.0,0.0,0.0,8601.370968139452,58.90459628738972,8141.167509647644,8227.236252529823,7058.248411215515,7248.8410282081895,0.0,9496.153705613606,7585.893785637781,8392.606359460964,9439.216477311253,6746.947764489773,7094.199117258014,6607.177986624823,7512.060618570253
20,0.0,0.0,0.0,0.0,0.0,9481.91723222355,8232.589532527662,6083.032661125659,0.0,7780.820928142746,4358.870281036468,9882.95192651186,10468.301366680613,7934.905063783924,9251.78081003699,10405.535315989986,7437.651568569172,7820.452007931961,7283.57316988241,8281.091153092835
21,0.0,0.0,0.0,0.0,0.0,2286.230919033922,8142.208278661955,8876.07405486671,8969.912258628787,7695.399403261479,0.0,9774.452215274783,8926.470836449276,9116.628249033427,9150.210393244315,10291.298437631456,7355.997518901385,7734.595394349957,7203.6106656040665,8190.177425542648
22,0.0,0.0,0.0,0.0,0.0,8371.269382406519,7268.279505473792,0.0,7018.759394361447,6869.428029216695,0.0,8107.632416852458,8694.24333262238,8115.658789834676,8168.089588948739,9186.701071621736,6566.455214497805,6904.416991544239,6430.424520511854,7311.099973243169
23,0.0,0.0,0.0,0.0,0.0,0.0,6272.017702807281,6048.173490821069,6909.605668794456,5927.836728755396,8056.926987100401,0.0,4379.525812558335,7854.099319006191,5844.293009680909,7927.481559868023,5666.392344846503,5958.029760126292,5549.007354332241,6308.968776536595
