Bus1->Bus2,Bus2->Bus3,Bus3->Bus4,Bus4->Bus5,Bus6->Bus7,Bus7->Bus8,Bus8->Bus9,Bus9->Bus10,Bus10->Bus11,Bus11->Bus12,Bus12->Bus13,Bus13->Bus14,Bus14->Bus15,Bus15->Bus16,Bus16->Bus17,Bus17->Bus18,Bus18->Bus19,Bus19->Bus20,Bus1->Bus6,Bus2->Bus7,Bus3->Bus8,Bus4->Bus9,Bus5->Bus10
-1974.3385043596709,-4426.8082250604,-3845.811804202525,-842.6231511526727,2240.8719065878395,-2465.115410771479,1120.0949028841696,3145.062683707326,3223.781070341952,4175.889728393532,4646.039913360413,5000.0,-1077.9573786292358,-3269.027630352007,-2514.5945979139715,-1625.5363267320326,-1064.5574124664754,-560.3245481943386,1500.0,1500.0,1500.0,1500.0,1500.0
-1894.807219447134,-4249.45003330916,-1199.878611016682,424.24948423924457,2130.7258342521054,4178.929987571514,5000.0,5000.0,1717.1144332676631,2711.053167889496,3192.172130502774,3566.7485796941764,-1829.9852440116338,-3328.193591447427,-2497.289273791491,-1668.9347567278155,-1059.7911414363498,-555.5582771642139,1500.0,1500.0,1500.0,1500.0,1500.0
-1910.7808767749862,-4136.756904573795,-3942.2652476082485,-935.1681246560813,2182.1576743274936,4159.564049528785,2366.7486528167556,1208.8286400857642,3627.840255555502,4533.2065459756805,5000.0,5000.0,887.6296486581377,1489.8272907126802,2255.594964717462,3168.592985562347,-1128.387894503403,-582.3319636119604,1500.0,1500.0,1500.0,1500.0,1500.0
-2050.638446599466,-4227.947458726376,67.84710417187239,1231.9572853645946,2137.5111178572533,4166.701047141693,2628.472911051159,-660.0966578856269,1686.4447533635675,2589.0897047825783,521.56332207796,-5000.0,-4120.69246033936,-3376.355980248305,-2604.024187117482,-1714.1014724822026,-1185.7088380274563,-612.0935148559511,1500.0,1500.0,1500.0,1500.0,1500.0
-2116.580116415316,-3860.010795048128,-530.2084436074538,-1372.7736879730041,352.7539531765219,-2898.918943871495,-5000.0,-4061.442067010431,-1613.056055445776,-699.664764338605,-106.69744110530883,301.12717265633637,-4213.87555106007,-3383.700079976654,-2626.377633870091,-1633.4515012935371,-1144.8593975425938,-585.1985985994806,1500.0,1500.0,1500.0,1500.0,1500.0
-2247.982734050429,-4668.03372180173,-396.8657982928869,-663.1648513207128,-3779.3666918386743,-1721.1749726377475,-5000.0,-3002.509034463921,-568.1171074274671,-5000.0,-4390.818446785638,-3988.4042695311664,-1922.2790347977652,-3563.861941728018,-2734.3677698033525,-1747.129880758922,-1209.8433724367596,-580.5209648970058,1500.0,1500.0,1500.0,1500.0,1500.0
-2354.720712807374,84.9791536887235,1154.7408748978307,-365.46635824416853,2156.224329516637,4205.298672313177,1150.442793917442,-5000.0,-2633.3087661470936,-5000.0,-5000.0,-5000.0,-3970.307008049951,-3183.4078501960394,-2350.8872812636037,-1463.805260792944,-1038.1213142962133,-533.8884500240774,1500.0,1500.0,1500.0,1500.0,1500.0
-2365.1581748992367,-2700.150588137378,-941.9125462969653,-1159.8094574318961,2148.7955228052106,4140.212749810922,-327.00200694417254,1574.6269851283696,4091.4950778478615,5000.0,-3372.266539298561,-5000.0,-4052.7513362015497,-3284.992982988705,-2528.366307322044,-1625.4400177743591,-1136.8574162071109,-545.5736040698557,1500.0,1500.0,1500.0,1500.0,1500.0
-2280.64102265605,-4309.823471016963,-2167.6986059019428,-2055.8421274389666,-5000.0,-2969.870555473336,588.3637658121643,2567.258488198717,5000.0,4575.642159232913,5000.0,-3102.279604589554,-3979.2485060598374,-3216.3899293018094,-2483.627149396976,-1578.4521636887303,-1146.341108651408,-642.108244379272,1500.0,1500.0,1500.0,1500.0,1500.0
-2174.419514241503,-4503.984572349934,-3482.8091887614646,-1681.3798158677598,-4453.785345152261,-2404.835569015123,-2877.022737981034,-936.7211276569551,1502.4889220003297,-5000.0,-5000.0,-4645.555056016028,-4087.747013999602,-3409.318342075793,-2609.570944568428,-1726.532977688802,-1296.3616174014242,-654.4833774231984,1500.0,1500.0,1500.0,1500.0,1500.0
