S00,S01,S02
553.5898384862245,461.3248654051871,600.0
207.179676972449,288.6751345948129,600.0
-0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,-0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,-0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,-0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,-0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,-0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,-0.0,600.0
0.0,0.0,600.0
0.0,-0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,-0.0,600.0
0.0,-0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
-0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,-0.0,600.0
0.0,-0.0,600.0
0.0,-0.0,600.0
143.79374052668322,100.480947161671,600.0
403.6013616620148,316.98729810778065,600.0
663.4089827973464,533.4936490538903,600.0
900.0,750.0,600.0
