hour,demand_mw,wind_mw,gas_mw,nuclear_mw,storage_discharge_mw,storage_charge_mw,curtailment_mw,unserved_mw,mean_line_utilization,max_line_utilization
0,113235.03081712821,13768.784977587062,8047.356581977324,2400.0,550.0,0.0,16013.028224131618,88468.88925756382,0.6279863930009568,1.0
1,101604.81038085517,13416.566264212022,8047.356581977324,2400.0,449.5190528383289,0.0,11670.353687549796,77291.36848182749,0.6191728849197294,1.0
2,86308.16927158141,12854.658119622918,8047.356581977324,2400.0,429.4228634059947,0.0,12600.253076267427,62576.73170657517,0.6392667975623398,1.0
3,80522.35697790461,12870.914022792746,8047.356581977324,2400.0,0.0,0.0,13162.760074379334,57204.08637313453,0.5702717066268949,1.0
4,90165.30637495837,13442.334224739654,8047.356581977324,2400.0,0.0,0.0,9779.890579284613,66275.6155682414,0.5347886626347027,1.0
5,109380.90701161747,14635.816393553121,8047.356581977324,2400.0,0.0,0.0,11372.057582038773,84297.73403608703,0.6276907877614972,1.0
6,124989.68566055656,14429.112561586373,8047.356581977324,2400.0,0.0,0.0,8328.066859903569,100113.21651699286,0.6230052071839589,1.0
7,126516.00307208969,14790.141956309628,8047.356581977324,2400.0,0.0,0.0,10985.253513606833,101278.50453380274,0.6173514027231669,1.0
8,114156.67664708235,14063.769977196358,8047.356581977324,2400.0,0.0,0.0,14120.145258896266,89645.55008790868,0.6753355382765098,1.0
9,98623.42379830468,13560.608701857389,8047.356581977324,2400.0,0.0,0.0,14972.802119365108,74615.45851446997,0.6734523141060839,1.0
10,92979.1398988091,13259.188077744408,8047.356581977324,2400.0,0.0,0.0,6831.908560162132,69272.59523908739,0.49213599048548795,1.0
11,102684.2598795031,14015.377621162314,8047.356581977324,2400.0,0.0,0.0,8403.768504269714,78221.52567636345,0.5753217876655109,1.0
12,121432.36935956641,14203.741028873132,8047.356581977324,2400.0,0.0,0.0,7526.106867680161,96781.27174871594,0.5988742168096653,1.0
13,135946.04648064196,15358.925858763118,8047.356581977324,2400.0,0.0,0.0,8056.887751190357,110139.7640399015,0.6484745268887725,1.0
14,136081.209903101,15244.862581294627,8047.356581977324,2400.0,0.0,0.0,7645.646329788007,110388.99073982905,0.6535143057748161,1.0
15,122546.12188226433,14810.282876313182,8047.356581977324,2400.0,0.0,0.0,9951.864712270513,97288.48242397381,0.6577703356908617,1.0
16,106357.49615029007,14047.369889164731,8047.356581977324,2400.0,0.0,0.0,5744.365975354502,81862.76967914801,0.6153040887219053,1.0
17,100447.87932489335,13866.434515579618,8047.356581977324,2400.0,0.0,0.0,9537.618891200622,76134.08822733641,0.6035123891896562,1.0
18,109814.82762275719,14215.93506275692,8047.356581977324,2400.0,0.0,0.0,5268.293686955823,85151.53597802295,0.6030251745824602,1.0
19,127712.73677207026,15055.355609098475,8047.356581977324,2400.0,0.0,0.0,6334.594503632794,102210.02458099448,0.6543209387195679,1.0
20,140787.0447698484,15636.215170335243,8047.356581977324,2400.0,0.0,0.0,6740.103453570562,114703.47301753584,0.6860220676361284,1.0
21,139241.418137539,15080.79550507752,8047.356581977324,2400.0,0.0,0.0,4808.487694710049,113713.26605048416,0.736119604931,1.0
