Bus1->Bus2,Bus2->Bus3,Bus3->Bus4,Bus4->Bus5,Bus6->Bus7,Bus7->Bus8,Bus8->Bus9,Bus9->Bus10,Bus10->Bus11,Bus11->Bus12,Bus12->Bus13,Bus13->Bus14,Bus14->Bus15,Bus15->Bus16,Bus16->Bus17,Bus17->Bus18,Bus18->Bus19,Bus19->Bus20,Bus1->Bus6,Bus2->Bus7,Bus3->Bus8,Bus4->Bus9,Bus5->Bus10
-2090.4892800136217,-4685.82945881946,-3547.3428272279157,-716.6805841533,2240.8719065878395,1414.7896863443511,5000.0,-1363.8043985430304,-5000.0,-4047.8913419484206,-5000.0,-5000.0,-4133.713118586647,-3269.027630352006,-2514.5945979139706,-1625.5363267320317,-1064.5574124664745,-560.3245481943377,1500.0,1500.0,1500.0,1500.0,1500.0
-1999.0283023642041,-4481.867538305534,-932.0649884015345,537.2566565472139,2130.7258342521054,1222.803219205848,4930.8508881041835,-605.2157769913047,1727.2508096205493,2721.189544242383,-5000.0,-4625.423550808598,-4217.783019669783,-3328.193591447429,-2497.2892737914917,-1668.9347567278164,-1059.7911414363507,-555.5582771642139,1500.0,1500.0,1500.0,1500.0,1500.0
-1999.3114378021332,-4334.183869770763,-3714.7710631571267,-839.1742231872512,2182.1576743274927,4159.564049528784,1541.4794417141184,780.7123854739639,3199.724000943702,4105.09029136388,4571.8837453882,5000.0,-60.36535135348913,-3304.427015741977,-2538.659341737195,-1625.66132089231,-1128.387894503403,-582.3319636119604,1500.0,1500.0,1500.0,1500.0,1500.0
-2133.234213589386,-4412.139577535332,280.0908359689063,1321.516075303151,2137.5111178572533,4166.701047141693,5000.0,1227.6274490524556,3574.168860301651,4476.813811720662,5000.0,-171.04169997419285,1964.5370295453095,-3376.355980248305,-2604.024187117482,-1714.1014724822026,-1185.7088380274563,-612.0935148559511,1500.0,1500.0,1500.0,1500.0,1500.0
-2209.067133877613,-3534.860512159321,-292.54747810820413,-1272.489791221245,-3990.9107899187593,-1970.1244299868686,-4933.356217487573,-3071.0808956476885,-622.6948840830337,290.69640702413653,883.6637302574327,1291.4883440190779,-4213.875551060069,-3383.700079976652,-2626.377633870089,-1633.4515012935362,-1144.859397542593,-585.1985985994797,1500.0,1500.0,1500.0,1500.0,1500.0
-2360.1801441579933,-4291.413318510072,-108.55565980724384,-541.5089281461059,-2733.4785030262747,-675.2867838253469,-5000.0,-3002.509034463921,-5000.0,-4034.882329804859,-5000.0,-5000.0,-4346.355510255393,-3563.861941728019,-2734.3677698033534,-1747.1298807589228,-1209.8433724367605,-580.5209648970058,1500.0,1500.0,1500.0,1500.0,1500.0
-2482.92881972848,535.7116281252557,1484.193194928827,-226.4499977862697,-3277.0628047469436,-1227.9884619504046,2358.2154472755246,-5000.0,-5000.0,-5000.0,-5000.0,-5000.0,-3970.307008049951,-3183.4078501960394,-2350.8872812636037,-1463.805260792943,-1038.1213142962124,-533.8884500240765,1500.0,1500.0,1500.0,1500.0,1500.0
-2494.931901134122,-2243.9139729388294,-608.4371038004967,-1019.0954921649804,-2479.6225965129524,-488.2053695072409,3098.371007927457,5000.0,-524.0572705919012,-5000.0,-5000.0,-5000.0,-4052.7513362015497,-3284.992982988705,-2528.366307322044,-1625.4400177743591,-1136.8574162071109,-545.5736040698557,1500.0,1500.0,1500.0,1500.0,1500.0
-2397.737176054458,-3898.156531727843,-1866.8003216183301,-1928.8744850644998,561.750790391985,-5000.0,-1441.7656787144997,537.1290436720528,-4285.538201945452,-5000.0,-5000.0,-5000.0,-3979.2485060598374,-3216.3899293018094,-2483.627149396976,-1578.4521636887293,-1146.341108651407,-642.1082443792711,1500.0,1500.0,1500.0,1500.0,1500.0
-2275.5824413777286,-4729.582258202425,-3222.854012396018,-1571.6886092703512,2188.4390380837804,4237.388814220919,533.8450791684936,1655.0225965062637,4094.2326461635475,5000.0,5000.0,2024.3223145404072,-4087.747013999603,-3409.318342075794,-2609.570944568428,-1726.532977688802,-1296.3616174014242,-654.4833774231984,1500.0,1500.0,1500.0,1500.0,1500.0
-1657.8174610254296,-393.3708287848276,754.0425163052187,1037.7521720071873,-5000.0,-5000.0,-1466.244100120699,470.7360998900431,-2939.5181210322353,-2058.871830198036,-1623.7814137923488,-1171.271340348273,-4086.5230449702394,-3301.4306934010774,-2520.260752394087,-1609.7220957516456,-1179.0062230963358,-568.9667732670014,1500.0,1500.0,1500.0,1500.0,1500.0
-2307.5171789947444,-1130.7738781462958,745.1142927298589,329.79639234371564,-3031.8000783899406,-966.278665610439,-5000.0,-2974.2160961155123,-419.2320054527463,491.6498446695441,-5000.0,-4570.8323836862155,-4133.473965042512,-3345.2206373144318,-2516.100301337706,-1659.5333728732749,-1226.669043644044,-579.7292770851891,1500.0,1500.0,1500.0,1500.0,1500.0
-2454.9538016727574,-636.6894457404559,-840.7605135526096,-421.06438013079696,2154.2669145310647,4320.690453883745,5000.0,-2105.7718243368818,-5000.0,-5000.0,-5000.0,-5000.0,-3983.5158496479626,-3266.499143175016,-2361.608207345861,-1531.2945970232395,-1121.2202646525293,-527.1842588531163,1500.0,1500.0,1500.0,1500.0,1500.0
-1933.6146568405834,971.9826137193446,1363.0397583324825,-1224.9509107174113,-5000.0,-5000.0,-5000.0,-3024.759815629206,-5000.0,-5000.0,-5000.0,-5000.0,-4226.873941763694,-3500.1549689586473,-2669.923183144546,-1760.7375435316762,-1336.8745001927718,-624.5810019731471,1500.0,1500.0,1500.0,1500.0,1500.0
-2570.153447705559,-2269.7977719181827,-1806.3171425717026,-2006.613362612896,2200.5591454490004,1442.16481689578,-5000.0,-5000.0,-5000.0,-5000.0,-5000.0,-5000.0,-4231.80447352367,-3553.375801599862,-2693.214708859793,-1793.441288310686,-1302.495920205035,-591.4308302242316,1500.0,1500.0,1500.0,1500.0,1500.0
-2463.7124400101493,-2613.231196811089,-1806.9886224480929,-1177.7992298287538,-5000.0,-2922.542506085898,511.5936440562309,2470.4392238479268,-2766.068456278219,-5000.0,-5000.0,-5000.0,-4257.707869893483,-3497.281530675932,-2623.9532837859324,-1806.3636248931716,-1344.4445192665617,-646.3022850716989,1500.0,1500.0,1500.0,1500.0,1500.0
-2336.4038009039623,-2284.710574605878,-1272.3198722767017,-2528.689576856693,-595.9761838420054,1480.6717614806612,5000.0,-847.6220953041093,-5000.0,-5000.0,-5000.0,-5000.0,-4205.3317947503765,-3436.732702296684,-2517.0234162648485,-1625.4428772195424,-1167.0500205320122,-495.4728932912931,1500.0,1500.0,1500.0,1500.0,1500.0
-2289.930104610254,-2727.9201090776874,-3576.1482264274628,-1931.6448638371357,-5000.0,-2807.2572772904023,-875.5982521820479,1115.541015979562,3614.919347298206,4479.424520685916,5000.0,5000.0,-1412.0016797606722,-3195.4047971980744,-2425.0201993633727,-1621.031680243589,-1224.9554085091913,-509.92522002758506,1500.0,1500.0,1500.0,1500.0,1500.0
-1559.0314026293893,-1896.3408478778288,-3247.36974824232,-2278.0634864526564,2262.3977672081146,4365.028250339117,-257.56195441342607,1746.1150799649522,4220.078008838481,5000.0,-3242.86481474246,-5000.0,-4070.809557227367,-3259.8803733898294,-2403.5873175892066,-1566.6054800689717,-1186.7551109129336,-529.3622115713997,1500.0,1500.0,1500.0,1500.0,1500.0
-2504.343110043358,-3213.732432703559,-1864.54990941389,-1594.0576696130497,1490.0342405401389,-5000.0,-1498.7003400389021,-5000.0,-5000.0,-5000.0,-5000.0,-5000.0,-4259.511184839171,-3512.403510446714,-2612.9427074772602,-1758.5900493206054,-1279.635817490418,-538.8559003032624,1500.0,1500.0,1500.0,1500.0,1500.0
-2607.1605070238047,-4026.435856615659,-3653.5877634459835,-2205.1194110604483,2231.2117310229787,-521.1788765936026,3018.997297669989,5000.0,-1495.7685147831398,-5000.0,-5000.0,-5000.0,-4304.533592847782,-3502.496148921391,-2553.0087762871663,-1751.8379539884008,-1268.7074442128269,-484.5212683678383,1500.0,1500.0,1500.0,1500.0,1500.0
-2595.0055763716655,-4413.061511668854,-5000.0,-1998.9265220939926,2273.0306770634616,-394.35333418571827,3031.745156191302,5000.0,-1496.9508745776466,-5000.0,-5000.0,-5000.0,-4133.323242608523,-3399.8340710956727,-2536.053969004677,-1720.2083655424394,-1198.0295133250547,-440.7153357165753,1500.0,1500.0,1500.0,1500.0,1500.0
-2477.475190603893,-5000.0,-4461.868782587299,-2676.4885416174616,-5000.0,-2963.4866158954337,596.2792283022554,-5000.0,-5000.0,-5000.0,-5000.0,-5000.0,-3958.811881520235,-3164.4233308904286,-2372.6538967146435,-1614.1483499601618,-1185.7150968915357,-518.0253597963583,1500.0,1500.0,1500.0,1500.0,1500.0
-2343.4928369094,-4881.025365978872,-5000.0,-4986.885971801822,-4985.82200218339,-2956.871608824914,541.4252042154976,2473.4607687573443,5000.0,-3466.8584634359213,-5000.0,-5000.0,-4156.387341854392,-3358.2673855509274,-2446.0700499693485,-1679.1879986166286,-1221.3043910604947,-500.3714918897922,1500.0,1500.0,1500.0,1500.0,1500.0
-2293.6016891622503,-4769.765957073817,-5000.0,-3131.774664978354,2292.8854438489243,1555.0288282772908,5000.0,5000.0,4235.012405043802,5000.0,-2624.14517788969,-5000.0,-3876.565104103727,-3047.267592139746,-2203.717270734278,-1443.5943334400754,-1045.0794913143882,-409.8468357664133,1500.0,1500.0,1500.0,1500.0,1500.0
-2363.4150894430404,-4925.452847426755,-5000.0,-5000.0,2256.136099741274,-3112.520831882952,369.39063178597553,2360.8483685339806,4288.877615351671,5000.0,-3244.904526044611,-5000.0,-4059.3000366052956,-3248.879948414412,-2440.3129537693285,-1712.0410763578047,-1239.8998791613485,-515.9602124072962,1500.0,1500.0,1500.0,1500.0,1500.0
-2496.5124716407963,-5000.0,-5000.0,-4409.328782700674,-2601.9383502562705,-560.3563203616613,2958.239113084501,5000.0,-573.4341593606932,-5000.0,-5000.0,-5000.0,-4179.620744706701,-3347.0093495844976,-2518.6548913463503,-1765.124710003517,-1212.3629378160313,-500.57617776426196,1500.0,1500.0,1500.0,1500.0,1500.0
-2587.41885492267,-5000.0,-5000.0,-3962.058649829427,2219.9846049372954,-301.6018129855165,3200.222565778804,-5000.0,-5000.0,-5000.0,-5000.0,-5000.0,-3964.3617328279506,-3074.3940731643397,-2233.546031182892,-1522.9108578399191,-1032.493570916633,-444.14826662673477,1500.0,1500.0,1500.0,1500.0,1500.0
