hour,demand_mw,wind_mw,gas_mw,nuclear_mw,storage_discharge_mw,storage_charge_mw,curtailment_mw,unserved_mw,mean_line_utilization,max_line_utilization
0,130220.28543969741,14536.630497907097,8047.356581977324,2400.0,449.5190528383289,0.0,15245.182703811583,104786.77930697465,0.6806561140685513,1.0
1,116845.53193798344,13914.905756461576,8047.356581977324,2400.0,550.0,0.0,11172.014195300242,91933.26959954454,0.6020976275572222,1.0
2,99254.3946623186,13363.325924368166,8047.356581977324,2400.0,429.4228634059947,0.0,12091.585271522179,75014.28929256712,0.6145033484391109,1.0
3,92600.71052459028,13345.482431583572,8047.356581977324,2400.0,0.0,0.0,12688.191665588507,68807.8715110294,0.6118057887888817,1.0
4,103690.10233120213,13973.734541129335,8047.356581977324,2400.0,0.0,0.0,9248.490262894931,79269.01120809547,0.5473951597924641,1.0
5,125788.04306336009,15280.466214308426,8047.356581977324,2400.0,0.0,0.0,10727.407761283468,100060.22026707433,0.6689556012314892,1.0
6,143738.13850964003,15165.754637966134,8047.356581977324,2400.0,0.0,0.0,7591.4247835238075,118125.02728969658,0.6446345001666481,1.0
7,145493.40353290318,15535.779571971725,8047.356581977324,2400.0,0.0,0.0,10239.615897944735,119510.2673789541,0.6185270989490574,1.0
8,131280.17814414468,14736.566383343792,8047.356581977324,2400.0,0.0,0.0,13447.348852748832,106096.25517882357,0.6518601680927578,1.0
9,113416.93736805038,14141.857972967373,8047.356581977324,2400.0,0.0,0.0,14391.552848255124,88827.72281310568,0.6549301920268451,1.0
10,106926.01088363047,13807.172067887981,8047.356581977324,2400.0,0.0,0.0,6283.924570018558,82671.48223376516,0.5377331779685626,1.0
11,118086.89886142858,14620.559928881541,8047.356581977324,2400.0,0.0,0.0,7798.586196550486,93018.9823505697,0.5689385862037928,1.0
12,139647.22476350135,14919.417624361791,8047.356581977324,2400.0,0.0,0.0,6810.430272191501,114280.45055716223,0.658482779604748,1.0
13,156337.95345273823,16160.140594410079,8047.356581977324,2400.0,0.0,0.0,7255.673015543396,129730.45627635081,0.7185868947374219,1.0
14,156493.39138856612,16046.873919186364,8047.356581977324,2400.0,0.0,0.0,6843.63499189627,129999.16088740248,0.7083597279119687,1.0
15,140928.0401646039,15532.523509198669,8047.356581977324,2400.0,0.0,0.0,9229.624079385027,114948.16007342795,0.6600732907213317,1.0
16,122311.12057283358,14674.200866366129,8047.356581977324,2400.0,0.0,0.0,5117.5349981531035,97189.56312449012,0.6503778049532588,1.0
17,115515.06122362734,14458.436439600648,8047.356581977324,2400.0,0.0,0.0,8945.616967179592,90609.26820204935,0.6417975887173144,1.0
18,126287.05176617076,14863.142247972217,8047.356581977324,2400.0,0.0,0.0,4621.086501740527,100976.55293622121,0.6355813166214648,1.0
19,146869.6472878808,15808.0463219259,8047.356581977324,2400.0,0.0,0.0,5581.903790805369,120614.24438397758,0.7054552771498289,1.0
20,161905.1014853257,16465.960924463176,8047.356581977324,2400.0,0.0,0.0,5910.357699442629,134991.78397888516,0.6836918708073132,1.0
21,160127.63085816987,15901.431918656948,8047.356581977324,2400.0,0.0,0.0,3987.851281130621,133778.84235753556,0.6924455491256137,1.0
22,142940.62959266006,15568.939783985803,8047.356581977324,2400.0,0.0,0.0,9624.025234805064,116924.33322669691,0.7477337067372147,1.0
23,123347.78245393588,14741.369921868984,8047.356581977324,2400.0,0.0,0.0,10504.755609052023,98159.05595008959,0.7391080946178152,1.0
24,116051.97368187681,13887.241452015705,8047.356581977324,2400.0,0.0,0.0,8874.87151090838,91717.37564788377,0.7211155199458501,1.0
25,126261.10378161402,14585.682792300458,8047.356581977324,2400.0,0.0,0.0,10922.495098895104,101228.06440733623,0.7055473053645717,1.0
26,145724.53752536792,15682.360072611404,8047.356581977324,2400.0,0.0,0.0,13068.90447595579,119594.8208707792,0.7141144174663127,1.0
27,159018.19017784574,15804.54265791533,8047.356581977324,2400.0,0.0,0.0,9822.477351805914,132766.2909379531,0.7351577480088016,1.0
28,155292.50299894306,16023.052150291474,8047.356581977324,2400.0,0.0,0.0,7085.798115509038,128822.09426667428,0.760888653664962,1.0
29,136537.87729467195,14829.788910788673,8047.356581977324,2400.0,0.0,0.0,10876.515848394884,111260.73180190596,0.7113841440807513,1.0
30,116073.88845687817,14424.575454637758,8047.356581977324,2400.0,0.0,0.0,12298.483517364777,91201.9564202631,0.6298842535681393,1.0
31,108412.62997346911,14028.659228352517,8047.356581977324,2400.0,0.0,0.0,13301.366446483647,83936.61416313927,0.6174330883979472,1.0
32,118214.64037165626,14226.328090810617,8047.356581977324,2400.0,0.0,0.0,14796.718947202495,93540.95569886832,0.626614296824248,1.0
33,136746.80875777107,15101.95967289907,8047.356581977324,2400.0,0.0,0.0,13026.354333325988,111197.49250289467,0.6854790088375879,1.0
34,148539.32371170397,15370.483035083638,8047.356581977324,2400.0,0.0,0.0,11321.097936381379,122721.48409464296,0.7607007741954459,1.0
35,143172.73905354927,15160.468557968878,8047.356581977324,2400.0,0.0,0.0,7625.95779311164,117564.91391360306,0.6925104812858017,1.0
36,123219.93657560975,14813.493441356266,8047.356581977324,2400.0,0.0,0.0,7125.577193347082,97959.08655227616,0.7395409374359849,1.0
37,102295.5892527833,13842.357333915628,8047.356581977324,2400.0,0.0,0.0,10997.144517377412,78005.87533689036,0.6735497678332131,1.0
38,94698.29865354167,13196.062838218986,8047.356581977324,2400.0,0.0,0.0,13657.247160911535,71054.87923334533,0.5493395468856764,1.0
39,104532.27591616519,13691.658092881027,8047.356581977324,2400.0,0.0,0.0,14010.266888490432,80393.26124130683,0.6566933942800433,1.0
40,122591.73167228593,14688.32825737864,8047.356581977324,2400.0,0.0,0.0,17362.879774354136,97456.04683292996,0.6990782566437157,1.0
41,133380.2799521578,14534.278569773312,8047.356581977324,2400.0,0.0,0.0,11334.66342786248,108398.6448004072,0.6741221425750262,1.0
42,126920.42646957118,14834.069726446107,8047.356581977324,2400.0,0.0,0.0,13061.720139223324,101639.00016114776,0.6553103962059271,1.0
43,106360.83553404752,14026.024359151155,8047.356581977324,2400.0,0.0,0.0,14036.16247730873,81887.45459291905,0.6173516901816026,1.0
44,85588.82049612532,12885.237179988879,8047.356581977324,2400.0,0.0,0.0,12676.480920472186,62256.22673415912,0.5226173482575291,1.0
45,78665.95299321557,13138.317866649126,8047.356581977324,2400.0,0.0,0.0,8316.434519429014,55080.278544589106,0.517712476708818,1.0
46,89130.91367912128,13510.607255802448,8047.356581977324,2400.0,0.0,0.0,11579.35476909291,65172.949841341506,0.5518243831526419,1.0
47,107314.79553772767,13705.154396042593,8047.356581977324,2400.0,0.0,0.0,13273.211771000433,83162.28455970775,0.6230238122957518,1.0
48,117713.04725044328,14396.651759250812,8047.356581977324,2400.0,0.0,0.0,10290.564431185101,92869.03890921516,0.5883256815099704,1.0
49,110800.68893469189,14360.20298121561,8047.356581977324,2400.0,0.0,0.0,11885.226111667718,85993.12937149894,0.5049033310023974,1.0
50,90294.13614592444,13369.675892568945,8047.356581977324,2400.0,0.0,0.0,10812.846080818816,66477.10367137817,0.4960772365621416,1.0
51,70330.11704172734,12678.71274731272,8047.356581977324,2400.0,0.0,0.0,9151.988269722735,47204.047712437285,0.5212549210761791,1.0
52,64709.726378805506,12205.97657256805,8047.356581977324,2400.0,0.0,0.0,12826.584058405677,42056.39322426014,0.6574777593379177,1.0
53,76397.60667390292,12816.759886451122,8047.356581977324,2400.0,0.0,0.0,10078.271458496221,53133.49020547446,0.6598454251627947,1.0
54,95271.98459860595,13758.044242256961,8047.356581977324,2400.0,0.0,0.0,9973.612176418595,71066.58377437167,0.5761190148007342,1.0
55,105838.73908192875,14417.160317042542,8047.356581977324,2400.0,0.0,0.0,12834.485041208425,80974.22218290888,0.6755584807635512,1.0
56,99035.64034161158,13935.459006328203,8047.356581977324,2400.0,0.0,0.0,11649.887973005034,74652.82475330606,0.617529784814849,1.0
57,79138.47104615632,13060.71079287693,8047.356581977324,2400.0,0.0,0.0,10310.178377701774,55630.403671302076,0.5882885948216743,1.0
58,60510.380805263514,12492.167029040527,8047.356581977324,2400.0,0.0,0.0,10466.187684611163,37570.85719424566,0.5428867219362242,1.0
59,56669.62564707908,11908.229812017558,8047.356581977324,2400.0,0.0,0.0,6487.447710973003,34314.03925308419,0.5071099292497564,1.0
60,69999.95835020929,12606.304411062481,8047.356581977324,2400.0,0.0,0.0,12526.901143536628,46946.29735716949,0.6850394591194603,1.0
61,89938.59752034856,13306.912086618891,8047.356581977324,2400.0,0.0,0.0,11112.542546563853,66184.32885175235,0.6692247420605719,1.0
62,101021.51599495011,14263.688520477801,8047.356581977324,2400.0,0.0,0.0,11502.823562199115,76310.47089249498,0.6269609479694644,1.0
63,94660.00841454856,13779.214503427262,8047.356581977324,2400.0,0.0,0.0,4717.48307546775,70433.437329144,0.5507177081945218,1.0
64,75681.34631739814,12779.247111293942,8047.356581977324,2400.0,0.0,0.0,8588.501719512456,52454.74262412686,0.651824179251158,1.0
65,58653.18121778058,11854.478287392878,8047.356581977324,2400.0,0.0,0.0,8766.902900832596,36351.34634841037,0.6544318072758234,1.0
66,56790.45195513039,11993.85212256657,8047.356581977324,2400.0,0.0,0.0,13268.777446335027,34349.2432505865,0.6394308821522593,1.0
67,71891.55560041887,12780.427193556776,8047.356581977324,2400.0,0.0,0.0,15866.422109652956,48663.771824884774,0.7133368652514921,1.0
68,92966.82012217026,13675.411102216764,8047.356581977324,2400.0,0.0,0.0,7534.525935221871,68844.05243797616,0.6517962519742403,1.0
69,104603.63060158322,14111.578399738459,8047.356581977324,2400.0,0.0,0.0,10951.783779414522,80044.69561986747,0.5936795381470559,1.0
