S00,S01,S02
553.5898384862245,577.3502691896258,600.0
207.179676972449,288.6751345948129,600.0
-0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,-0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,-0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,-0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,-0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,-0.0,600.0
0.0,-0.0,600.0
0.0,-0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,-0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,-0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,-0.0,600.0
0.0,-0.0,600.0
120.5771365940052,100.480947161671,600.0
380.3847577293368,316.98729810778065,600.0
640.1923788646684,533.4936490538903,600.0
900.0,750.0,600.0
