S00,S01,S02
553.5898384862245,461.3248654051871,600.0
207.179676972449,172.6497308103742,600.0
-0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
-0.0,-0.0,600.0
-0.0,-0.0,600.0
92.47196297639812,-0.0,600.0
352.2795841117297,-0.0,600.0
612.0872052470613,216.50635094610965,600.0
871.8948263823929,366.5974959553648,600.0
1131.7024475177245,583.1038469014745,600.0
785.2922860039489,521.0182207125174,600.0
1045.0999071392805,737.5245716586271,600.0
698.689745625505,448.8494370638142,600.0
554.2633961776031,288.6751345948129,600.0
346.4101615137755,288.6751345948129,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,-0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,-0.0,600.0
0.0,-0.0,600.0
0.0,-0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
5.418699939216111,-0.0,600.0
86.6025403784439,-0.0,600.0
346.4101615137755,86.90065387208946,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,-0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,-0.0,600.0
0.0,-0.0,600.0
0.0,-0.0,600.0
0.0,0.0,600.0
0.0,-0.0,600.0
0.0,0.0,600.0
0.0,-0.0,600.0
-0.0,-0.0,600.0
-0.0,-0.0,600.0
-0.0,28.036108103836398,600.0
259.8076211353316,244.54245904994605,600.0
0.0,0.0,600.0
86.6025403784439,72.16878364870325,600.0
346.4101615137755,288.6751345948129,600.0
0.0,0.0,600.0
259.8076211353316,171.15403830385483,600.0
276.86018195532205,171.15403830385483,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
-0.0,-0.0,600.0
-0.0,0.0,600.0
-0.0,-0.0,600.0
259.8076211353316,7.961140566298372,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,-0.0,600.0
0.0,-0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,-0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,-0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,-0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,-0.0,600.0
0.0,-0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,-0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,0.0,600.0
0.0,-0.0,600.0
0.0,-0.0,600.0
0.0,-0.0,600.0
259.8076211353316,216.50635094610965,600.0
519.6152422706632,316.98729810778065,600.0
640.1923788646684,533.4936490538903,600.0
900.0,750.0,600.0
