scenario,rank,hex_id,lat,lon,delivered_cost_usd_per_kg,production_cost_usd_per_kg,export_chain_cost_usd_per_kg
Base_low_rate,1,hex_015,-26.273135,22.266701,3.031884,1.280901,1.750983
Base_low_rate,2,hex_007,-19.567228,17.659869,3.113224,1.419329,1.693895
Base_low_rate,3,hex_028,-27.148526,12.957158,3.192764,1.480446,1.712318
Base_low_rate,4,hex_024,-19.659398,20.872315,3.275079,1.635397,1.639682
Base_low_rate,5,hex_026,-23.399348,17.424821,3.276181,1.557138,1.719043
Base_low_rate,6,hex_019,-21.420027,12.956535,3.290351,1.371141,1.91921
Base_low_rate,7,hex_029,-20.803413,12.603421,3.348975,1.297813,2.051161
Base_low_rate,8,hex_023,-18.282547,20.307912,3.37549,1.648319,1.727172
Base_low_rate,9,hex_014,-23.67903,22.651637,3.397189,1.663698,1.733491
Base_low_rate,10,hex_002,-18.696825,15.561555,3.423723,1.364127,2.059595
High_rate,1,hex_015,-26.273135,22.266701,3.474407,1.723423,1.750983
High_rate,2,hex_007,-19.567228,17.659869,3.638603,1.944708,1.693895
High_rate,3,hex_028,-27.148526,12.957158,3.691942,1.979624,1.712318
High_rate,4,hex_019,-21.420027,12.956535,3.789221,1.870011,1.91921
High_rate,5,hex_024,-19.659398,20.872315,3.81199,2.172308,1.639682
High_rate,6,hex_026,-23.399348,17.424821,3.818742,2.099699,1.719043
High_rate,7,hex_029,-20.803413,12.603421,3.837193,1.786032,2.051161
High_rate,8,hex_023,-18.282547,20.307912,3.883095,2.155923,1.727172
High_rate,9,hex_014,-23.67903,22.651637,3.949823,2.216332,1.733491
High_rate,10,hex_002,-18.696825,15.561555,3.958169,1.898574,2.059595
De_risked,1,hex_015,-26.273135,22.266701,2.621865,1.120881,1.500983
De_risked,2,hex_007,-19.567228,17.659869,2.673672,1.229777,1.443895
De_risked,3,hex_028,-27.148526,12.957158,2.762665,1.300347,1.462318
De_risked,4,hex_026,-23.399348,17.424821,2.83043,1.361388,1.469043
De_risked,5,hex_024,-19.659398,20.872315,2.831367,1.441685,1.389682
De_risked,6,hex_019,-21.420027,12.956535,2.860363,1.191153,1.66921
De_risked,7,hex_029,-20.803413,12.603421,2.92283,1.121669,1.801161
De_risked,8,hex_023,-18.282547,20.307912,2.942351,1.46518,1.477172
De_risked,9,hex_014,-23.67903,22.651637,2.947804,1.464313,1.483491
De_risked,10,hex_025,-26.664336,21.930206,2.975598,1.440693,1.534904
