hex_id,lat,lon,theo_pv,theo_wind,grid_dist_km,road_dist_km,ocean_dist_km,waterbody_dist_km,ADMIN,CONTINENT,pv_cf,wind_cf,pv_share,wind_share,pv_lcoe_eur_per_mwh,wind_lcoe_eur_per_mwh,avg_cf,electrolyzer_cf,oversizing_factor,electricity_cost_eur_per_kg,electrolyzer_cost_eur_per_kg,production_core_eur_per_kg,road_spur_eur_per_kg,inland_ammonia_transport_eur_per_kg,ammonia_synthesis_eur_per_kg,export_terminal_eur_per_kg,shipping_eur_per_kg,ammonia_cracking_eur_per_kg,eu_distribution_eur_per_kg,scenario,scenario_label,water_cost_eur_per_kg,buffer_storage_eur_per_kg,site_production_eur_per_kg,delivered_to_europe_eur_per_kg
hex_007,-19.567228336676557,17.65986896716307,0.8293347235199925,0.3329331291365369,40.40842627218149,79.4712935283363,51.56533394706672,41.50737207685166,Namibia,Africa,0.32928025023359864,0.29985592648915327,1.0,0.0,22.230923122104922,65.95632009276238,0.32928025023359864,0.41160031279199827,1.25,1.3894326951315576,1.1016055183160398,2.4910382134475975,0.03516604018845639,0.05321390706992975,0.35,0.08,0.22099999999999997,0.55,0.1,base,Base finance,0.014234569741028387,0.12,2.625272783188626,3.979486690258556
hex_006,-19.866323576115764,12.818901074696605,0.8211226579792855,0.2968998349062955,85.8159970215324,34.46682027684199,174.40940070443244,43.66203670940741,,,0.3278020784362714,0.28688394056626637,1.0,0.0,22.331169965396473,68.93865662257977,0.3278020784362714,0.40975259804533926,1.25,1.3956981228372796,1.106573034741569,2.5022711575788485,0.015251564850791767,0.07629485509734313,0.35,0.08,0.22099999999999997,0.55,0.1,base,Base finance,0.01458416400610513,0.12,2.636855321584954,4.014150176682297
hex_015,-26.27313533858268,22.266701004955227,0.7997160744053764,0.660627335270063,10.586948402275889,45.13975177963021,88.8780555894052,277.818486647048,Botswana,Africa,0.32394889339296773,0.4178258406972227,1.0,0.0,22.59678633842652,47.33406013430869,0.32394889339296773,0.40493611674120966,1.25,1.4122991461516574,1.1197350820698713,2.5320342282215287,0.019974336074112385,0.0510816555304042,0.35,0.08,0.22099999999999997,0.55,0.1,base,Base finance,0.032420461567781514,0.12,2.6844546897893102,4.036536345319714
hex_010,-24.550423709209024,17.12012686421263,0.8357975881257154,0.6099661340085155,46.7952772915371,13.82117256875169,422.19778623486286,93.77986407537722,Namibia,Africa,0.33044356586262874,0.3995878082430656,1.0,0.0,22.152659893561804,49.49448672167699,0.33044356586262874,0.41305445732828594,1.25,1.3845412433476125,1.0977273525749776,2.48226859592259,0.006115867609868612,0.15388509279207063,0.35,0.08,0.22099999999999997,0.55,0.1,base,Base finance,0.022715779831843665,0.12,2.6249843757544338,4.079869468546504
hex_020,-19.902947118975515,13.798714834651516,0.8125590393967337,0.6760462206186093,124.23129105534927,35.61922273867412,352.0581288261181,46.40018113385423,Namibia,Africa,0.326260627091412,0.4233766394226993,1.0,0.0,22.43667583744213,46.71347360165677,0.326260627091412,0.40782578386426505,1.25,1.4022922398401332,1.1118011510110495,2.5140933908511824,0.015761502835777687,0.13898184792491902,0.35,0.08,0.22099999999999997,0.55,0.1,base,Base finance,0.015028427848039108,0.12,2.649121818699222,4.0891036666241405
hex_007,-19.567228336676557,17.65986896716307,0.8293347235199925,0.3329331291365369,40.40842627218149,79.4712935283363,51.56533394706672,41.50737207685166,Namibia,Africa,0.32928025023359864,0.29985592648915327,1.0,0.0,15.727097073972308,48.49801274979981,0.32928025023359864,0.41160031279199827,1.25,0.9829435671232694,0.745042951818059,1.7279865189413284,0.02144269161469293,0.039490558496166284,0.2975,0.068,0.22099999999999997,0.4675,0.1,corridor_policy,De-risked corridor policy,0.011606441934907338,0.12,1.8595929608762356,3.0530835193724024
hex_006,-19.866323576115764,12.818901074696605,0.8211226579792855,0.2968998349062955,85.8159970215324,34.46682027684199,174.40940070443244,43.66203670940741,,,0.3278020784362714,0.28688394056626637,1.0,0.0,15.798015938976068,50.69093974821112,0.3278020784362714,0.40975259804533926,1.25,0.9873759961860041,0.748402605559208,1.7357786017452121,0.009299727805133159,0.07034301805168451,0.2975,0.068,0.22099999999999997,0.4675,0.1,corridor_policy,De-risked corridor policy,0.01181960901246663,0.12,1.867598210757679,3.0919412288093633
hex_015,-26.27313533858268,22.266701004955227,0.7997160744053764,0.660627335270063,10.586948402275889,45.13975177963021,88.8780555894052,277.818486647048,Botswana,Africa,0.32394889339296773,0.4178258406972227,1.0,0.0,15.98592421701452,34.804971664048296,0.32394889339296773,0.40493611674120966,1.25,0.9991202635634074,0.7573044224350327,1.7564246859984403,0.01217946423168859,0.043286783687980404,0.2975,0.068,0.22099999999999997,0.4675,0.1,corridor_policy,De-risked corridor policy,0.026792957884435697,0.12,1.903217643882876,3.1005044275708564
hex_024,-19.659398035114855,20.87231530076869,0.7136946153434929,0.4608775066454809,121.00490325895368,20.58833029226016,16.13196659160868,280.2418503720623,Namibia,Africa,0.30846503076182874,0.34591590239237313,1.0,0.0,16.788361543530048,42.04032380528866,0.30846503076182874,0.3855812884522859,1.25,1.0492725964706278,0.7953184482647289,1.8445910447353566,0.0055550777861815585,0.011201266093244597,0.2975,0.068,0.22099999999999997,0.4675,0.1,corridor_policy,De-risked corridor policy,0.01959598116646971,0.12,1.9841870259018264,3.1493882919950713
hex_019,-21.420027210535224,12.956534770530338,0.7658539691076715,0.4991450386149156,25.268849980997448,114.39502801329964,146.5424160760417,36.23973410647223,,,0.3178537144393808,0.35969221390136963,1.0,0.0,16.292471110805078,40.43016774881213,0.3178537144393808,0.39731714304922605,1.25,1.0182794444253174,0.771826530459555,1.7901059748848724,0.030865702557977395,0.08215554818459199,0.2975,0.068,0.22099999999999997,0.4675,0.1,corridor_policy,De-risked corridor policy,0.011085299584111783,0.12,1.9211912744689843,3.1573468226535764
