parameter,value
electrolyzer_efficiency_kwh_per_kg,52.0
water_desalination_kwh_per_kg,1.2
ammonia_synthesis_kwh_per_kg,8.0
reconversion_kwh_per_kg,10.5
buffer_storage_kwh_per_kg,1.0
solar_lcoe_min,18.0
solar_lcoe_max,32.0
wind_lcoe_min,20.0
wind_lcoe_max,42.0
mix_penalty_max,6.0
base_cf,0.48
pv_cf_bonus,0.2
wind_cf_bonus,0.25
grid_connection_cost_per_km,0.002
road_connection_cost_per_km,0.0012
water_pipeline_cost_per_km,0.0015
port_connection_cost_per_km,0.0028
africa_to_europe_distance_km,9000.0
fixed_port_cost,0.12
fixed_terminal_cost,0.18
om_fraction,0.035
plant_life_years,20.0
ammonia_conversion_loss,0.12
reconversion_loss,0.03
europe_wacc,0.05
