entity_id,records,duplicates,missing_timestamps,start,end
BN001,8760,0,0,2014-01-01T00:00:00,2014-12-31T23:00:00
BN002,8760,0,0,2014-01-01T00:00:00,2014-12-31T23:00:00
BN003,8760,0,0,2014-01-01T00:00:00,2014-12-31T23:00:00
BN004,8760,0,0,2014-01-01T00:00:00,2014-12-31T23:00:00
BN005,8760,0,0,2014-01-01T00:00:00,2014-12-31T23:00:00
BN006,8760,0,0,2014-01-01T00:00:00,2014-12-31T23:00:00
BN007,8760,0,0,2014-01-01T00:00:00,2014-12-31T23:00:00
BN008,8760,0,0,2014-01-01T00:00:00,2014-12-31T23:00:00
BN009,8760,0,0,2014-01-01T00:00:00,2014-12-31T23:00:00
BN010,8760,0,0,2014-01-01T00:00:00,2014-12-31T23:00:00
CN01,8760,0,0,2014-01-01T00:00:00,2014-12-31T23:00:00
Total,8760,0,0,2014-01-01T00:00:00,2014-12-31T23:00:00
