variable_1,variable_2,pearson_r
heat_mmbtu,temperature_f,0.46134008854473807
heat_mmbtu,dew_point_f,0.4442792376286575
heat_mmbtu,humidity_pct,0.0836730044405723
electricity_kw,wind_speed_mph,0.015451889795223517
pv_kw,pressure_in,0.014435817936821336
ghg_ton,wind_speed_mph,0.013475486768723963
ghg_ton,wind_gust_mph,0.013135764637506644
heat_mmbtu,wind_gust_mph,0.010581858720494918
electricity_kw,wind_gust_mph,0.008495951134722766
pv_kw,precipitation_in,0.0066071944603291475
cooling_ton,temperature_f,0.0014826601295728123
electricity_kw,precipitation_in,0.0011702356663331659
cooling_ton,dew_point_f,0.0005934230950102421
heat_mmbtu,wind_speed_mph,-0.0023909462463722955
ghg_ton,precipitation_in,-0.003264413957167778
heat_mmbtu,precipitation_in,-0.004227683010533636
cooling_ton,precipitation_in,-0.00462592776990055
pv_kw,wind_speed_mph,-0.006277402577019711
cooling_ton,humidity_pct,-0.010195747063135847
pv_kw,wind_gust_mph,-0.01368130307627639
electricity_kw,pressure_in,-0.015680709022498452
ghg_ton,humidity_pct,-0.01624013525189872
cooling_ton,pressure_in,-0.0208871570237954
cooling_ton,wind_gust_mph,-0.024317283477485626
cooling_ton,wind_speed_mph,-0.028326354386650123
ghg_ton,pressure_in,-0.03205167949837212
electricity_kw,humidity_pct,-0.09388502631625412
heat_mmbtu,pressure_in,-0.10177508901362112
pv_kw,humidity_pct,-0.1048078905706492
ghg_ton,dew_point_f,-0.13870375469418697
ghg_ton,temperature_f,-0.14232416465648304
pv_kw,dew_point_f,-0.5396857415186491
electricity_kw,dew_point_f,-0.556723494627915
pv_kw,temperature_f,-0.557705142550077
electricity_kw,temperature_f,-0.574439996093871
