entity,level,rows,start,end,duplicate_timestamps,irregular_hour_steps,missing__electricity_kw,min__electricity_kw,max__electricity_kw,missing__heat_mmbtu,min__heat_mmbtu,max__heat_mmbtu,missing__cooling_ton,min__cooling_ton,max__cooling_ton,missing__pv_kw,min__pv_kw,max__pv_kw,missing__ghg_ton,min__ghg_ton,max__ghg_ton
BN001,building,8760,2014-01-01,2014-12-31 23:00:00,0,0,0,24.062064419019244,80.27959210349414,0,0.2444178054183048,19.88671206519433,0,3.410272421940705,39.43030981137966,0,0.0,11.034878855815666,0,16.08731179709554,49.48214731236883
BN002,building,8760,2014-01-01,2014-12-31 23:00:00,0,0,0,26.8096260266747,80.52551503715893,0,2.4916518302765605,20.797298507784408,0,4.64432640672394,42.3185646373883,0,0.0,10.271732258780126,0,17.65949667011926,50.388138785296185
BN003,building,8760,2014-01-01,2014-12-31 23:00:00,0,0,0,30.00670304919887,82.81470831013894,0,4.465354135199229,22.32270253011072,0,7.193959903265137,43.007354888732586,0,0.0,11.04077534362584,0,21.48307327081749,49.22485513608963
BN004,building,8760,2014-01-01,2014-12-31 23:00:00,0,0,0,31.00241236075219,84.9850057635353,0,4.818728857399718,22.801752114197555,0,8.151241747402448,44.36367517582549,0,0.0,12.29939508500568,0,22.48989117240944,49.14692731768269
BN005,building,8760,2014-01-01,2014-12-31 23:00:00,0,0,0,31.841969441571933,87.06515864609901,0,5.896498993245107,23.76216240079473,0,9.356239768223563,45.897827033894266,0,0.0,12.7701014658839,0,18.964425415396125,54.86294936567612
BN006,building,8760,2014-01-01,2014-12-31 23:00:00,0,0,0,34.69045951812957,90.30289435522236,0,5.4560126445747335,25.050082200442663,0,10.85066760169136,46.92787914919211,0,0.0,13.39137492378552,0,28.650616851139148,50.44511602555245
BN007,building,8760,2014-01-01,2014-12-31 23:00:00,0,0,0,35.5306766957758,90.48395285696392,0,8.080390793035072,26.366498694682264,0,12.806107706239384,49.15232036569629,0,0.0,13.200464370709728,0,25.931282138753804,55.11571637231566
BN008,building,8760,2014-01-01,2014-12-31 23:00:00,0,0,0,39.895182847992665,92.671884293349,0,9.120397244350666,26.744797125892894,0,12.711347433340716,49.38967034647015,0,0.0,13.762329546819087,0,25.64063831019801,58.76909112711531
BN009,building,8760,2014-01-01,2014-12-31 23:00:00,0,0,0,40.60928061463419,96.30704842288549,0,9.75054477572328,28.65097760578828,0,15.034236269313212,52.15068408757151,0,0.0,14.832720810868128,0,31.93004792018025,54.91059230868804
BN010,building,8760,2014-01-01,2014-12-31 23:00:00,0,0,0,39.08803994953183,95.96763786465472,0,11.000584383441854,29.15920886965828,0,15.57090108019332,53.187280094149685,0,0.0,12.130554818641498,0,30.06080303621944,58.66392943112483
CN01,aggregate,8760,2014-01-01,2014-12-31 23:00:00,0,0,0,494.85523176199706,719.9462950473616,0,125.92659532092156,187.13196227878103,0,236.4260274332009,330.8059650061211,0,0.0,86.72296869916829,0,312.24025628744056,460.9347694841688
Total,aggregate,8760,2014-01-01,2014-12-31 23:00:00,0,0,0,494.85523176199706,719.9462950473616,0,125.92659532092156,187.13196227878103,0,236.4260274332009,330.8059650061211,0,0.0,86.72296869916829,0,312.24025628744056,460.9347694841688
