dataset,rows,timestamp_min,timestamp_max,inferred_freq,missing_timestamps,duplicate_timestamps,na__Electricity [kW],na__Heat [mmBTU],na__Cooling Energy [Ton],na__PV Power Generation [kW],na__Greenhouse Gas Emission [Ton],negative__Electricity [kW],negative__Heat [mmBTU],negative__Cooling Energy [Ton],negative__PV Power Generation [kW],negative__Greenhouse Gas Emission [Ton],na__Temperature [°F],na__Dew Point [°F],na__Humidity [%],na__Wind Speed [mph],na__Wind Gust [mph],na__Pressure [in],na__Precipitation [in],negative__Temperature [°F],negative__Dew Point [°F],negative__Humidity [%],negative__Wind Speed [mph],negative__Wind Gust [mph],negative__Pressure [in],negative__Precipitation [in]
BN001,8760,2014-01-01,2014-12-31 23:00:00,h,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
BN002,8760,2014-01-01,2014-12-31 23:00:00,h,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
BN003,8760,2014-01-01,2014-12-31 23:00:00,h,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
BN004,8760,2014-01-01,2014-12-31 23:00:00,h,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
BN005,8760,2014-01-01,2014-12-31 23:00:00,h,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
BN006,8760,2014-01-01,2014-12-31 23:00:00,h,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
BN007,8760,2014-01-01,2014-12-31 23:00:00,h,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
BN008,8760,2014-01-01,2014-12-31 23:00:00,h,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
BN009,8760,2014-01-01,2014-12-31 23:00:00,h,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
BN010,8760,2014-01-01,2014-12-31 23:00:00,h,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
CN01,8760,2014-01-01,2014-12-31 23:00:00,h,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
Total,8760,2014-01-01,2014-12-31 23:00:00,h,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
Total_weather,8760,2014-01-01,2014-12-31 23:00:00,h,0,0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
