image,method,encoder_resolution,hotspot_recovery,weighted_detail_fidelity
demo1,global_only,224,0.5741336458880457,0.9196865979362937
demo1,uniform_crops,224,0.5741336458880457,0.9225609199673521
demo1,guided_crops,224,0.9555690205823177,0.9297682294658586
demo1,global_only,336,0.7187805315791725,0.9484059053308823
demo1,uniform_crops,336,0.7187805315791725,0.9505056942210478
demo1,guided_crops,336,0.9552558742085188,0.9544432284785251
demo1,global_only,448,0.8084411576556505,0.9654564576990464
demo1,uniform_crops,448,0.8084411576556505,0.9668482986151004
demo1,guided_crops,448,0.9552049134636985,0.9691866388507918
demo2,global_only,224,0.13033559647867918,0.7241207347196691
demo2,uniform_crops,224,0.13033559647867918,0.732641840916054
demo2,guided_crops,224,0.5476006493246511,0.7386146994198071
demo2,global_only,336,0.1734739379707475,0.7634671678730086
demo2,uniform_crops,336,0.1734739379707475,0.7704063415527344
demo2,guided_crops,336,0.5651646936906429,0.7755669537712546
demo2,global_only,448,0.21649386699865195,0.7908990149404489
demo2,uniform_crops,448,0.21649386699865195,0.7967668121936274
demo2,guided_crops,448,0.5818784514666345,0.8013226677389707
method_case,global_only,224,0.15598828740048712,0.7412813672832415
method_case,uniform_crops,224,0.17488795124893755,0.7471260519588695
method_case,guided_crops,224,0.7358553976611844,0.764320089302811
method_case,global_only,336,0.21303390990441207,0.7839260325712316
method_case,uniform_crops,336,0.23028117323106842,0.7884228126675474
method_case,guided_crops,336,0.7393014472160337,0.8030120849609375
method_case,global_only,448,0.26810504849734235,0.8165020961387485
method_case,uniform_crops,448,0.2823969982761534,0.8200491213331036
method_case,guided_crops,448,0.7465962423814889,0.8322935515759038
