,precision,recall,f1-score,support
0,0.3390804597701149,0.9833333333333333,0.5042735042735043,60.0
1,0.2108843537414966,0.6458333333333334,0.31794871794871793,48.0
2,0.9993581889258416,0.9962773382968823,0.9978153855116367,17192.0
3,0.37333333333333335,0.2527075812274368,0.3013993541442411,554.0
4,0.30128205128205127,0.6130434782608696,0.4040114613180516,230.0
5,0.30697674418604654,0.7764705882352941,0.44,170.0
6,0.9964136282127914,0.7556663644605621,0.8594998711007992,2206.0
7,0.9630573248407643,0.9316081330868762,0.9470717193861572,1623.0
8,0.7756653992395437,0.9400921658986175,0.85,217.0
9,0.14102564102564102,0.6470588235294118,0.23157894736842105,17.0
accuracy,0.94210691401174,0.94210691401174,0.94210691401174,0.94210691401174
macro avg,0.5407077124557624,0.7542091139662618,0.5853598961051528,22317.0
weighted avg,0.9621180344642395,0.94210691401174,0.9479857907895519,22317.0
