ML,NO.,Nucleophilic-HEA,Hydrophobic-BA,Acidic-CBEA,Cationic-ATAC,Aromatic-PEA,Amide-AAm,Glass (kPa)_max,source,predicted_by_best,within_1MPa_gap
old-SM-GP,1,0.0,0.5881002724572348,0.0,0.09387710903197888,0.3180226185107864,0.0,353.2908704883227,PRED,311.9895768728663,688.0104231271337
RFR-GP-3rd-pred,2,0.0,0.5697701241069648,0.0,0.10015256785522626,0.330077308037806,0.0,206.65251238499647,PRED,310.9429093220202,689.0570906779798
RFR-GP,4,0.0,0.5862277169858116,0.0,0.08070109448767526,0.33307118852651296,0.0,272.3849964614296,EI,310.7928407864313,689.2071592135687
RFR-GP,1,0.0,0.5862277169858116,0.0,0.08070109448767526,0.33307118852651296,0.0,272.3849964614296,PRED,310.7928407864313,689.2071592135687
GP-GP-3rd-pred,3,0.0,0.6063188913985983,0.0,0.08081296353314583,0.31286814506825583,0.0,229.7523000707714,PRED,310.27401702228497,689.725982977715
RFR-GP-3rd-pred,1,0.0,0.6097371466101064,0.0,0.08000005423721657,0.31026279915267724,0.0,229.69568294409058,PRED,309.73524607610756,690.2647539238924
GP-GP-3rd-pred,1,0.0,0.6097371466101064,0.0,0.08000005423721657,0.31026279915267724,0.0,229.69568294409058,PRED,309.73524607610756,690.2647539238924
GP-GP-3rd-ei,2,0.0,0.6097371466101064,0.0,0.08000005423721657,0.31026279915267724,0.0,229.69568294409058,EI,309.73524607610756,690.2647539238924
RFR-GP-3rd-ei,2,0.0,0.6097371466101064,0.0,0.08000005423721657,0.31026279915267724,0.0,229.69568294409058,EI,309.73524607610756,690.2647539238924
GP-GP-3rd-pred,4,0.0,0.59987425392149,0.0,0.07018454874162641,0.3299411973368838,0.0,225.3927813163482,PRED,307.43004668984435,692.5699533101556
GP-GP-3rd-ei,10,0.0,0.59987425392149,0.0,0.07018454874162641,0.3299411973368838,0.0,225.3927813163482,EI,307.43004668984435,692.5699533101556
GP-GP-3rd-pred,2,0.0,0.59987425392149,0.0,0.07018454874162641,0.3299411973368838,0.0,225.3927813163482,PRED,307.43004668984435,692.5699533101556
old-SM-GP,2,0.0,0.6236185243788649,0.0,0.09925911223269186,0.2771223633884463,0.0,216.05095541401275,PRED,303.6356524846369,696.3643475153631
old-SM-GP,8,0.0,0.6236185243788649,0.0,0.09925911223269186,0.2771223633884463,0.0,216.05095541401275,EI,303.6356524846369,696.3643475153631
GP-GP-3rd-pred,5,0.0,0.6398925234534203,0.0,0.07014122615059554,0.28996625039598395,0.0,235.47062986553433,PRED,300.92946666074937,699.0705333392507
GP-GP-3rd-ei,9,0.0,0.6398925234534203,0.0,0.07014122615059554,0.28996625039598395,0.0,235.47062986553433,EI,300.92946666074937,699.0705333392507
GP-GP-2rd-ei,5,0.0,0.629477516904649,0.0,0.060727362401018864,0.30979512069433035,0.0,281.6135881104034,EI,299.9543635226338,700.0456364773662
GP-GP-2rd-pred,10,0.0,0.629477516904649,0.0,0.060727362401018864,0.30979512069433035,0.0,281.6135881104034,PRED,299.9543635226338,700.0456364773662
GP-GP-3rd-ei,4,0.0,0.6502067967256617,0.0,0.08003454420927895,0.2697586590650559,0.0,245.0955414012739,EI,297.79933270724723,702.2006672927528
GP-GP-3rd-pred,6,0.0,0.6502067967256617,0.0,0.08003454420927895,0.2697586590650559,0.0,245.0955414012739,PRED,297.79933270724723,702.2006672927528
